major,minor,Cash0,Cash1,Cash2,Close,Share0,Share1,Share2,Total0,Total1,Total2
BND US Equity,2007-05-31,55.59,55.59,55.59,74.77,133.0,133.0,133.0,10000.0,10000.0,10000.0
BND US Equity,2007-06-01,55.59,55.59,55.59,74.77,133.0,133.0,133.0,10000.0,10000.0,10000.0
BND US Equity,2007-06-04,55.59,55.59,55.59,74.38,133.0,133.0,133.0,9948.13,9948.13,9948.13
BND US Equity,2007-06-05,55.59,55.59,55.59,74.38,133.0,133.0,133.0,9948.13,9948.13,9948.13
BND US Equity,2007-06-06,55.59,55.59,55.59,74.38,133.0,133.0,133.0,9948.13,9948.13,9948.13
BND US Equity,2007-06-07,55.59,55.59,55.59,74.38,133.0,133.0,133.0,9948.13,9948.13,9948.13
BND US Equity,2007-06-08,55.59,55.59,55.59,74.38,133.0,133.0,133.0,9948.13,9948.13,9948.13
BND US Equity,2007-06-11,55.59,55.59,55.59,74.38,133.0,133.0,133.0,9948.13,9948.13,9948.13
BND US Equity,2007-06-12,55.59,55.59,55.59,73.48,133.0,133.0,133.0,9828.43,9828.43,9828.43
BND US Equity,2007-06-13,55.59,55.59,55.59,73.58,133.0,133.0,133.0,9841.73,9841.73,9841.73
BND US Equity,2007-06-14,55.59,55.59,55.59,73.58,133.0,133.0,133.0,9841.73,9841.73,9841.73
BND US Equity,2007-06-15,55.59,55.59,55.59,73.67,133.0,133.0,133.0,9853.7,9853.7,9853.7
BND US Equity,2007-06-18,55.59,55.59,55.59,73.67,133.0,133.0,133.0,9853.7,9853.7,9853.7
BND US Equity,2007-06-19,55.59,55.59,55.59,73.67,133.0,133.0,133.0,9853.7,9853.7,9853.7
BND US Equity,2007-06-20,55.59,55.59,55.59,73.97,133.0,133.0,133.0,9893.6,9893.6,9893.6
BND US Equity,2007-06-21,55.59,55.59,55.59,73.8,133.0,133.0,133.0,9870.99,9870.99,9870.99
BND US Equity,2007-06-22,55.59,55.59,55.59,73.8,133.0,133.0,133.0,9870.99,9870.99,9870.99
BND US Equity,2007-06-25,55.59,55.59,55.59,74.01,133.0,133.0,133.0,9898.92,9898.92,9898.92
BND US Equity,2007-06-26,55.59,55.59,55.59,74.1,133.0,133.0,133.0,9910.89,9910.89,9910.89
BND US Equity,2007-06-27,55.59,55.59,55.59,74.13,133.0,133.0,133.0,9914.88,9914.88,9914.88
BND US Equity,2007-06-28,55.59,55.59,55.59,74.01,133.0,133.0,133.0,9898.92,9898.92,9898.92
BND US Equity,2007-06-29,55.59,55.59,55.59,74.28,133.0,133.0,133.0,9934.83,9934.83,9934.83
BND US Equity,2007-07-02,55.59,55.59,55.59,74.18,133.0,133.0,133.0,9921.53,9921.53,9921.53
BND US Equity,2007-07-03,55.59,55.59,55.59,74.09,133.0,133.0,133.0,9909.56,9909.56,9909.56
BND US Equity,2007-07-05,55.59,55.59,55.59,73.77,133.0,133.0,133.0,9867.0,9867.0,9867.0
BND US Equity,2007-07-06,55.59,55.59,55.59,73.6,133.0,133.0,133.0,9844.39,9844.39,9844.39
BND US Equity,2007-07-09,55.59,55.59,55.59,73.68,133.0,133.0,133.0,9855.03,9855.03,9855.03
BND US Equity,2007-07-10,55.59,55.59,55.59,74.09,133.0,133.0,133.0,9909.56,9909.56,9909.56
BND US Equity,2007-07-11,55.59,55.59,55.59,73.93,133.0,133.0,133.0,9888.28,9888.28,9888.28
BND US Equity,2007-07-12,55.59,55.59,55.59,73.79,133.0,133.0,133.0,9869.66,9869.66,9869.66
BND US Equity,2007-07-13,55.59,55.59,55.59,73.9,133.0,133.0,133.0,9884.29,9884.29,9884.29
BND US Equity,2007-07-16,55.59,55.59,55.59,74.13,133.0,133.0,133.0,9914.88,9914.88,9914.88
BND US Equity,2007-07-17,55.59,55.59,55.59,73.91,133.0,133.0,133.0,9885.62,9885.62,9885.62
BND US Equity,2007-07-18,55.59,55.59,55.59,74.16,133.0,133.0,133.0,9918.87,9918.87,9918.87
BND US Equity,2007-07-19,55.59,55.59,55.59,74.0,133.0,133.0,133.0,9897.59,9897.59,9897.59
BND US Equity,2007-07-20,55.59,55.59,55.59,74.36,133.0,133.0,133.0,9945.47,9945.47,9945.47
BND US Equity,2007-07-23,55.59,55.59,55.59,74.29,133.0,133.0,133.0,9936.16,9936.16,9936.16
BND US Equity,2007-07-24,55.59,55.59,55.59,74.29,133.0,133.0,133.0,9936.16,9936.16,9936.16
BND US Equity,2007-07-25,55.59,55.59,55.59,74.42,133.0,133.0,133.0,9953.45,9953.45,9953.45
BND US Equity,2007-07-26,55.59,55.59,55.59,74.42,133.0,133.0,133.0,9953.45,9953.45,9953.45
BND US Equity,2007-07-27,55.59,55.59,55.59,74.56,133.0,133.0,133.0,9972.07,9972.07,9972.07
BND US Equity,2007-07-30,55.59,55.59,55.59,74.55,133.0,133.0,133.0,9970.74,9970.74,9970.74
BND US Equity,2007-07-31,55.59,55.59,55.59,74.71,133.0,133.0,133.0,9992.02,9992.02,9992.02
BND US Equity,2007-08-01,55.59,55.59,55.59,74.41,133.0,133.0,133.0,9952.12,9952.12,9952.12
BND US Equity,2007-08-02,55.59,55.59,55.59,74.41,133.0,133.0,133.0,9952.12,9952.12,9952.12
BND US Equity,2007-08-03,55.59,55.59,55.59,74.75,133.0,133.0,133.0,9997.34,9997.34,9997.34
BND US Equity,2007-08-06,55.59,55.59,55.59,74.56,133.0,133.0,133.0,9972.07,9972.07,9972.07
BND US Equity,2007-08-07,55.59,55.59,55.59,74.51,133.0,133.0,133.0,9965.42,9965.42,9965.42
BND US Equity,2007-08-08,55.59,55.59,55.59,74.36,133.0,133.0,133.0,9945.47,9945.47,9945.47
BND US Equity,2007-08-09,55.59,55.59,55.59,74.54,133.0,133.0,133.0,9969.41,9969.41,9969.41
BND US Equity,2007-08-10,55.59,55.59,55.59,74.39,133.0,133.0,133.0,9949.46,9949.46,9949.46
BND US Equity,2007-08-13,55.59,55.59,55.59,74.5,133.0,133.0,133.0,9964.09,9964.09,9964.09
BND US Equity,2007-08-14,55.59,55.59,55.59,74.42,133.0,133.0,133.0,9953.45,9953.45,9953.45
BND US Equity,2007-08-15,55.59,55.59,55.59,74.65,133.0,133.0,133.0,9984.04,9984.04,9984.04
BND US Equity,2007-08-16,55.59,55.59,55.59,74.95,133.0,133.0,133.0,10023.94,10023.94,10023.94
BND US Equity,2007-08-17,55.59,55.59,55.59,74.85,133.0,133.0,133.0,10010.64,10010.64,10010.64
BND US Equity,2007-08-20,55.59,55.59,55.59,74.7,133.0,133.0,133.0,9990.69,9990.69,9990.69
BND US Equity,2007-08-21,55.59,55.59,55.59,75.15,133.0,133.0,133.0,10050.54,10050.54,10050.54
BND US Equity,2007-08-22,55.59,55.59,55.59,74.88,133.0,133.0,133.0,10014.63,10014.63,10014.63
BND US Equity,2007-08-23,55.59,55.59,55.59,74.96,133.0,133.0,133.0,10025.27,10025.27,10025.27
BND US Equity,2007-08-24,55.59,55.59,55.59,75.03,133.0,133.0,133.0,10034.58,10034.58,10034.58
BND US Equity,2007-08-27,55.59,55.59,55.59,75.22,133.0,133.0,133.0,10059.85,10059.85,10059.85
BND US Equity,2007-08-28,55.59,55.59,55.59,75.54,133.0,133.0,133.0,10102.41,10102.41,10102.41
BND US Equity,2007-08-29,55.59,55.59,55.59,75.54,133.0,133.0,133.0,10102.41,10102.41,10102.41
BND US Equity,2007-08-30,55.59,55.59,55.59,75.5,133.0,133.0,133.0,10097.09,10097.09,10097.09
