Ticket,EEM US Equity,EWG US Equity,TIP US Equity,EWJ US Equity,EFA US Equity,IEF US Equity,EWQ US Equity,EWU US Equity,XLB US Equity,XLE US Equity,XLF US Equity,LQD US Equity,XLK US Equity,XLU US Equity,EPP US Equity,FXI US Equity,VGK US Equity,VPL US Equity,SPY US Equity,TLT US Equity,BND US Equity,CSJ US Equity,DIA US Equity
05/31/2007, 42.180000 , 32.740000 , 99.630000 , 58.440000 , 80.960000 , 81.800000 , 38.850000 , 50.760000 , 40.880000 , 68.260000 , 30.726700 , 105.880000 , 25.640000 , 41.810000 , 48.066700 , 37.476700 , 76.540000 , 70.550000 , 153.350000 , 86.370000 , 74.770000 , 100.280000 , 136.180000 
06/01/2007, 43.146700 , 33.140000 , 98.890000 , 58.840000 , 81.510000 , 81.090000 , 39.060000 , 51.080000 , 41.320000 , 68.920000 , 30.856700 , 105.030000 , 25.610000 , 41.560000 , 48.473300 , 38.133300 , 77.050000 , 71.000000 , 153.970000 , 85.590000 , 74.770000 , 100.280000 , 136.580000 
06/04/2007, 43.233300 , 33.330000 , 99.110000 , 58.920000 , 81.720000 , 81.260000 , 39.100000 , 51.280000 , 41.220000 , 69.960000 , 30.799800 , 105.150000 , 25.720000 , 41.450000 , 48.973300 , 38.173300 , 77.350000 , 71.150000 , 154.230000 , 86.000000 , 74.380000 , 99.880000 , 136.620000 
06/05/2007, 42.930000 , 33.080000 , 98.750000 , 58.840000 , 81.360000 , 81.000000 , 38.670000 , 50.940000 , 41.100000 , 69.660000 , 30.613100 , 104.880000 , 25.660000 , 40.830000 , 48.693300 , 38.453300 , 76.700000 , 71.150000 , 153.450000 , 85.420000 , 74.380000 , 99.880000 , 135.870000 
06/06/2007, 42.056700 , 32.220000 , 98.860000 , 58.520000 , 80.220000 , 81.060000 , 38.040000 , 50.240000 , 40.510000 , 68.810000 , 30.393800 , 104.930000 , 25.430000 , 40.330000 , 48.130000 , 37.926700 , 75.580000 , 71.150000 , 152.090000 , 85.390000 , 74.380000 , 100.020000 , 134.590000 
06/07/2007, 41.233300 , 31.360000 , 98.000000 , 58.120000 , 78.840000 , 80.290000 , 37.110000 , 49.200000 , 39.620000 , 67.470000 , 29.866000 , 103.740000 , 25.000000 , 39.040000 , 47.656700 , 37.586700 , 73.810000 , 70.460000 , 149.360000 , 83.960000 , 74.380000 , 99.750000 , 132.610000 
06/08/2007, 42.126700 , 31.730000 , 98.140000 , 58.680000 , 79.670000 , 80.290000 , 37.500000 , 49.920000 , 40.320000 , 67.990000 , 30.207000 , 103.890000 , 25.380000 , 39.340000 , 48.330000 , 38.506700 , 74.810000 , 70.400000 , 151.030000 , 83.920000 , 74.380000 , 99.850000 , 134.150000 
06/11/2007, 42.420000 , 31.880000 , 97.980000 , 58.640000 , 79.790000 , 80.160000 , 37.710000 , 50.040000 , 40.010000 , 68.490000 , 30.337000 , 103.630000 , 25.310000 , 39.750000 , 48.333300 , 38.880000 , 74.950000 , 70.900000 , 151.310000 , 83.570000 , 74.380000 , 99.870000 , 134.190000 
06/12/2007, 41.636700 , 31.430000 , 97.320000 , 57.760000 , 78.580000 , 79.640000 , 37.000000 , 49.540000 , 39.570000 , 67.680000 , 29.963400 , 102.980000 , 25.090000 , 39.170000 , 47.540000 , 38.233300 , 73.660000 , 69.890000 , 149.690000 , 82.440000 , 73.480000 , 99.730000 , 132.960000 
06/13/2007, 42.533300 , 31.840000 , 97.810000 , 58.000000 , 79.580000 , 79.840000 , 37.600000 , 50.380000 , 40.480000 , 68.900000 , 30.507500 , 103.450000 , 25.410000 , 39.980000 , 48.186700 , 39.000000 , 74.810000 , 69.950000 , 151.960000 , 83.210000 , 73.580000 , 99.770000 , 134.840000 
