date,RESI US Equity,PARR US Equity,FRGI US Equity,VCRA US Equity,SN US Equity,ANGI US Equity,CARB US Equity,SXC US Equity,MITT US Equity,THR US Equity,RPXC US Equity,WIFI US Equity,GNC US Equity,APTS US Equity,QADA US Equity,CMRE US Equity,GNMK US Equity,EXPR US Equity,PLOW US Equity,CLDT US Equity,PSTB US Equity,CTBI US Equity,HLX US Equity,ORIT US Equity,ZIOP US Equity,OFIX US Equity,VICR US Equity,DCOM US Equity,ACOR US Equity,PEI US Equity,NNBR US Equity,NPK US Equity,ORBC US Equity,ATW US Equity,CCC US Equity,TRST US Equity,RBCAA US Equity,CLW US Equity,CNOB US Equity,LRN US Equity,AROC US Equity,UCTT US Equity,NYNY US Equity,GLRE US Equity,HFWA US Equity,FBNC US Equity,TISI US Equity,XBKS US Equity,KOP US Equity,SHLD US Equity,CBB US Equity,VRTS US Equity,LL US Equity,PHH US Equity,TRK US Equity,IRET US Equity,GSBC US Equity,IMKTA US Equity,GABC US Equity,CTS US Equity,MTRN US Equity,UBA US Equity,PFBC US Equity,CASS US Equity,GBNK US Equity,AVAV US Equity,JBSS US Equity,ATRC US Equity,ACLS US Equity,PETS US Equity,HRTX US Equity,BMTC US Equity,WRLD US Equity,LCI US Equity,NX US Equity,NYMT US Equity,TWI US Equity,NANO US Equity,KERX US Equity,PLAB US Equity,CRAY US Equity,CNXN US Equity,FLIC US Equity,DHIL US Equity,COBZ US Equity,RUTH US Equity,AEGN US Equity,AGM US Equity,ARII US Equity,HEES US Equity,GCO US Equity,TGH US Equity,GBLI US Equity,NR US Equity,MHO US Equity,BDGE US Equity,ITG US Equity,FORR US Equity,UIHC US Equity,INTL US Equity,UTL US Equity,ANIK US Equity,DXPE US Equity,CYTK US Equity,HSKA US Equity,CAMP US Equity,SP US Equity,OMER US Equity,CECO US Equity,RCII US Equity,CAC US Equity,GRC US Equity,CTWS US Equity,FPO US Equity,FLWS US Equity,CWST US Equity,KBAL US Equity,ESND US Equity,CMCO US Equity,LPSN US Equity,SYX US Equity,NEO US Equity,AHT US Equity,FF US Equity,REX US Equity,CKH US Equity,NAT US Equity,OFLX US Equity,VIVO US Equity,PZN US Equity,KMG US Equity,CRY US Equity,FARO US Equity,MSEX US Equity,PRSC US Equity,DEPO US Equity,MG US Equity,LION US Equity,PEBO US Equity,GHL US Equity,AMAG US Equity,IIIN US Equity,EMCI US Equity,PRFT US Equity,INO US Equity,PGTI US Equity,THFF US Equity,UIS US Equity,HBNC US Equity,CONN US Equity,PCBK US Equity,CETV US Equity,ANH US Equity,FINL US Equity,ANCX US Equity,SPNS US Equity,WSBF US Equity,LMAT US Equity,DNR US Equity,ECHO US Equity,UMH US Equity,INWK US Equity,TG US Equity,ACHN US Equity,PRTK US Equity,MYE US Equity,ANGO US Equity,FDEF US Equity,SNCR US Equity,VDSI US Equity,SCLN US Equity,MCRI US Equity,GRBK US Equity,MBWM US Equity,UFI US Equity,PDFS US Equity,NLS US Equity,AVD US Equity,SCHN US Equity,TLRD US Equity,TRR US Equity,PGC US Equity,FRBK US Equity,EVC US Equity,FTK US Equity,GOOD US Equity,HVT US Equity,MPAA US Equity,XCRA US Equity,ANIP US Equity,TK US Equity,MLAB US Equity,CROX US Equity,MOV US Equity,HWKN US Equity,ARCB US Equity,FOSL US Equity,SGMO US Equity,NC US Equity,WINA US Equity,FARM US Equity,HTBK US Equity,COHU US Equity,LDR US Equity,IXYS US Equity,BH US Equity,SPPI US Equity,MYRG US Equity,BKS US Equity,DHT US Equity,WHG US Equity,EZPW US Equity,HZO US Equity,MED US Equity
1/4/2013,54.27,48.8345,67.0913,54.3275,68.5366,55.0474,55.1298,61.635,54.8678,47.8476,63.9545,66.4402,50.9075,50.0446,59.2286,64.5178,49.7798,68.9351,61.9023,75.3963,67.0016,60.7894,78.2025,72.1949,57.7449,46.7687,54.8845,63.477,71.0211,79.841,76.2895,46.1094,60.3341,62.1758,74.2726,60.0898,68.0432,58.2789,56.512,66.1223,64.6337,68.8506,67.9969,50.7215,57.5627,66.9408,53.8814,65.4627,74.0695,36.9856,61.4627,76.0367,56.6949,64.5427,66.5975,59.3004,56.7544,64.4564,59.0794,74.4127,85.8504,67.9764,68.7217,61.245,63.6777,59.2011,56.2342,68.7329,75.1851,54.8034,72.4565,59.8122,72.7812,77.9657,55.2329,58.9801,60.3049,66.1852,52.7028,64.9056,75.4174,60.5425,60.5203,40.7472,74.2714,57.221,73.2304,63.0383,56.8692,70.4444,61.2725,69.6676,70.4677,69.2988,72.2534,68.5537,66.7803,40.455,57.0962,56.0202,62.3272,61.779,73.949,74.0171,52.4848,58.767,49.8463,40.9562,69.4039,50.1532,54.9965,66.6652,51.5199,73.5062,59.9241,59.0564,57.4037,70.7788,59.1517,57.5719,59.0022,49.9053,83.913,60.3224,75.0017,54.0865,61.4527,62.0356,62.4278,62.4994,59.913,68.2193,66.7433,59.5529,74.5203,73.3087,67.6337,67.5457,69.5817,79.9757,66.3736,69.7394,60.8959,66.7875,53.6511,54.6054,60.6673,61.0134,70.7559,52.4844,61.243,63.2961,61.234,32.8869,61.9935,60.6442,68.8606,44.0073,66.674,67.853,69.9307,70.0023,68.3303,69.3219,64.1941,54.2568,57.9081,78.5587,73.5278,52.4264,64.5429,80.4066,49.6444,81.9747,53.2199,54.1852,63.7786,54.9363,63.7274,64.5446,54.8539,63.749,64.5203,65.0568,76.6165,58.0224,53.1794,70.9609,67.4175,46.1841,68.5371,72.5971,74.211,58.3219,55.2368,76.0058,69.7133,72.212,81.5388,56.4444,60.6914,59.6423,60.1324,62.2677,61.4032,70.1737,63.2406,52.7055,33.793,73.1924,68.1747,67.4197,76.304,41.9757
1/7/2013,52.81,52.3352,66.7647,55.1998,69.2076,53.9086,55.3159,60.0538,54.8678,46.8274,63.2891,65.2558,47.851,51.5624,57.1484,65.0582,46.3795,62.9719,54.6304,69.3932,61.4159,51.9964,75.044,62.5997,54.8004,45.9942,47.6208,56.0457,73.736,80.8875,59.2268,41.7676,55.3097,59.2857,72.1098,53.1806,65.558,53.688,57.4912,64.5392,66.1168,60.3018,64.7502,46.7822,51.9141,61.5794,53.6459,79.9774,74.4615,40.516,59.3529,75.4011,53.9596,65.1292,57.9785,58.9011,54.4642,64.1913,54.6766,69.3575,86.1391,70.0455,64.4897,52.815,62.4926,49.1564,57.675,70.495,76.6968,62.0948,74.2782,57.7344,68.167,78.3593,49.4776,60.1214,69.8927,56.322,62.6173,60.4498,78.208,60.8862,55.8738,37.1296,69.4555,57.5119,68.6997,63.848,57.2263,70.7422,56.9476,67.7299,57.6988,57.9707,72.3487,57.7737,59.3231,44.6339,60.6966,54.4496,60.7738,48.2563,74.4591,74.9498,56.8609,44.7853,44.9557,45.7385,57.909,46.309,51.4869,66.2663,50.1547,76.0934,55.9024,51.3244,45.7286,73.7419,59.9437,53.5521,56.3207,45.2697,78.7078,57.0026,73.2918,52.3686,60.6484,60.9821,63.847,55.9487,59.4789,59.8508,60.7452,50.8967,75.1401,73.875,61.811,70.8786,60.7733,71.9102,65.6208,67.1479,56.7207,56.7389,70.3644,53.5088,51.9747,52.7328,62.6105,46.5748,52.94,59.2356,61.6959,30.8761,64.0149,68.7195,69.8939,44.4334,64.0358,64.2361,70.1651,64.1705,68.0701,53.2422,61.2162,49.2226,59.8927,71.7638,73.304,42.551,62.419,71.7926,43.79,77.0633,44.5876,47.1826,65.8359,52.6491,64.961,64.6131,50.6983,57.9904,57.9269,65.0568,72.4119,59.2806,54.7693,66.6655,57.8321,46.1841,68.8089,68.7364,74.2925,58.262,51.3283,67.6846,65.2375,65.299,81.4646,57.0158,62.5285,56.9399,60.3779,59.6158,54.381,66.285,62.7549,49.2793,34.4864,66.0781,63.8946,66.9697,76.721,42.4327
1/8/2013,57.33,52.3352,65.7311,63.157,70.7525,50.0904,55.07,58.4392,59.5965,46.9289,61.0104,65.9103,45.5662,53.097,54.5236,67.5832,46.224,66.5348,55.0228,65.5048,64.5946,54.2346,65.959,68.1878,54.8004,36.2877,47.2249,58.6399,62.5263,78.1972,65.3724,44.2413,61.5212,61.6222,72.3984,51.0726,62.0703,57.7333,56.4644,52.8862,70.55,49.9186,59.3411,44.29,57.6011,57.5688,73.5344,65.2187,70.4477,32.9904,43.9268,77.8889,61.6944,67.1758,57.6215,58.4771,54.34,54.9434,53.2154,64.6293,72.582,63.0286,66.4198,55.2789,61.2646,44.2555,57.043,74.2199,67.8007,56.5804,84.326,52.4376,59.9771,76.1616,50.8825,58.3724,70.1127,46.1041,64.7136,59.0351,69.696,62.1294,56.5191,39.138,66.1558,62.6006,71.8905,64.8681,61.9737,71.4986,55.8258,66.8539,53.8506,54.653,75.4771,56.017,56.8063,41.9474,52.3297,56.9073,58.7466,50.1064,67.9237,81.4156,57.8698,44.047,44.4696,49.3531,53.3422,42.9301,48.2851,60.0728,49.8701,76.2404,56.685,50.9022,42.6956,71.1519,57.7336,54.2024,61.1767,47.65,80.0411,56.3348,75.0607,51.305,64.0284,54.3129,60.4915,49.9573,59.6886,63.0257,57.0944,51.0669,75.9502,74.1701,57.6961,71.4702,59.7392,66.7333,57.6104,65.121,62.7256,57.0175,70.3644,58.4511,48.7896,51.7153,63.2745,45.5075,52.94,57.1354,62.6543,36.3668,63.5188,75.8382,68.667,41.381,64.7191,67.501,73.1002,62.7627,66.4361,58.8499,61.976,50.9722,58.4098,76.0876,73.7344,41.8407,68.1953,60.0931,44.3338,78.3661,46.1007,52.7234,60.303,52.7115,45.7628,59.0849,54.4172,54.6965,58.8883,63.5588,62.4018,62.6926,55.0433,63.5581,51.3936,58.772,67.3062,65.308,71.1444,60.5343,45.2173,71.6272,69.4459,68.5371,78.7631,59.8518,59.1056,53.0565,52.3879,58.8746,53.2049,67.1075,56.3617,50.9156,34.4864,66.3299,59.8482,67.5528,75.5751,46.0296
1/9/2013,68.67,52.3352,67.2769,62.8137,64.8143,52.4378,55.2953,57.4413,59.4288,46.546,56.215,65.9103,49.967,51.6862,56.2248,66.7629,57.3189,63.8471,35.402,44.9912,62.9977,56.8051,63.9124,69.1083,62.6821,41.9634,48.6054,60.1789,61.2469,75.8209,58.784,43.4254,63.3498,59.8149,74.1277,54.3224,65.6162,56.6434,57.286,55.8112,68.2423,51.5238,57.4393,44.9269,52.1651,63.7444,76.6833,63.9479,72.5002,35.8275,48.1295,80.9315,63.287,63.004,57.242,60.0267,60.377,54.4984,53.4217,65.8105,74.7473,63.0286,66.4198,55.3983,62.8374,47.2301,57.1442,76.2389,68.7758,53.8913,72.47,55.2231,60.4597,77.9385,53.6582,60.827,69.9293,52.923,63.1873,62.2721,72.2367,58.6858,57.8467,40.1412,69.2975,72.4657,68.3041,67.3486,61.3842,71.7361,55.5185,70.2306,58.339,55.2051,78.2772,61.7748,59.6998,41.9474,54.6703,62.3167,59.2347,49.8323,70.5894,89.1343,48.7743,44.3294,41.717,49.7536,48.8479,39.5216,50.7441,60.4049,49.5672,76.5509,58.2799,49.1603,43.3698,69.7317,52.9548,57.2633,59.3238,44.3281,80.5653,58.6806,76.3578,53.2479,60.9287,55.7543,62.066,55.1317,60.2425,63.7384,59.8346,51.9635,73.9323,73.2787,35.5332,77.5326,60.6408,68.1757,61.9622,67.3924,63.2593,60.3196,71.4889,57.2592,49.4966,50.3696,59.8411,41.4187,56.7809,55.0309,62.6543,35.7233,62.9931,74.3203,66.4682,42.3291,61.6895,72.3544,71.9278,64.0957,64.7618,59.9281,56.8761,51.8653,62.643,76.3826,72.7241,48.6146,62.9797,51.838,44.5265,79.3582,46.4507,67.5957,61.4655,55.7843,47.6153,59.9058,52.9825,55.7378,59.4557,66.8472,63.1241,64.3936,56.6005,69.0039,53.559,54.8261,66.0125,66.0377,71.3456,61.8672,49.3615,60.3364,71.0426,71.2733,80.1788,60.3402,62.2165,55.2478,56.0632,61.6272,56.6654,66.3349,67.7593,50.0462,32.5865,65.2863,62.1093,72.2937,72.0959,43.9848
1/10/2013,65.84,52.3352,68.449,63.5254,71.1632,59.8355,57.5859,58.951,60.1531,44.681,58.7541,66.1567,55.1891,51.3191,57.4709,61.4108,61.9039,51.1744,42.2924,48.5627,59.8128,55.5452,64.338,71.7493,56.3347,44.2967,45.6076,62.6526,65.801,68.7497,62.4389,41.9405,63.6598,59.7292,79.1653,53.5562,64.1803,55.5148,58.4129,48.5131,68.0425,50.1393,56.4649,49.6775,52.3445,59.7074,64.1731,51.955,71.4609,38.2728,45.1479,83.1926,67.2243,63.8824,57.5432,64.0701,57.9802,49.53,52.1831,66.8535,76.4258,63.0286,67.0587,50.7294,65.1249,53.8036,56.7128,76.3718,64.5647,52.5466,73.0529,53.0578,61.8948,82.7773,52.7932,58.9551,73.3798,55.8602,60.8682,64.3931,71.9761,65.3982,56.3898,38.1793,69.8993,57.4513,66.0461,67.2208,64.3094,72.4772,56.6742,74.9547,58.891,58.7234,74.8719,59.7601,64.3728,40.0264,55.1153,59.4466,60.0825,48.8255,62.3047,74.6225,52.3557,43.1566,35.9391,50.1779,52.4951,38.569,50.3667,59.736,52.2237,75.4885,59.091,53.8386,41.2779,69.3061,55.3432,59.2692,59.0031,47.7599,74.7507,58.9445,78.3023,50.5067,65.65,59.5592,64.5552,55.1317,59.3641,58.4785,51.8754,51.3555,72.1624,73.2787,36.3403,78.5918,61.2022,71.2493,65.4046,67.3924,66.7064,64.0386,68.6822,60.3098,51.4556,50.9802,62.7439,43.0903,60.5182,47.9051,64.212,35.6384,63.32,71.9927,63.6463,44.2706,64.7953,71.8919,49.6376,65.3114,67.5506,57.8075,65.6501,57.383,66.1366,75.381,81.8368,51.6471,60.971,52.6949,48.2851,80.1599,43.2738,69.1244,64.4549,57.0121,47.684,56.6035,52.2409,58.9867,59.4557,68.3834,66.0724,68.2093,56.2192,70.7944,53.8751,52.9132,67.2986,66.1423,72.4819,61.5782,48.1201,65.8818,73.2123,72.4838,81.577,60.3402,58.1939,55.8033,54.2266,62.3153,57.5113,66.3349,71.4513,53.7854,31.6476,65.2863,52.5486,71.5432,72.9886,45.8921
1/11/2013,69.81,45.1671,66.6686,50.7616,66.5359,62.7956,56.6481,54.1263,59.9609,41.2175,56.9751,61.8249,63.2976,47.0086,48.8589,61.4108,68.6084,45.874,39.8199,49.5702,59.8128,53.4186,61.9766,70.03,55.1322,45.8104,48.0713,63.1457,60.0565,62.2168,54.6153,44.7209,63.0852,56.3371,80.9319,42.5651,59.6143,64.2854,58.0009,52.5073,67.6162,50.1393,58.7269,45.455,54.3714,59.1572,67.1781,53.6568,72.7241,37.263,50.3051,83.517,69.0136,64.4505,57.7036,62.1362,53.7662,47.1165,49.002,63.8564,74.5001,61.1168,58.1261,48.7919,63.717,47.0117,62.1493,65.3532,64.5647,51.3957,73.6536,53.7677,57.6956,72.9332,54.8105,60.692,73.802,56.001,63.2867,60.7171,67.5157,68.2473,54.1211,36.4359,65.7363,62.2165,64.249,67.2877,56.3311,74.0257,57.0745,76.852,59.4694,56.8732,66.7629,55.3425,64.5938,39.6707,60.0436,55.245,58.51,48.8255,64.7468,78.0813,53.8788,45.6349,36.858,46.775,55.5949,41.8219,47.874,56.8868,53.1614,75.6703,57.2918,52.4218,43.1244,69.5065,55.9849,62.0712,60.387,46.8709,76.1016,58.1446,79.601,51.1833,56.7387,58.6539,62.8286,63.1828,58.9936,49.943,31.3072,54.4189,53.1927,77.1078,36.1575,78.8602,58.9388,73.958,56.5285,62.6599,63.9566,65.2092,62.4677,66.5532,51.6682,51.142,55.6298,49.5635,60.1183,53.5222,64.74,34.1525,63.7795,64.7168,44.61,52.4577,60.284,71.8919,48.6999,61.0798,67.6955,62.0363,70.751,55.3138,67.1698,63.6883,80.5581,55.0251,64.3394,49.9814,46.7967,78.697,39.2786,69.6918,63.7888,52.8257,46.1832,52.6663,49.7416,55.1708,61.1701,62.1778,69.3407,66.128,65.7778,75.3878,55.8183,56.9565,61.9809,61.8359,74.1857,62.243,50.8524,62.3361,72.4531,73.6782,70.3785,62.4204,58.0442,52.9711,55.3717,56.5136,58.0986,66.7734,65.5872,53.9541,29.5112,65.9084,55.7777,65.446,72.0576,44.2129
1/14/2013,69.61,48.9333,67.6747,54.6986,67.1449,64.7119,54.7286,50.9205,56.2828,38.4421,56.7438,55.7137,61.8182,50.9632,53.2839,56.187,70.9767,48.3237,37.0228,51.6114,64.4965,52.8735,59.9239,68.7003,53.8934,43.7003,46.7043,61.8271,62.2926,60.0784,54.2399,46.2071,64.4668,60.263,83.6102,44.0206,60.7703,67.6225,59.2394,44.1087,60.6591,47.5462,55.7134,46.5192,56.7147,57.0803,64.7541,53.6568,66.9493,51.6039,52.6998,85.7372,59.5316,61.1366,54.3845,65.5005,52.8881,49.3322,46.8717,60.9154,80.7942,62.6422,58.1261,45.5158,60.8822,49.2302,66.7336,58.2429,54.8305,53.7935,74.8607,52.9061,53.5646,69.0635,54.2557,59.3399,71.5609,53.9622,59.3373,62.3696,64.9653,66.4788,55.8105,36.2221,67.4747,59.1959,65.0861,64.5927,56.3777,74.5928,57.3105,79.4552,55.4377,50.0767,56.9832,56.1798,65.0608,36.6863,56.2433,52.3025,55.8848,47.3976,66.2347,74.4393,55.4085,48.0731,33.8514,47.2565,53.7078,45.2768,46.3537,57.0967,55.363,79.5845,53.2199,48.7385,42.1258,69.5065,50.3372,59.9668,60.6255,47.3981,77.856,57.3071,81.2798,47.2421,54.4639,59.1002,63.8693,68.4867,61.455,49.0184,30.4597,53.9614,62.7274,76.1288,42.1164,78.3315,57.1189,73.7002,49.9797,60.8201,70.2335,56.8408,68.5892,66.5532,47.6263,54.2332,56.7771,44.291,59.6935,53.9336,62.7463,32.9346,56.198,57.2407,38.5494,55.0762,64.1651,75.91,45.6073,57.69,67.8501,58.5442,61.8713,60.6607,70.1157,64.9494,75.0832,56.2899,63.8003,50.7841,43.8831,75.0115,37.4796,64.7498,69.8326,51.2208,42.8961,47.2527,47.5373,57.4973,58.5059,56.6422,63.2808,59.8952,65.7778,72.3252,57.4279,52.1353,58.8509,62.4626,73.8958,66.56,51.4874,62.3361,73.4608,84.6334,71.7525,63.5507,57.0953,48.9574,52.7093,55.63,54.8339,62.8431,64.6028,56.5184,36.2931,66.2342,60.6837,67.2495,70.1308,45.9747
1/15/2013,68.12,48.9333,70.014,59.974,68.647,69.6353,56.5773,51.3856,57.4659,41.8672,54.5956,61.304,64.4196,58.274,50.4956,58.8272,72.8283,73.6026,44.0739,50.5105,64.4965,57.0285,67.0632,68.9122,52.2089,43.4391,49.7801,58.329,62.8391,62.3434,52.3044,50.8986,66.1711,61.4481,84.0363,46.2222,61.3658,70.7963,57.8613,42.829,65.1961,51.0514,51.9053,49.2895,51.6599,55.1835,65.0201,52.5769,68.0285,50.3144,53.7289,78.8111,58.7729,63.0545,50.6217,61.5727,53.4726,54.096,44.4442,58.3123,80.859,60.1031,56.667,43.2197,62.6707,51.3038,64.5508,58.8996,48.5273,49.055,66.6406,56.2998,49.9181,73.4053,53.6705,58.6364,65.701,51.3976,57.0374,62.7075,67.1063,66.7878,55.927,37.9217,67.4747,59.5801,65.5684,64.7527,61.3151,74.8463,72.8632,80.0509,57.258,54.2024,62.2959,54.5284,62.4019,35.0175,52.6543,50.9278,54.0564,49.5175,70.9637,68.6888,50.2721,50.4654,32.2501,44.8531,56.5656,49.1577,45.7025,59.2339,48.3678,76.2805,56.5458,49.6902,42.1258,65.7704,54.899,63.3833,57.9928,51.5412,78.1697,59.5056,81.4341,51.446,51.5694,59.9157,60.98,62.3921,59.238,50.015,37.9091,55.1787,65.8261,64.6389,45.1167,78.6399,58.9394,66.9166,49.5046,59.5645,68.7408,52.6804,72.6696,67.5964,48.5888,57.4385,61.6851,46.5963,60.8841,53.1732,63.9421,39.114,58.7088,49.5374,49.8287,54.1584,73.5768,77.011,46.7008,57.8475,66.1454,58.2082,63.56,59.998,71.2279,65.2281,73.228,52.7736,62.1188,49.4176,43.7107,76.3249,40.8158,67.5069,72.5715,52.979,48.1679,55.0919,42.7742,51.9539,62.0646,59.5508,61.5901,59.5769,61.7187,63.9342,53.6398,51.2018,60.5666,60.8136,75.8281,66.9792,49.7195,67.7782,76.4006,87.2942,73.8051,63.4773,53.633,49.6423,51.6397,60.1582,53.0288,60.2533,63.3735,54.1374,37.2447,62.382,59.2237,64.3557,70.2735,44.341
1/16/2013,53.83,48.9333,71.495,61.6416,69.8611,63.5999,53.5495,50.6957,59.2474,42.3982,55.6012,55.3624,65.6588,59.1192,49.2806,58.5558,68.9994,74.7191,42.5353,53.4511,60.8415,48.1895,68.9484,64.6689,45.6747,40.9981,46.8673,52.7088,59.8502,56.5011,48.0567,49.0825,67.1881,63.8839,69.185,44.9529,62.2302,68.2609,59.8719,44.1631,55.8345,55.0086,56.6689,45.3937,49.3926,51.3262,65.3331,50.3924,67.0849,54.5324,52.9025,78.0807,54.1954,65.6131,51.8184,62.1832,48.1925,47.0532,43.8617,54.9412,69.6023,61.1213,56.9,41.1104,63.5677,46.8215,64.9912,68.2267,45.6986,46.4133,66.6406,52.0371,50.721,71.2515,48.5914,59.1578,67.4246,49.4105,54.7519,62.7075,73.53,58.8962,58.4071,38.1945,57.3507,52.173,65.7721,62.4721,64.4391,72.0094,69.2694,80.7199,50.4425,52.211,62.6201,52.32,65.2091,30.1443,55.6987,42.2563,48.0145,49.1619,63.8022,69.2012,47.6567,48.9476,28.6567,41.736,52.3147,47.6814,44.6222,52.1059,44.1615,77.9254,49.9849,48.2433,37.6484,67.8778,53.9114,64.5176,52.3922,46.6003,78.4979,58.1241,77.535,51.322,50.677,55.8071,58.1473,53.6253,53.3924,48.9838,41.2055,49.1181,66.9708,60.1283,41.8045,71.0196,54.8633,68.2381,46.9797,53.3386,67.6152,49.74,71.4929,69.3142,45.4412,56.8262,63.06,46.5166,59.9309,50.8566,65.147,42.3602,57.5862,51.8629,52.2269,56.5003,73.9122,52.5999,46.3662,58.3483,64.0653,56.4629,61.8395,57.5169,71.4188,66.5641,77.0891,49.7321,55.3153,46.7103,43.9626,74.7856,40.8158,50.2828,72.5715,50.9201,47.9606,54.1408,40.6837,45.4388,73.2025,56.8144,60.3498,55.1578,66.5046,66.2751,53.2198,48.4019,63.363,61.0064,46.3006,63.9574,46.3652,62.1058,77.8967,82.6951,72.3196,62.4668,56.8362,47.5797,49.4772,51.5992,52.8208,59.8091,53.1989,53.2588,36.9475,59.8816,52.431,55.5588,68.5114,44.5857
1/17/2013,58.07,48.9333,79.4281,58.0361,70.4095,55.038,51.5681,51.7423,60.4371,42.5395,55.6012,50.7698,67.9806,63.3763,46.8524,64.2416,68.6293,73.9968,41.4953,56.2506,55.739,50.053,71.4798,68.3947,42.9505,39.2642,46.8673,55.9721,61.5135,61.4523,49.4035,54.546,63.7485,66.9371,70.4092,47.291,65.3326,78.0898,60.877,41.3644,57.5369,60.6192,59.6621,45.8546,52.648,52.5177,66.0527,50.3924,69.7232,54.7849,49.6155,78.5726,62.2661,66.6781,49.4521,62.8194,55.9598,48.7441,47.9738,58.7897,68.5628,64.9724,57.1482,39.1151,64.4867,48.1402,61.3778,63.7336,51.7557,45.3182,63.4106,44.5763,49.7898,72.9603,54.854,62.702,69.0086,55.3283,54.7519,67.304,78.633,63.9879,63.1876,43.2947,61.869,56.7253,71.4931,64.0188,66.2376,78.3548,69.3458,84.0111,51.8771,58.741,67.6615,52.4927,69.2544,28.8348,52.4311,51.5919,50.4025,48.5981,66.8083,68.0026,48.6998,49.6006,28.5496,41.736,51.556,49.2145,48.168,58.0722,47.1657,80.7941,56.3484,51.2977,40.2939,70.0939,60.2294,66.3422,57.1295,53.7607,79.9578,62.2174,73.1004,58.3058,45.0142,59.9926,58.3367,59.537,53.8668,50.0919,37.4204,51.5431,75.009,57.9508,43.4308,73.0299,56.3633,68.0659,51.3097,70.2449,69.3066,46.9196,76.5946,70.3306,44.0155,55.9695,62.7138,43.9263,64.1607,50.3318,66.3576,45.6306,58.7196,60.4905,54.1449,57.2837,75.5812,54.2561,52.2603,58.8745,68.1943,58.2168,62.6179,60.4025,72.5938,57.9938,77.6375,49.1224,62.1784,48.7875,47.2945,75.7089,47.1525,55.1332,80.8423,54.0725,51.1318,60.434,47.8237,50.2992,58.7744,58.8507,60.8591,56.4016,68.7547,61.1461,57.1911,45.7099,67.0623,62.4967,51.3961,64.6445,53.0376,64.4774,78.0564,84.8669,73.2847,66.21,57.344,51.8854,52.0025,60.6292,50.0704,63.7868,52.3901,56.4907,37.3066,63.0698,49.1613,60.7703,78.8875,47.0906
