date,RESI US Equity,PARR US Equity,FRGI US Equity,VCRA US Equity,SN US Equity,ANGI US Equity,CARB US Equity,SXC US Equity,MITT US Equity,THR US Equity,RPXC US Equity,WIFI US Equity,GNC US Equity,APTS US Equity,QADA US Equity,CMRE US Equity,GNMK US Equity,EXPR US Equity,PLOW US Equity,CLDT US Equity,PSTB US Equity,CTBI US Equity,HLX US Equity,ORIT US Equity,ZIOP US Equity,OFIX US Equity,VICR US Equity,DCOM US Equity,ACOR US Equity,PEI US Equity,NNBR US Equity,NPK US Equity,ORBC US Equity,ATW US Equity,CCC US Equity,TRST US Equity,RBCAA US Equity,CLW US Equity,CNOB US Equity,LRN US Equity,AROC US Equity,UCTT US Equity,NYNY US Equity,GLRE US Equity,HFWA US Equity,FBNC US Equity,TISI US Equity,XBKS US Equity,KOP US Equity,SHLD US Equity,CBB US Equity,VRTS US Equity,LL US Equity,PHH US Equity,TRK US Equity,IRET US Equity,GSBC US Equity,IMKTA US Equity,GABC US Equity,CTS US Equity,MTRN US Equity,UBA US Equity,PFBC US Equity,CASS US Equity,GBNK US Equity,AVAV US Equity,JBSS US Equity,ATRC US Equity,ACLS US Equity,PETS US Equity,HRTX US Equity,BMTC US Equity,WRLD US Equity,LCI US Equity,NX US Equity,NYMT US Equity,TWI US Equity,NANO US Equity,KERX US Equity,PLAB US Equity,CRAY US Equity,CNXN US Equity,FLIC US Equity,DHIL US Equity,COBZ US Equity,RUTH US Equity,AEGN US Equity,AGM US Equity,ARII US Equity,HEES US Equity,GCO US Equity,TGH US Equity,GBLI US Equity,NR US Equity,MHO US Equity,BDGE US Equity,ITG US Equity,FORR US Equity,UIHC US Equity,INTL US Equity,UTL US Equity,ANIK US Equity,DXPE US Equity,CYTK US Equity,HSKA US Equity,CAMP US Equity,SP US Equity,OMER US Equity,CECO US Equity,RCII US Equity,CAC US Equity,GRC US Equity,CTWS US Equity,FPO US Equity,FLWS US Equity,CWST US Equity,KBAL US Equity,ESND US Equity,CMCO US Equity,LPSN US Equity,SYX US Equity,NEO US Equity,AHT US Equity,FF US Equity,REX US Equity,CKH US Equity,NAT US Equity,OFLX US Equity,VIVO US Equity,PZN US Equity,KMG US Equity,CRY US Equity,FARO US Equity,MSEX US Equity,PRSC US Equity,DEPO US Equity,MG US Equity,LION US Equity,PEBO US Equity,GHL US Equity,AMAG US Equity,IIIN US Equity,EMCI US Equity,PRFT US Equity,INO US Equity,PGTI US Equity,THFF US Equity,UIS US Equity,HBNC US Equity,CONN US Equity,PCBK US Equity,CETV US Equity,ANH US Equity,FINL US Equity,ANCX US Equity,SPNS US Equity,WSBF US Equity,LMAT US Equity,DNR US Equity,ECHO US Equity,UMH US Equity,INWK US Equity,TG US Equity,ACHN US Equity,PRTK US Equity,MYE US Equity,ANGO US Equity,FDEF US Equity,SNCR US Equity,VDSI US Equity,SCLN US Equity,MCRI US Equity,GRBK US Equity,MBWM US Equity,UFI US Equity,PDFS US Equity,NLS US Equity,AVD US Equity,SCHN US Equity,TLRD US Equity,TRR US Equity,PGC US Equity,FRBK US Equity,EVC US Equity,FTK US Equity,GOOD US Equity,HVT US Equity,MPAA US Equity,XCRA US Equity,ANIP US Equity,TK US Equity,MLAB US Equity,CROX US Equity,MOV US Equity,HWKN US Equity,ARCB US Equity,FOSL US Equity,SGMO US Equity,NC US Equity,WINA US Equity,FARM US Equity,HTBK US Equity,COHU US Equity,LDR US Equity,IXYS US Equity,BH US Equity,SPPI US Equity,MYRG US Equity,BKS US Equity,DHT US Equity,WHG US Equity,EZPW US Equity,HZO US Equity,MED US Equity
4/1/2013,15.5,10.96,16.42,25.66,20.06,11.4997,9.62,16.88,24.26,23.21,10.04,8,33.89,7.93,13.93,14.7,9.2287,15.12,14.41,15.5,5.47,30.3727,21.84,15.6,4.49,37.98,5.58,14.28,27.75,18.81,9.79,70.69,3.85,48.4,14.75,5.43,22.4,40.28,11.67,21.37,13.5968,5.26,11.6879,23.1,14.69,13.27,37.12,12.4,39.56,28.9761,27.8,126.95,53.49,23.16,18.18,8.92,26.14,17.72,15.3067,10.98,27.35,19.7,15.02,43.18,10,22.63,18.88,7.4592,5.56,11.4,12,22.6,75.85,5.53,20.97,6.61,21.88,15.46,2.73,5.87,16.4804,11.75,13.1067,69,7.73,7.5303,22.94,33.28,32.37,17.2,57.52,33.46,23.4,8.29,26.9,21.24,9.49,26.8612,5.93,18.11,26.62,11.15,51.67,4.8,8.4,8.66,22.2,5.85,3.76,34.86,23.5733,24.408,29.99,12.84,3.71,4.6,9.6273,32.08,16.27,13.5018,10.23,2.7,6.504,12.22,20.52,42.9018,9.0214,13.1,20.9,5.59,18.86,6.72,37.17,19.63,16.85,6.38,24.41,9.3478,22.54,56.36,16.2,13.01,15.92,11.92,2.1195,4.38,31.03,17.93,13.8067,29.3038,9.84,6.23,6.02,17.46,14.33,4,7.318,5.88,16.77,18.45,10.76,14.68,21.44,9.4499,66,14.71,11.15,20.16,21.66,7.9885,4.8291,11.74,3.022,17.04,13.43,14.49,3.85,31.47,31.68,32.65,6.1,14.7,2.13,1.7,13.06,18.22,16.27,6.71,6.66,7.74,33.97,53.9,15.35,32.22,39.96,10.15,97.12,6.65,65.27,58.35,13.98,6.99,10.84,62.26,9.93,347.695,12.0297,21.7,8.7447,4.63,41.83,20.31,10.17,27.48
7/1/2013,15.35,11.44,16.4,25.76,20.16,11.45,9.6295,16.78,24.26,23.09,10.01,7.97,33.4,7.98,13.82,14.74,9.01,14.84,14.12,15.37,5.4,29.5909,21.66,15.38,4.42,37.87,5.41,14.08,28.3777,18.94,9.22,69.41,3.75,48.03,14.69,5.34,22.26,39.89,11.71,21.26,13.6876,5.08,11.3955,22.8788,14.43,13.01,37.09,14.4,39.64,29.4774,27.6,126.79,53.05,23.22,17.73,8.91,25.95,17.71,15.0533,10.81,27.45,19.8,14.87,42.05,9.95,21.97,19.04,7.56,5.64,11.81,12.2,22.5,75.32,5.55,20.46,6.64,22.94,15.04,2.92,5.7794,16.8,11.77,12.9333,67.87,7.66,7.54,22.67,33.41,32.45,17.2406,56.65,33.3,22.69,8,26.92,20.7,9.3,27.05,6.06,18.02,26.55,10.26,51.83,4.86,8.6014,8.125,21.91,6.07,3.51,34.43,23.1933,24.384,29.89,13.01,3.63,4.43,9.05,32.47,16.33,13.29,10.14,2.59,6.4449,12.12,20.43,42.7365,8.9918,13.03,21.01,5.43,18.83,6.52,36.61,19.18,16.92,6.4,24.02,9.5026,21.91,55.45,16.1596,12.92,15.7,11.67,2.48,4.36,30.25,17.41,13.4867,28.58,9.61,6.0799,6.03,17.1701,14.55,4.18,7.3909,5.89,16.66,18.29,10.77,14.4,21.42,8.57,64.8,14.43,11.23,19.82,21.65,7.63,4.7901,11.42,2.7675,16.89,12.87,14.11,3.91,31.13,31.9,32.66,5.92,14.49,2.1,1.7,12.92,18.28,16.39,6.63,6.44,7.74,34.02,53.3,15.36,32.21,39.43,9.87,95.85,6.47,65.26,58.5,14.1791,6.95,10.86,61.75,9.54,343.706,12.01,21.49,8.7774,4.49,41.51,20.29,10.22,27.55
8/1/2013,15.9,11.44,16.34,26.81,20.39,11.28,9.62,16.68,24.66,23.1,9.91,8,33.02,8.03,13.68,14.93,9,15.16,14.14,15.28,5.47,29.8364,21.09,15.65,4.42,36.22,5.4,14.1795,27.2623,18.86,9.64,69.97,3.93,48.48,14.71,5.31,22.06,40.33,11.68,20.32,13.9903,4.8,10.8769,22.73,14.76,12.8,41.88,13.4,39.36,27.5819,25.7,128.79,54.76,23.43,17.71,8.9,25.94,17.33,14.9667,10.64,26.6,19.64,15,42.47,9.9,21.57,18.99,7.8,5.48,11.58,14,22.23,74.26,5.52,20.59,6.61,22.97,14.46,2.97,5.75,16.4807,11.84,12.9644,68.26,7.61,7.72,23.13,33.57,33.57,17.34,56.42,33.23,22.43,7.9,27.61,20.6,9.23,26.89,5.83,18.19,26.46,10.4,51.1,5.4,8.65,8.09,21.88,6.25,3.39,34.02,22.8267,24,29.87,13.02,3.65,4.42,8.8628,32.34,16.22,13.33,10.37,2.64,6.504,12.1,20.69,42.6363,9.189,12.56,20.86,5.26,18.85,6.65,36.24,19.19,17.01,6.41,23.72,9.5317,21.83,54.8,15.7,12.85,16.18,11.68,2.48,4.47,29.92,17.34,13.5333,28.44,9.61,6,6.05,17.55,14.52,4.42,7.3544,5.8,16.71,18.57,10.9,14.33,21.3,9.05,65.28,14.53,11.19,20.48,21.7,7.6,4.99,10.88,2.787,17.03,12.96,14.43,3.82,31.14,29.38,32.21,6.1,14.36,2.1064,1.69,12.54,18.45,16.41,6.57,6.26,8.58,33.9,52.75,15.23,32.73,38.49,10.2,98.38,6.6497,64.91,59.25,13.95,6.89,10.4,61.61,9.47,345.377,11.74,21.59,8.7774,4.5,41.19,20.34,10.18,28.1
9/1/2013,17.83,11.44,16.51,26.78,20,11.39,9.63,16.62,24.65,23.06,9.69,8,33.67,7.99,13.79,14.9,9.72,15.03,12.95,14.6,5.45,30.1273,20.95,15.7,4.67,36.93,5.43,14.24,27.12,18.79,9.35,69.74,3.99,48.26,14.83,5.36,22.42,40.24,11.71,20.64,13.9176,4.85,10.6861,22.76,14.49,13.31,43.28,13.3,39.72,28.0008,26.25,131.72,55.17,23.21,17.69,8.95,26.56,17.31,14.98,10.72,27.03,19.64,15,42.49,10,21.78,19,7.95,5.52,11.46,13.3,22.4,74.36,5.6,20.85,6.67,22.96,14.89,2.95,5.85,16.73,11.72,13.0267,68.45,7.71,8.22,22.91,33.97,33.48,17.37,56.36,33.8,22.82,7.92,28.34,21.06,9.34,26.89,5.91,18.61,26.49,10.38,51.8,6.78,8.29,8.1,21.71,6.27,3.26,33.57,23.1,24.032,29.85,13.04,3.69,4.38,8.894,32.27,15.97,13.52,10.31,2.56,6.5277,12.19,20.89,42.8267,9.0806,12.69,20.97,5.43,18.9,6.68,36.63,19.24,16.94,6.4,21.11,9.8897,21.93,55.18,16.1,13,16.2267,11.8,2.514,4.45,29.99,17.25,13.3933,27.88,9.74,5.92,6.05,17.47,14.49,4.4,7.2906,5.82,16.59,19.07,10.88,14.44,21.18,9.15,63.24,14.58,11.36,20.53,21.66,7.82,4.89,10.39,2.7936,17.14,12.98,15.73,3.85,31.63,29.66,32.31,6.04,14.41,2.11,1.73,12.59,18.54,16.52,6.78,6.33,8.34,33.8,52.97,15.25,33.04,39.09,9.73,99.45,6.82,65.61,59.38,14.27,6.93,10.67,62.36,9.71,344.636,12.61,21.54,8.6202,4.48,41.47,20.79,10.06,27.72
10/1/2013,17.54,11.44,16.64,26.88,20.95,11.79,9.73,16.74,24.71,22.87,9.85,8.01,34.54,7.98,13.87,14.7,10.11,14.29,13.32,14.74,5.41,30.0182,21,15.85,4.52,37.24,5.36,14.34,27.98,18.57,9.61,69.33,4,48.25,15.26,5.35,22.34,40.15,11.75,19.92,13.9116,4.81,10.5907,22.99,14.5,13.09,41.15,12.2,39.65,28.3648,25.8,134.38,56.27,23.29,17.71,9.09,26.38,17.08,14.9133,10.79,27.39,19.64,15.04,41.85,10.15,22.3,18.97,7.96,5.44,11.4,13.4,22.29,74.65,5.88,20.78,6.64,23.42,15.1,2.92,5.92,16.72,12.11,12.9778,67.9,7.73,7.76,22.77,33.96,34.2,17.46,56.63,34.78,22.87,8.05,28.07,20.95,9.54,26.78,5.925,18.46,26.54,10.31,50.76,6.18,8.4499,8.05,21.3,6.29,3.37,33.44,23.06,23.992,30.02,13.02,3.71,4.49,8.7691,32.25,16.12,13.65,10.3,2.63,6.4626,12.2,21.21,42.5862,9.3665,13.05,21.15,5.43,18.85,6.55,35.76,19.21,16.88,6.4,21.19,9.9671,21.99,56.05,16.46,13,16.54,11.95,2.48,4.52,30.18,17.29,13.58,28.05,9.88,5.62,6.08,17.46,14.52,4.37,7.2086,5.86,16.8,19.05,10.36,14.54,21.56,9.02,69.12,14.91,11.52,20.48,23.02,7.93,4.85,10.45,2.9208,17.23,12.77,15.92,3.93,31.83,29.67,32.04,6.01,14.57,2.11,1.75,12.8,18.76,16.5,6.86,6.34,8.22,33.99,53,15.36,33,38.9,10.18,100.99,6.9,66.35,59.38,14,6.94,10.56,62.55,9.77,344.636,13.01,21.76,8.5416,4.48,40.63,20.76,10.14,28
11/1/2013,18.4,10.49,16.55,25.66,20.61,11.98,9.7,16.46,24.7,22.5,9.77,7.92,36.25,7.8601,13.41,14.7,10.83,13.89,13.12,14.78,5.41,29.8364,20.85,15.81,4.49,37.44,5.41,14.36,27.33,18.34,9.22,69.89,3.99,47.86,15.45,5.18,22.08,41.18,11.74,20.35,13.8995,4.81,10.8769,22.76,14.61,13.06,42.26,12.4,39.86,28.1244,26.5,134.79,56.82,23.34,17.72,9.05,26.05,16.96,14.74,10.69,27.26,19.6,14.74,41.57,10.1,21.74,19.5,7.68,5.44,11.35,13.5,22.33,74.11,5.72,20.96,6.68,23.48,15.11,2.97,5.85,16.55,12.31,12.9022,67.4,7.67,8.02,22.66,33.97,32.95,17.65,56.72,35.25,22.92,8,27.37,20.7,9.55,26.76,6.1,18.23,26.48,10.31,51.33,6.72,8.52,8.13,21.34,6.13,3.47,33.72,22.8,23.824,30.08,13.03,3.68,4.46,8.8472,32.27,16.16,13.84,10.36,2.61,6.5099,12.18,21.44,42.6463,9.0214,12.99,21.08,5.74,18.83,6.3,31.77,19.37,16.05,6.52,21.16,9.9865,21.84,56.92,15.88,12.85,16.4067,12,2.4,4.69,30.2,17.3,13.2733,28.76,9.87,5.88,6.09,17.29,14.56,4.27,6.4431,6.05,16.62,19.05,10.33,14.35,21.58,9.4,73.8,14.81,11.57,19.83,22.96,8.06,4.96,10.28,2.8654,17.19,12.48,15.99,3.92,31.3,29.44,31.7,5.91,14.43,2.12,1.71,13.06,18.7,17.27,7.1,6.4,8.52,33.59,52.37,15.53,33.14,39.29,10.01,100.79,6.98,64.8,59.89,13.99,6.9,10.64,61.54,9.81,345.369,12.72,21.77,8.3582,4.5,41,20.51,10.11,27.71
14/1/2013,18.38,10.96,16.65,26.15,20.7,12.11,9.64,16.26,24.51,22.18,9.76,7.78,36.04,7.967,13.68,14.5,11.14,14.06,12.88,14.86,5.5,29.7909,20.72,15.78,4.46,37.11,5.38,14.33,27.74,18.26,9.2,70.19,4.03,48.49,15.79,5.2,22.18,41.68,11.78,19.37,13.6936,4.74,10.6003,22.81,14.74,12.95,41.8,12.4,39.48,30.6313,26.85,137.86,55.33,23.18,17.57,9.17,25.98,17.06,14.62,10.59,28.83,19.65,14.74,41.08,10,21.92,20.04,7.46,5.24,11.46,13.7,22.29,73.54,5.65,20.92,6.66,23.37,15,2.92,5.9,16.45,12.25,12.9689,67.34,7.72,7.91,22.75,33.78,32.96,17.72,56.77,35.98,22.68,7.8,26.34,20.76,9.57,26.59,6,18.06,26.38,10.22,51.69,6.54,8.5899,8.21,21.11,6.15,3.42,34.03,22.64,23.84,30.22,13.27,3.61,4.38,8.7925,32.27,15.87,13.75,10.37,2.62,6.575,12.16,21.76,42.3056,8.9228,13.03,21.15,6.01,19.02,6.27,31.51,19.35,16.8,6.51,21.73,9.9768,21.72,56.89,15.36,12.79,17.04,11.79,2.56,4.69,29.84,17.49,13.34,28.07,9.86,5.9,6.07,17.15,14.16,4.15,6.0694,6.12,16.88,19.5,10.23,14.19,21.6,9.19,69.6,15.16,11.72,19.97,22.7,8.11,4.95,10.33,2.7544,17.09,12.34,15.72,4.1,31.09,28.92,31.18,5.82,14.54,2.11,1.67,12.82,18.51,17.27,7.04,6.45,8.22,33.34,52.52,15.52,34.11,39.38,10.01,101.47,8.2,65.31,60.17,13.93,6.84,10.49,61.38,9.65,342.103,12.67,21.92,8.6268,4.51,41.63,20.66,10.05,27.95
15/1/2013,18.24,10.96,16.89,26.9,20.92,12.49,9.71,16.29,24.59,22.44,9.67,7.97,36.65,8.2,13.52,14.64,11.4,17.4,13.28,14.82,5.5,30.1909,21.51,15.79,4.42,37.07,5.44,14.25,27.84,18.39,9.1,71.18,4.08,48.69,15.85,5.23,22.23,42.22,11.75,19.2,13.9358,4.83,10.2329,22.94,14.51,12.85,41.89,12.3,39.63,30.3703,27,136,55.2,23.33,17.39,9.09,26.03,17.29,14.48,10.5,28.85,19.6,14.69,40.72,10.1,22.09,19.9,7.49,5.08,11.26,13.2,22.47,73,5.85,20.88,6.65,23.07,14.86,2.89,5.91,16.61,12.27,12.9733,67.6,7.72,7.93,22.8,33.8,34.07,17.75,61.61,36.16,22.82,7.94,27.26,20.67,9.51,26.49,5.9,17.98,26.31,10.34,52.98,6.24,8.39,8.29,20.98,6.04,3.51,34.4,22.5733,24,29.82,13.21,3.68,4.4,8.7925,32.12,16.14,13.98,10.3,2.7,6.5868,12.23,21.79,42.6613,8.7946,13.1,21.04,5.84,18.91,6.3,32.58,19.41,17.11,6.38,22.04,9.9961,21.88,56.08,15.32,12.75,16.9667,11.67,2.696,4.72,29.92,17.7,13.6467,28.33,9.9,5.87,6.09,17.52,14.35,4,6.6436,6.1,17.76,19.64,10.26,14.2,21.5,9.17,71.04,15.13,11.78,20,22.61,8,4.92,10.25,2.7479,17.2,12.5,16.02,4.2,31.33,29.61,32,5.61,14.33,2.13,1.7,12.75,18.5,17.07,6.86,6.36,8.16,33.54,52.29,15.71,34.21,39.15,10.47,103.62,8.77,66.11,60.16,13.71,6.85,10.43,62.46,9.56,339.889,12.61,21.81,8.6661,4.45,41.5,20.54,10.06,27.69
16/1/2013,16.63,10.96,17.05,27.16,21.1,12.25,9.62,16.25,24.71,22.48,9.72,7.82,36.95,8.23,13.45,14.63,11.19,17.68,13.16,14.93,5.46,29.4182,21.76,15.7,4.25,36.7,5.38,14.11,27.52,18.17,8.87,70.79,4.11,49.11,15.39,5.21,22.3,42.03,11.81,19.33,13.6089,4.94,10.7815,22.74,14.4,12.64,41.99,12.1,39.57,31.27,26.9,135.8,54.4,23.54,17.45,9.11,25.62,16.95,14.4467,10.38,27.96,19.63,14.7,40.38,10.15,21.72,19.95,8.01,5,11.14,13.2,22.28,73.12,5.81,20.52,6.66,23.25,14.75,2.86,5.91,17.2,12,13.0667,67.64,7.57,7.65,22.82,33.65,34.87,17.64,60.97,36.36,22.39,7.88,27.32,20.55,9.62,26.16,6,17.4,26.06,10.32,52.02,6.3,8.2801,8.24,20.66,5.89,3.4,34.25,22.4667,23.592,29.54,13.31,3.56,4.37,8.5507,32.29,16.09,14.06,10.14,2.6,6.5986,12.2,21.62,42.6513,8.7552,12.86,20.93,5.55,18.6,6.27,33.1,19.15,17.23,6.32,21.6,9.8607,21.62,56.42,15.11,12.54,16.9133,11.58,2.68,4.77,29.64,17.67,13.74,28.32,9.88,5.78,6.11,17.73,14.29,4.05,6.7894,6.16,17.8,18.32,10.25,14.23,21.38,9.07,70.2,15.02,11.79,20.14,23.18,7.9,4.79,10.09,2.7548,17.16,12.5,14.8,4.2,31.08,29.58,31.91,5.51,14.04,2.22,1.68,12.7,18.36,17.5,6.96,6.35,7.98,33.88,52.33,14.19,33.86,38.7,10.2,104.84,8.6,65.9,60.03,13.96,6.82,10.31,60.83,9.55,339.519,12.05,21.77,8.6464,4.41,40.85,20.13,10.01,27.72
17/1/2013,17.35,10.96,18.21,26.8,21.18,11.85,9.56,16.31,24.79,22.49,9.72,7.69,37.53,8.3899,13.31,14.95,11.17,17.62,13.08,15.04,5.4,29.5909,22.12,15.86,4.17,36.43,5.38,14.21,27.79,18.45,8.94,72.01,4.06,49.68,15.49,5.24,22.56,44.24,11.84,18.98,13.6936,5.12,11.1632,22.76,14.56,12.71,42.21,12.1,39.92,31.3249,26.5,136.26,56.44,23.63,17.34,9.13,26.3,17.03,14.6333,10.56,27.87,19.75,14.71,40.05,10.2,21.82,19.73,7.86,5.16,11.09,13,21.89,72.99,5.89,21.01,6.73,23.42,15.1,2.86,6.045,17.87,12.3,13.2667,68.4,7.68,7.87,23.45,33.82,35.36,18.43,61,37.5,22.49,8.12,28.33,20.56,9.8,26.06,5.91,18.01,26.16,10.29,52.82,6.24,8.32,8.26,20.65,5.89,3.38,34.39,22.7533,24.04,29.71,13.51,3.7,4.43,8.6443,32.48,16.5,14.19,10.31,2.75,6.6518,12.33,21.42,43.2976,8.489,13.2,20.94,5.83,18.63,6.3,32.18,19.26,18.3,6.29,21.76,9.9574,21.74,56.4,15.45,13.6,17.08,11.49,2.88,4.8,29.51,17.63,13.7267,28,10.02,5.76,6.13,17.95,14.37,4.27,6.9079,6.18,18,18.46,10.41,14.26,21.84,9.2,70.8,15.2,11.85,19.64,23.27,7.88,4.99,10.2,2.8458,17.23,12.81,15.28,4.61,31.49,30,32.68,5.77,14.25,2.1501,1.7,12.73,18.41,17.73,6.84,6.46,7.8,34.38,52.63,14.57,34,39.58,10.4,104.97,9.03,66.25,60.87,14,6.88,10.45,63.27,9.42,344.645,12,21.94,8.6595,4.49,40.5,20.5,10.92,28.02
