major,minor,Cash0,Cash1,Cash2,Close,Share0,Share1,Share2,Total0,Total1,Total2
AAPL US Equity,2007-05-01,10.37,10.37,10.37,14.21,703.0,703.0,703.0,10000.0,10000.0,10000.0
AAPL US Equity,2007-05-02,10.37,10.37,10.37,14.34,703.0,703.0,703.0,10091.39,10091.39,10091.39
AAPL US Equity,2007-05-03,10.37,10.37,10.37,14.34,703.0,703.0,703.0,10091.39,10091.39,10091.39
AAPL US Equity,2007-05-04,10.37,10.37,10.37,14.4,703.0,703.0,703.0,10133.57,10133.57,10133.57
AAPL US Equity,2007-05-07,10.37,10.37,10.37,14.85,703.0,703.0,703.0,10449.92,10449.92,10449.92
AAPL US Equity,2007-05-08,10.37,10.37,10.37,15.01,703.0,703.0,703.0,10562.4,10562.4,10562.4
AAPL US Equity,2007-05-09,10.37,10.37,10.37,15.27,703.0,703.0,703.0,10745.18,10745.18,10745.18
AAPL US Equity,2007-05-10,10.37,10.37,10.37,15.33,703.0,703.0,703.0,10787.36,10787.36,10787.36
AAPL US Equity,2007-05-11,10.37,10.37,10.37,15.53,703.0,703.0,703.0,10927.96,10927.96,10927.96
AAPL US Equity,2007-05-14,10.37,10.37,10.37,15.62,703.0,703.0,703.0,10991.23,10991.23,10991.23
AAPL US Equity,2007-05-15,10.37,10.37,10.37,15.36,703.0,703.0,703.0,10808.45,10808.45,10808.45
AAPL US Equity,2007-05-16,10.37,10.37,10.37,15.33,703.0,703.0,703.0,10787.36,10787.36,10787.36
AAPL US Equity,2007-05-17,10.37,10.37,10.37,15.63,703.0,703.0,703.0,10998.26,10998.26,10998.26
AAPL US Equity,2007-05-18,10.37,10.37,10.37,15.72,703.0,703.0,703.0,11061.53,11061.53,11061.53
AAPL US Equity,2007-05-21,10.37,10.37,10.37,16.0,703.0,703.0,703.0,11258.37,11258.37,11258.37
AAPL US Equity,2007-05-22,10.37,10.37,10.37,16.22,703.0,703.0,703.0,11413.03,11413.03,11413.03
AAPL US Equity,2007-05-23,10.37,10.37,10.37,16.13,703.0,703.0,703.0,11349.76,11349.76,11349.76
AAPL US Equity,2007-05-24,10.37,10.37,10.37,15.81,703.0,703.0,703.0,11124.8,11124.8,11124.8
AAPL US Equity,2007-05-25,10.37,10.37,10.37,16.23,703.0,703.0,703.0,11420.06,11420.06,11420.06
AAPL US Equity,2007-05-29,10.37,10.37,10.37,16.34,703.0,703.0,703.0,11497.39,11497.39,11497.39
AAPL US Equity,2007-05-30,10.37,10.37,10.37,16.97,703.0,703.0,703.0,11940.28,11940.28,11940.28
AAPL US Equity,2007-05-31,10.37,10.37,10.37,17.31,703.0,703.0,703.0,12179.3,12179.3,12179.3
AAPL US Equity,2007-06-01,10.37,10.37,10.37,16.91,703.0,703.0,703.0,11898.1,11898.1,11898.1
AAPL US Equity,2007-06-04,10.37,10.37,10.37,17.33,703.0,703.0,703.0,12193.36,12193.36,12193.36
AAPL US Equity,2007-06-05,10.37,10.37,10.37,17.52,703.0,703.0,703.0,12326.93,12326.93,12326.93
AAPL US Equity,2007-06-06,10.37,10.37,10.37,17.66,703.0,703.0,703.0,12425.35,12425.35,12425.35
AAPL US Equity,2007-06-07,10.37,10.37,10.37,17.72,703.0,703.0,703.0,12467.53,12467.53,12467.53
AAPL US Equity,2007-06-08,10.37,10.37,10.37,17.78,703.0,703.0,703.0,12509.71,12509.71,12509.71
AAPL US Equity,2007-06-11,10.37,10.37,10.37,17.17,703.0,703.0,703.0,12080.88,12080.88,12080.88
AAPL US Equity,2007-06-12,10.37,10.37,10.37,17.2,703.0,703.0,703.0,12101.97,12101.97,12101.97
AAPL US Equity,2007-06-13,10.37,10.37,10.37,16.79,703.0,703.0,703.0,11813.74,11813.74,11813.74
AAPL US Equity,2007-06-14,10.37,2401.73,2401.73,16.96,703.0,562.0,562.0,11933.25,11933.25,11933.25
AAPL US Equity,2007-06-15,10.37,2401.73,2401.73,17.21,703.0,562.0,562.0,12109.0,12073.75,12073.75
AAPL US Equity,2007-06-18,10.37,2401.73,2401.73,17.87,703.0,562.0,562.0,12572.98,12444.67,12444.67
AAPL US Equity,2007-06-19,10.37,2401.73,2401.73,17.67,703.0,562.0,562.0,12432.38,12332.27,12332.27
AAPL US Equity,2007-06-20,10.37,2401.73,2401.73,17.36,703.0,562.0,562.0,12214.45,12158.05,12158.05
AAPL US Equity,2007-06-21,10.37,2401.73,2401.73,17.7,703.0,562.0,562.0,12453.47,12349.13,12349.13
AAPL US Equity,2007-06-22,10.37,2401.73,2401.73,17.57,703.0,562.0,562.0,12362.08,12276.07,12276.07
AAPL US Equity,2007-06-25,10.37,2401.73,2401.73,17.48,703.0,562.0,562.0,12298.81,12225.49,12225.49
AAPL US Equity,2007-06-26,10.37,2401.73,2401.73,17.09,703.0,562.0,562.0,12024.64,12006.31,12006.31
AAPL US Equity,2007-06-27,10.37,2401.73,2401.73,17.41,703.0,562.0,562.0,12249.6,12186.15,12186.15
AAPL US Equity,2007-06-28,10.37,2401.73,2401.73,17.22,703.0,562.0,562.0,12116.03,12079.37,12079.37
AAPL US Equity,2007-06-29,10.37,2401.73,2401.73,17.43,703.0,562.0,562.0,12263.66,12197.39,12197.39
