Date,AAPL US Equity,BRK/B US Equity,JPM US Equity,JNJ US Equity,PFE US Equity,AMZN US Equity,CMCSA US Equity,WMT US Equity,PG US Equity,GE US Equity,MMM US Equity,XOM US Equity,CVX US Equity,VZ US Equity,NEE US Equity,DUK US Equity,DOW US Equity,DD US Equity,SPG US Equity,GOOGL US Equity
1/5/2007,14.21,72.12,52.26,64.56,26.59,61.19,13.35,48.33,62.96,37.1,83.61,79.66,78.35,35.82,64.61,62.07,44.03,46.89,101.8,234.73
2/5/2007,14.34,72.38,52.55,64.48,26.6,61.18,13.57,48.28,62.37,37.31,84.42,79.82,78.64,36.84,64.5,62.4,44.28,48.01,103.47,233.12
3/5/2007,14.34,72.36,52.7,64.32,26.87,62.19,13.62,48.36,62,37.34,84.07,80.68,79.56,38.2,64.32,62.19,44.7,48.33,103.38,236.84
4/5/2007,14.4,72.62,52.63,64.48,27.08,63.23,13.45,48.27,62.41,37.15,84.21,80.55,79.3,37.82,63.96,61.89,44.92,48.68,101.77,235.79
7/5/2007,14.85,73.58,52.73,64.26,27.38,60.82,13.37,48.61,62.18,37.24,84.93,80.83,79.58,37.98,63.84,62.64,45.38,49.05,102.28,233.86
8/5/2007,15.01,72.36,52.45,63.7,27.35,61.83,13.23,48.1,61.75,37.08,84.78,81.38,80.05,37.79,63.56,61.98,45.44,48.98,100.47,233.63
9/5/2007,15.27,72.74,53.2,64.11,27.16,62.85,13.14,47.93,62.01,37.26,85.36,81.42,79.75,38.29,63.74,61.02,45.61,49.03,102.2,234.85
10/5/2007,15.33,72.74,52,62.5,26.8,60.92,13,47.75,61.49,36.78,84.65,79.39,78.19,37.93,63.61,60.45,45.4,48.08,99.88,230.96
11/5/2007,15.53,73.36,52.15,62.27,27.04,61.56,13.21,47.78,61.65,36.97,85.55,81.23,80.04,38.46,64.59,60.84,45.79,47.9,101,233.6
14/5/2007,15.62,72.8,51.83,62.61,27.23,61.7,13.29,47.84,61.72,36.6,84.83,81.25,80.87,38.7,65.63,61.62,45.52,47.94,99.9,231.11
15/5/2007,15.36,72.66,52.03,61.82,27.1,60.58,13.3,47.62,62.07,36.64,86.17,81.13,80.73,39.57,65.36,61.38,46.01,48.35,97.43,229.22
16/5/2007,15.33,72.6,52.98,63.05,27.32,63.22,13.6,47.18,63.32,36.83,86.01,81.45,80.73,39.76,65.6,61.38,46.29,48.92,95.77,236.53
17/5/2007,15.63,72.26,52.56,62.74,27.36,62.17,13.45,47.11,63.37,36.53,86.67,81.8,81.46,39.2,65.07,61.47,46.06,49.31,93.59,235.71
18/5/2007,15.72,72.09,52.54,63.42,27.44,63.3,13.77,47.27,63.48,36.96,86.9,83.26,82.85,39.62,65.07,61.2,45.99,49.76,92.75,235.39
21/5/2007,16,72.62,52.56,63.52,27.42,68.3,13.77,46.62,63.27,37.1,87.06,83.59,82.83,39.57,65.52,61.17,45.92,49.46,93.54,235.53
22/5/2007,16.22,72.87,52.29,63.58,27.37,68.88,13.68,46.54,63,37.34,87.78,82.77,82.18,39.64,66.09,60.87,45.77,49.44,95.2,238.16
23/5/2007,16.13,72.78,51.99,63.81,27.34,69,13.67,46.33,63.1,37.6,87.94,82.99,81.4,39.69,64.73,59.82,45.38,49.5,93.19,237.22
24/5/2007,15.81,72.45,51.59,63.48,27.28,69.35,13.43,46.65,62.87,37.38,87.15,82.28,79.97,39.57,62.83,58.26,44.86,48.77,90.82,237.4
25/5/2007,16.23,73.2,51.64,63.19,27.53,68.55,13.62,46.91,62.96,37.56,87.35,83.51,81.13,39.53,62.58,57.57,45.2,48.89,91.47,241.99
29/5/2007,16.34,72.68,51.82,63.05,27.56,69.63,13.54,46.94,63.65,37.4,87.31,82.62,80.71,40.19,62.85,58.17,45.03,48.69,94.63,243.79
30/5/2007,16.97,72.56,52.06,63.22,27.41,69.86,13.74,47.12,63.85,37.73,87.93,84,82.25,40.76,63.75,58.77,45.45,49.13,97.64,249.54
31/5/2007,17.31,72.5,51.83,63.27,27.49,69.14,13.71,47.6,63.55,37.58,87.96,83.17,81.49,40.49,63.93,58.62,45.38,49.7,96.95,249.2
1/6/2007,16.91,72.7,51.9,63.41,27.68,68.58,13.68,49.47,63.48,37.45,88.43,84.22,82.23,40.01,63.34,58.23,45.93,50.44,96.98,250.44
4/6/2007,17.33,72.9,51.57,63.6,27.52,70.42,13.52,51.21,63.19,37.81,88.07,84.22,83.13,39.95,62.91,58.02,45.88,50.53,97.58,253.78
5/6/2007,17.52,72.38,51.22,63.31,27.28,73.65,13.56,50.52,63.46,37.4,87.46,84.26,82.73,39.78,61.34,57.66,46.51,49.63,95.12,259.67
6/6/2007,17.66,72.12,50.56,62.9,26.79,72.29,13.4,50.75,63.19,37.29,86.62,83.62,81.79,39.93,59.93,57.24,45.88,48.43,94.05,259.38
7/6/2007,17.72,72.54,49.82,62,26.29,72.04,13.09,49.76,62.32,36.76,84.88,81.96,80.2,39.62,57.84,55.14,44.97,47.85,90.29,257.78
8/6/2007,17.78,72.24,50.41,62.13,26.52,73.24,13.17,50.08,63.07,37.32,85.94,82.68,80.69,40.06,58.51,55.14,45.43,48.57,91.38,258
11/6/2007,17.17,72.63,50.43,62.27,26.37,71.17,13.19,49.81,63.05,37.46,85.3,83.06,81.36,40.47,60.38,55.74,45.38,48.19,89.25,255.92
12/6/2007,17.2,72.36,49.35,61.83,26.11,70.07,13.08,48.91,62.16,37.05,85.04,82,80.56,40.07,59,54.75,44.57,47.6,86.92,252.63
13/6/2007,16.79,72.5,50.29,62.18,26.35,70.89,13.44,49.5,62.37,37.64,87.19,83.35,81.15,39.91,60.25,56.04,44.99,48.37,89.66,252.87
14/6/2007,16.96,72.42,50.32,62.45,26.39,71.94,13.76,49.28,62.42,37.8,87.42,84.77,82.33,40.2,60.21,55.92,45.09,47.97,88.14,251.66
15/6/2007,17.21,72.44,50.56,62.77,26.47,72.4,14,49.34,62.57,38.12,87.67,85.94,83.17,39.99,61.3,56.94,45.37,48.89,89.01,253.19
18/6/2007,17.87,72.28,50.43,62.33,26.26,71.83,13.99,49.11,61.77,38.07,87.62,86.36,83.39,39.58,60.61,56.04,45.06,49.16,86.85,257.85
