,cum_wealth_benchmark,cum_wealth_cutloss,daily_return_benchmark_mean,daily_return_benchmark_std,daily_return_cutloss_mean,daily_return_cutloss_std
ACHN US Equity,-0.55649742,-0.15145942,0.00065547,0.052968581,0.000290033,0.030698751
ACLS US Equity,3.333492,1.837906,0.001733198,0.028365714,0.001126012,0.018971727
ACOR US Equity,-0.3906,-0.32624,-2.42E-05,0.029196692,-0.000124745,0.021500435
AEGN US Equity,-0.08004,-0.187875,0.000149744,0.021232807,-7.12E-05,0.015239361
AGM US Equity,0.9993,0.837143,0.000856749,0.021630554,0.000669618,0.01566032
AHT US Equity,0.0255142,0.10130594,0.000257488,0.021673706,0.00022222,0.016412756
AMAG US Equity,0.077125,0.091931,0.000673644,0.034179606,0.000323141,0.021766306
ANCX US Equity,1.022499,0.620653,0.000803445,0.018075469,0.00050433,0.011649892
ANGI US Equity,-0.00344993,-0.28141393,0.000869141,0.043917904,0.00034861,0.038349305
ANGO US Equity,0.38528,0.2993455,0.000472411,0.018816418,0.000324551,0.013246878
ANH US Equity,0.026576,0.171577,9.49E-05,0.011901445,0.000172791,0.007706967
ANIK US Equity,3.161984,0.608167,0.00166231,0.027663678,0.000530748,0.014320169
ANIP US Equity,4.895472,2.37594274,0.002338762,0.0383839,0.001431476,0.025895005
APTS US Equity,1.049152,0.13573992,0.000785489,0.016574475,0.000166407,0.0101432
ARCB US Equity,1.01455,-0.16327,0.001131967,0.031748576,8.90E-05,0.022252797
ARII US Equity,0.13552,0.018265,0.000462352,0.026412542,0.000163159,0.017099583
AROC US Equity,-0.2055648,-0.5360853,0.000398491,0.034303756,-0.000464852,0.021281571
ATRC US Equity,1.8640472,1.6580192,0.001306558,0.026764351,0.001062582,0.01901464
ATW US Equity,-0.798868,-0.645881,-0.000797179,0.036537713,-0.000692793,0.022243495
AVAV US Equity,0.373086,0.309784,0.000535937,0.022467455,0.00034137,0.013849307
AVD US Equity,-0.414319,0.001039,-0.000121716,0.026858145,0.000207483,0.020290384
BDGE US Equity,0.64672,0.602641,0.000563291,0.015018116,0.000474634,0.009872391
BH US Equity,0.201922,-0.3221698,0.000279762,0.015086557,-0.000311823,0.008858855
BKS US Equity,-0.19370421,-0.52094172,0.000264381,0.030011678,-0.000417741,0.021649391
BMTC US Equity,0.88179,0.657042,0.000665388,0.01372515,0.000499166,0.009263065
CAC US Equity,0.83217208,0.57438937,0.000645092,0.014008007,0.000457424,0.00973642
CAMP US Equity,1.208238,0.244572,0.001110333,0.028134332,0.000361043,0.018317592
CARB US Equity,1.177187,-0.045704,0.001046275,0.026375951,9.21E-05,0.016419904
CASS US Equity,0.529914,0.3652415,0.000560868,0.018820905,0.000367368,0.013164825
CBB US Equity,-0.353615,0.03977,-0.000107152,0.023833766,0.000177087,0.016908583
CCC US Equity,0.03385,0.333567,0.000190602,0.017878184,0.000334379,0.012189085
