Date,Close,Signal
12/8/2015,156.16,0
13/8/2015,155.07,-1
14/8/2015,155.75,-1
17/8/2015,156.31,0
18/8/2015,156.01,0
19/8/2015,153.94,0
20/8/2015,152.66,1
21/8/2015,148.85,1
24/8/2015,143.47,0
25/8/2015,140.96,0
26/8/2015,146.7,0
27/8/2015,148.54,0
28/8/2015,147.98,0
31/8/2015,147.89,0
1/9/2015,142.68,0
2/9/2015,145.05,0
3/9/2015,146.78,0
4/9/2015,143.7,0
8/9/2015,147.23,0
9/9/2015,145.05,0
10/9/2015,146.2,0
11/9/2015,147.37,0
14/9/2015,145.65,0
15/9/2015,147.53,0
16/9/2015,148.41,0
17/9/2015,148.14,0
18/9/2015,144.51,0
21/9/2015,146.48,0
22/9/2015,144.43,0
23/9/2015,143.66,0
24/9/2015,144.41,0
25/9/2015,145.42,0
28/9/2015,142.52,0
29/9/2015,142.47,1
30/9/2015,144.97,0
1/10/2015,143.59,0
2/10/2015,144.58,0
5/10/2015,149.04,-1
6/10/2015,148.78,0
7/10/2015,150.09,0
8/10/2015,152.28,-1
9/10/2015,152.39,0
12/10/2015,151.14,0
13/10/2015,149.62,0
14/10/2015,150.01,1
15/10/2015,150.09,0
16/10/2015,150.39,0
19/10/2015,149.22,0
20/10/2015,140.64,0
21/10/2015,140.92,0
22/10/2015,144.09,0
23/10/2015,144.68,0
26/10/2015,143.66,0
27/10/2015,137.86,1
28/10/2015,140.83,0
29/10/2015,140.55,0
30/10/2015,140.08,0
2/11/2015,140.37,0
3/11/2015,141.88,0
4/11/2015,141.63,0
5/11/2015,139.89,0
6/11/2015,138.25,0
9/11/2015,135.31,0
10/11/2015,135.47,0
11/11/2015,135.02,0
12/11/2015,133.04,0
13/11/2015,131.75,0
16/11/2015,133.71,0
17/11/2015,133.82,0
18/11/2015,135.82,0
19/11/2015,136.74,0
20/11/2015,138.5,0
23/11/2015,138.46,0
24/11/2015,138.6,0
25/11/2015,138,0
27/11/2015,138.46,0
30/11/2015,139.42,0
1/12/2015,141.28,0
2/12/2015,139.7,0
3/12/2015,138.92,0
4/12/2015,140.43,0
7/12/2015,139.55,1
8/12/2015,138.05,0
9/12/2015,136.61,0
10/12/2015,136.78,0
11/12/2015,134.57,0
14/12/2015,135.93,0
15/12/2015,137.79,0
16/12/2015,139.29,0
17/12/2015,136.75,1
18/12/2015,134.9,0
21/12/2015,135.5,-1
22/12/2015,137.93,0
23/12/2015,138.54,0
24/12/2015,138.25,1
28/12/2015,137.61,1
29/12/2015,139.78,0
30/12/2015,139.34,0
31/12/2015,137.62,0
4/1/2016,135.95,0
5/1/2016,135.85,0
6/1/2016,135.17,0
7/1/2016,132.86,0
8/1/2016,131.63,0
11/1/2016,133.23,0
12/1/2016,132.9,0
13/1/2016,131.17,0
14/1/2016,132.91,0
15/1/2016,130.03,0
19/1/2016,128.11,0
20/1/2016,121.86,0
21/1/2016,122.91,0
22/1/2016,122.5,0
25/1/2016,122.08,0
26/1/2016,122.59,0
27/1/2016,120.96,0
28/1/2016,122.22,0
29/1/2016,124.79,0
1/2/2016,124.83,0
2/2/2016,122.94,0
3/2/2016,124.72,0
4/2/2016,127.65,0
5/2/2016,128.57,-1
8/2/2016,126.98,0
9/2/2016,124.07,0
10/2/2016,120.19,0
11/2/2016,117.85,0
12/2/2016,121.04,1
16/2/2016,122.74,-1
17/2/2016,126.1,-1
18/2/2016,132.45,-1
19/2/2016,133.08,0
22/2/2016,133.77,0
23/2/2016,132.4,1
24/2/2016,132.8,0
25/2/2016,134.5,0
26/2/2016,132.03,0
29/2/2016,131.03,0
1/3/2016,134.37,0
2/3/2016,136.3,-1
3/3/2016,137.8,-1
4/3/2016,137.8,-1
7/3/2016,140.15,-1
8/3/2016,139.07,1
9/3/2016,140.41,1
10/3/2016,140.19,1
11/3/2016,142.36,0
14/3/2016,142.78,0
15/3/2016,142.96,0
