Date,raio,Signal
12/8/2015,0.7395,0
13/8/2015,0.4771,-1
14/8/2015,0.3596,-1
17/8/2015,0.6903,0
18/8/2015,0.8427,0
19/8/2015,0.8131,0
20/8/2015,2.0694,1
21/8/2015,1.4045,1
24/8/2015,0.8183,0
25/8/2015,0.8198,0
26/8/2015,0.8279,0
27/8/2015,1.0399,1
28/8/2015,0.9816,0
31/8/2015,1.2132,1
1/9/2015,1.1641,1
2/9/2015,1.1711,1
3/9/2015,0.8468,0
4/9/2015,1.004,0
8/9/2015,0.8379,0
9/9/2015,0.7872,0
10/9/2015,0.8763,0
11/9/2015,0.7505,0
14/9/2015,0.8483,0
15/9/2015,1.0458,0
16/9/2015,1.1443,1
17/9/2015,1.1742,1
18/9/2015,0.8501,0
21/9/2015,0.9646,0
22/9/2015,1,0
23/9/2015,0.9165,0
24/9/2015,0.9551,0
25/9/2015,0.7654,-1
28/9/2015,1.096,0
29/9/2015,1.8725,1
30/9/2015,0.8404,-1
1/10/2015,0.7874,-1
2/10/2015,0.9003,0
5/10/2015,0.6447,-1
6/10/2015,0.7444,-1
7/10/2015,0.8257,-1
8/10/2015,0.4848,-1
9/10/2015,0.7196,-1
12/10/2015,1.0265,0
13/10/2015,0.6362,-1
14/10/2015,3.8693,1
15/10/2015,0.6509,-1
16/10/2015,1.2981,0
19/10/2015,0.8987,0
20/10/2015,1.3627,1
21/10/2015,1.1408,0
22/10/2015,0.7208,-1
23/10/2015,1.246,0
26/10/2015,1.0621,0
27/10/2015,1.9412,1
28/10/2015,1.1356,0
29/10/2015,1.6042,1
30/10/2015,1.477,1
2/11/2015,0.7434,-1
3/11/2015,0.8733,0
4/11/2015,0.956,0
5/11/2015,0.76,-1
6/11/2015,1.6109,1
9/11/2015,0.9546,0
10/11/2015,0.5509,-1
11/11/2015,0.661,-1
12/11/2015,0.9706,0
13/11/2015,1.7322,1
16/11/2015,1.0509,0
17/11/2015,0.9549,0
18/11/2015,0.7074,-1
19/11/2015,0.9288,0
20/11/2015,0.7965,-1
23/11/2015,1.5791,1
24/11/2015,0.9503,0
25/11/2015,0.7361,-1
27/11/2015,0.9458,0
30/11/2015,0.7736,-1
