Date,positions,shares,cash,holdings,total,close,signal,returns
12/8/2015,640,640,57.6,99942.4,100000,156.16,0,
13/8/2015,640,0,99302.4,0,99302.4,155.07,-1,-0.006976
14/8/2015,0,0,99302.4,0,99302.4,155.75,-1,0
17/8/2015,0,0,99302.4,0,99302.4,156.31,0,0
18/8/2015,0,0,99302.4,0,99302.4,156.01,0,0
19/8/2015,0,0,99302.4,0,99302.4,153.94,0,0
20/8/2015,650,650,73.4,99229,99302.4,152.66,1,0
21/8/2015,0,650,73.4,96752.5,96825.9,148.85,1,-0.024938974
24/8/2015,0,650,73.4,93255.5,93328.9,143.47,0,-0.03611637
25/8/2015,0,650,73.4,91624,91697.4,140.96,0,-0.017481187
26/8/2015,0,650,73.4,95355,95428.4,146.7,0,0.040688177
27/8/2015,0,650,73.4,96551,96624.4,148.54,0,0.012532957
28/8/2015,0,650,73.4,96187,96260.4,147.98,0,-0.003767164
31/8/2015,0,650,73.4,96128.5,96201.9,147.89,0,-0.000607727
1/9/2015,0,650,73.4,92742,92815.4,142.68,0,-0.035202007
2/9/2015,0,650,73.4,94282.5,94355.9,145.05,0,0.016597461
3/9/2015,0,650,73.4,95407,95480.4,146.78,0,0.011917644
4/9/2015,0,650,73.4,93405,93478.4,143.7,0,-0.020967654
8/9/2015,0,650,73.4,95699.5,95772.9,147.23,0,0.024545777
9/9/2015,0,650,73.4,94282.5,94355.9,145.05,0,-0.014795417
10/9/2015,0,650,73.4,95030,95103.4,146.2,0,0.007922133
11/9/2015,0,650,73.4,95790.5,95863.9,147.37,0,0.00799656
14/9/2015,0,650,73.4,94672.5,94745.9,145.65,0,-0.011662367
15/9/2015,0,650,73.4,95894.5,95967.9,147.53,0,0.012897656
16/9/2015,0,650,73.4,96466.5,96539.9,148.41,0,0.005960326
17/9/2015,0,650,73.4,96291,96364.4,148.14,0,-0.001817901
18/9/2015,0,650,73.4,93931.5,94004.9,144.51,0,-0.024485183
21/9/2015,0,650,73.4,95212,95285.4,146.48,0,0.01362163
22/9/2015,0,650,73.4,93879.5,93952.9,144.43,0,-0.013984304
23/9/2015,0,650,73.4,93379,93452.4,143.66,0,-0.005327137
24/9/2015,0,650,73.4,93866.5,93939.9,144.41,0,0.005216559
25/9/2015,0,650,73.4,94523,94596.4,145.42,0,0.006988511
28/9/2015,0,650,73.4,92638,92711.4,142.52,0,-0.019926763
29/9/2015,0,650,73.4,92605.5,92678.9,142.47,1,-0.00035055
30/9/2015,0,650,73.4,94230.5,94303.9,144.97,0,0.017533657
1/10/2015,0,650,73.4,93333.5,93406.9,143.59,0,-0.009511802
2/10/2015,0,650,73.4,93977,94050.4,144.58,0,0.006889213
5/10/2015,650,0,96949.4,0,96949.4,149.04,-1,0.030823899
6/10/2015,0,0,96949.4,0,96949.4,148.78,0,0
7/10/2015,0,0,96949.4,0,96949.4,150.09,0,0
8/10/2015,0,0,96949.4,0,96949.4,152.28,-1,0
9/10/2015,0,0,96949.4,0,96949.4,152.39,0,0
12/10/2015,0,0,96949.4,0,96949.4,151.14,0,0
13/10/2015,0,0,96949.4,0,96949.4,149.62,0,0
14/10/2015,646,646,42.94,96906.46,96949.4,150.01,1,0
15/10/2015,0,646,42.94,96958.14,97001.08,150.09,0,0.000533062
16/10/2015,0,646,42.94,97151.94,97194.88,150.39,0,0.001997916
19/10/2015,0,646,42.94,96396.12,96439.06,149.22,0,-0.007776336
20/10/2015,0,646,42.94,90853.44,90896.38,140.64,0,-0.057473393
21/10/2015,0,646,42.94,91034.32,91077.26,140.92,0,0.001989958
22/10/2015,0,646,42.94,93082.14,93125.08,144.09,0,0.022484427
23/10/2015,0,646,42.94,93463.28,93506.22,144.68,0,0.004092775
26/10/2015,0,646,42.94,92804.36,92847.3,143.66,0,-0.007046804
27/10/2015,0,646,42.94,89057.56,89100.5,137.86,1,-0.040354431
28/10/2015,0,646,42.94,90976.18,91019.12,140.83,0,0.021533212
29/10/2015,0,646,42.94,90795.3,90838.24,140.55,0,-0.001987275
30/10/2015,0,646,42.94,90491.68,90534.62,140.08,0,-0.003342425
2/11/2015,0,646,42.94,90679.02,90721.96,140.37,0,0.002069264
3/11/2015,0,646,42.94,91654.48,91697.42,141.88,0,0.010752193
4/11/2015,0,646,42.94,91492.98,91535.92,141.63,0,-0.001761227
5/11/2015,0,646,42.94,90368.94,90411.88,139.89,0,-0.01227977
6/11/2015,0,646,42.94,89309.5,89352.44,138.25,0,-0.011717929
9/11/2015,0,646,42.94,87410.26,87453.2,135.31,0,-0.021255603
10/11/2015,0,646,42.94,87513.62,87556.56,135.47,0,0.001181889
11/11/2015,0,646,42.94,87222.92,87265.86,135.02,0,-0.00332014
12/11/2015,0,646,42.94,85943.84,85986.78,133.04,0,-0.014657278
13/11/2015,0,646,42.94,85110.5,85153.44,131.75,0,-0.00969149
16/11/2015,0,646,42.94,86376.66,86419.6,133.71,0,0.014869159
17/11/2015,0,646,42.94,86447.72,86490.66,133.82,0,0.000822267
18/11/2015,0,646,42.94,87739.72,87782.66,135.82,0,0.014938029
19/11/2015,0,646,42.94,88334.04,88376.98,136.74,0,0.006770358
20/11/2015,0,646,42.94,89471,89513.94,138.5,0,0.012864889
23/11/2015,0,646,42.94,89445.16,89488.1,138.46,0,-0.00028867
24/11/2015,0,646,42.94,89535.6,89578.54,138.6,0,0.001010637
25/11/2015,0,646,42.94,89148,89190.94,138,0,-0.004326929
27/11/2015,0,646,42.94,89445.16,89488.1,138.46,0,0.003331729
30/11/2015,0,646,42.94,90065.32,90108.26,139.42,0,0.006930083
1/12/2015,0,646,42.94,91266.88,91309.82,141.28,0,0.013334627
2/12/2015,0,646,42.94,90246.2,90289.14,139.7,0,-0.011178206
3/12/2015,0,646,42.94,89742.32,89785.26,138.92,0,-0.005580738
