Date,positions,shares,cash,holdings,total,close,signal,returns
2012-09-12,4777.0,4777.0,12.613000000012107,99987.386999999988,100000.0,20.931,0,
2012-09-13,0,4777.0,12.613000000012107,98946.001000000004,98958.614000000016,20.713,0,-0.01041386
2012-09-14,0,4777.0,12.613000000012107,105094.0,105106.61300000001,22.0,0,0.0621269715843
2012-09-17,0,4777.0,12.613000000012107,102801.03999999999,102813.65300000001,21.52,0,-0.0218155635935
2012-09-18,0,4777.0,12.613000000012107,104472.99000000001,104485.60300000002,21.87,0,0.0162619452885
2012-09-19,0,4777.0,12.613000000012107,111256.33,111268.94300000001,23.29,0,0.0649212887253
2012-09-20,0,4777.0,12.613000000012107,107912.42999999999,107925.04300000001,22.59,0,-0.0300524109409
2012-09-21,0,4777.0,12.613000000012107,109202.22,109214.83300000001,22.86,0,0.0119507944046
2012-09-24,0,4777.0,12.613000000012107,99313.830000000002,99326.443000000014,20.79,0,-0.0905407235297
2012-09-25,0,4777.0,12.613000000012107,96877.560000000012,96890.173000000024,20.28,0,-0.0245279094511
2012-09-26,0,4777.0,12.613000000012107,98501.740000000005,98514.353000000017,20.62,0,0.0167631035193
2012-09-27,0,4777.0,12.613000000012107,97068.639999999999,97081.253000000012,20.32,0,-0.0145471188346
2012-09-28,0,4777.0,12.613000000012107,103469.82000000001,103482.43300000002,21.66,0,0.0659363141924
2012-10-01,0,4777.0,12.613000000012107,105046.23,105058.84300000001,21.99,0,0.0152336000836
2012-10-02,0,4777.0,12.613000000012107,106383.78999999999,106396.40300000001,22.27,0,0.012731531795
2012-10-03,0,4777.0,12.613000000012107,104281.90999999999,104294.523,21.83,0,-0.0197551791295
2012-10-04,0,4777.0,12.613000000012107,104845.59600000001,104858.20900000002,21.948,0,0.00540475169535
2012-10-05,0.0,4777.0,12.613000000012107,99887.070000000007,99899.683000000019,20.91,1,-0.047287914292
2012-10-09,0,4777.0,12.613000000012107,96624.379000000001,96636.992000000013,20.227,0,-0.0326596732044
2012-10-10,0,4777.0,12.613000000012107,93820.279999999999,93832.893000000011,19.64,0,-0.0290168282556
2012-10-11,0,4777.0,12.613000000012107,94345.75,94358.363000000012,19.75,0,0.00560006180349
2012-10-12,0,4777.0,12.613000000012107,93237.486000000004,93250.099000000017,19.518,0,-0.0117452652289
2012-10-15,0,4777.0,12.613000000012107,93247.039999999994,93259.653000000006,19.52,0,0.000102455655302
2012-10-16,0,4777.0,12.613000000012107,93055.960000000006,93068.573000000019,19.48,0,-0.00204890318432
2012-10-17,0,4777.0,12.613000000012107,94966.759999999995,94979.373000000007,19.88,0,0.0205310980754
2012-10-18,0,4777.0,12.613000000012107,90643.575000000012,90656.188000000024,18.975,0,-0.0455170934851
2012-10-19,0,4777.0,12.613000000012107,90763.0,90775.613000000012,19.0,0,0.0013173397496
2012-10-22,0,4777.0,12.613000000012107,92296.416999999987,92309.029999999999,19.321,0,0.0168923893689
2012-10-23,0.0,4777.0,12.613000000012107,93151.5,93164.113000000012,19.5,1,0.00926326492652
2012-10-24,0,4777.0,12.613000000012107,110969.71000000001,110982.32300000002,23.23,0,0.19125615461
2012-10-25,0,4777.0,12.613000000012107,107769.12,107781.73300000001,22.56,0,-0.0288387367779
2012-10-26,0,4777.0,12.613000000012107,104821.71100000001,104834.32400000002,21.943,0,-0.0273460902693
2012-10-29,0,4777.0,12.613000000012107,104821.71100000001,104834.32400000002,21.943,0,0.0
2012-10-30,0,4777.0,12.613000000012107,104821.71100000001,104834.32400000002,21.943,0,0.0
2012-10-31,0,4777.0,12.613000000012107,100842.47,100855.08300000001,21.11,0,-0.0379574250891
2012-11-01,0,4777.0,12.613000000012107,101320.17,101332.78300000001,21.21,0,0.00473649900224
2012-11-02,0,4777.0,12.613000000012107,101176.86,101189.47300000001,21.18,0,-0.00141425110174
2012-11-05,0,4777.0,12.613000000012107,101511.25,101523.86300000001,21.25,0,0.00330459276134
2012-11-06,0,4777.0,12.613000000012107,101133.867,101146.48000000001,21.171,0,-0.00371718519024
2012-11-07,0,4777.0,12.613000000012107,97785.189999999988,97797.803,20.47,0,-0.0331072025443
2012-11-08,0,4777.0,12.613000000012107,95492.229999999996,95504.843000000008,19.99,0,-0.0234459254673
2012-11-09,0,4777.0,12.613000000012107,91766.169999999998,91778.78300000001,19.21,0,-0.0390143565808
2012-11-13,0.0,4777.0,12.613000000012107,94871.220000000001,94883.833000000013,19.86,1,0.0338318933691
2012-11-14,0,4777.0,12.613000000012107,106813.72,106826.33300000001,22.36,0,0.125864434671
2012-11-15,0,4777.0,12.613000000012107,105906.09000000001,105918.70300000002,22.17,0,-0.00849631335749
2012-11-16,0,4777.0,12.613000000012107,112550.897,112563.51000000001,23.561,0,0.0627349732559
2012-11-19,0,4777.0,12.613000000012107,109488.84000000001,109501.45300000002,22.92,0,-0.0272029274851
2012-11-20,0,4777.0,12.613000000012107,110348.70000000001,110361.31300000002,23.1,0,0.00785249854173
2012-11-21,0,4777.0,12.613000000012107,116176.64,116189.25300000001,24.32,0,0.0528078168117
2012-11-23,0,4777.0,12.613000000012107,114638.44600000001,114651.05900000002,23.998,0,-0.0132386942878
2012-11-26,0,4777.0,12.613000000012107,123915.38,123927.99300000002,25.94,0,0.0809145077325
2012-11-27,0,4777.0,12.613000000012107,124918.54999999999,124931.163,26.15,0,0.00809478129772
2012-11-28,0,4777.0,12.613000000012107,125921.72,125934.33300000001,26.36,0,0.00802978196881
2012-11-29,0,4777.0,12.613000000012107,130507.64,130520.25300000001,27.32,0,0.0364151688484
2012-11-30,0,4777.0,12.613000000012107,133756.0,133768.61300000001,28.0,0,0.0248877850398
2012-12-03,0,4777.0,12.613000000012107,129170.08,129182.69300000001,27.04,0,-0.0342824814966
2012-12-04,0,4777.0,12.613000000012107,131176.42000000001,131189.03300000002,27.46,0,0.0155310278289
2012-12-05,0,4777.0,12.613000000012107,132370.67000000001,132383.28300000002,27.71,0,0.0091032761862
2012-12-06,0,4777.0,12.613000000012107,128835.68999999999,128848.303,26.97,0,-0.0267026162208
2012-12-07,0,4777.0,12.613000000012107,131295.845,131308.45800000001,27.485,0,0.0190934218202
2012-12-10,0,4777.0,12.613000000012107,132991.67999999999,133004.29300000001,27.84,0,0.0129148953984
2012-12-11,0,4777.0,12.613000000012107,133660.45999999999,133673.073,27.98,0,0.00502825874951
2012-12-12,0,4777.0,12.613000000012107,131749.66,131762.27300000002,27.58,0,-0.0142945767395
2012-12-13,0,4777.0,12.613000000012107,134902.47999999998,134915.09299999999,28.24,0,0.0239280935902
2012-12-14,0,4777.0,12.613000000012107,128080.92399999998,128093.537,26.812,0,-0.0505618448486
2012-12-17,0,4777.0,12.613000000012107,127784.75,127797.36300000001,26.75,0,-0.0023121697389
2012-12-18,0,4777.0,12.613000000012107,132370.67000000001,132383.28300000002,27.71,0,0.0358843085049
2012-12-19,0,4777.0,12.613000000012107,130937.57000000001,130950.18300000002,27.41,0,-0.0108253849544
2012-12-20,0,4777.0,12.613000000012107,130698.72,130711.33300000001,27.36,0,-0.00182397606882
2012-12-21,0,4777.0,12.613000000012107,125444.02,125456.63300000002,26.26,0,-0.0402007988091
2012-12-24,0,4777.0,12.613000000012107,128644.61,128657.22300000001,26.93,0,0.0255115247673
2012-12-26,0,4777.0,12.613000000012107,126638.27,126650.88300000002,26.51,0,-0.015594460639
2012-12-27,0,4777.0,12.613000000012107,124440.85000000001,124453.46300000002,26.05,0,-0.0173502146053
2012-12-28,0,4777.0,12.613000000012107,123776.84699999999,123789.46000000001,25.911,0,-0.00533535173706
2012-12-31,0,4777.0,12.613000000012107,127163.74000000001,127176.35300000002,26.62,0,0.0273601080415
2013-01-02,0,4777.0,12.613000000012107,133756.0,133768.61300000001,28.0,0,0.0518355798424
2013-01-03,0,4777.0,12.613000000012107,132657.29000000001,132669.90300000002,27.77,0,-0.0082135111919
2013-01-04,0,4777.0,12.613000000012107,137386.52000000002,137399.13300000003,28.76,0,0.0356465927317
2013-01-07,0,4777.0,12.613000000012107,140544.117,140556.73000000001,29.421,0,0.0229812003253
2013-01-08,0.0,4777.0,12.613000000012107,138824.397,138837.01000000001,29.061,1,-0.0122350598225
2013-01-09,0,4777.0,12.613000000012107,146128.42999999999,146141.04300000001,30.59,0,0.0526086884182
2013-01-10,0,4777.0,12.613000000012107,149520.10000000001,149532.71300000002,31.3,0,0.0232081962081
2013-01-11,0,4777.0,12.613000000012107,151526.44,151539.05300000001,31.72,0,0.013417398506
2013-01-14,0,4777.0,12.613000000012107,147838.59599999999,147851.209,30.948,0,-0.0243359314117
2013-01-15,0,4777.0,12.613000000012107,143787.70000000001,143800.31300000002,30.1,0,-0.0273984638164
2013-01-16,0,4777.0,12.613000000012107,142593.45000000001,142606.06300000002,29.85,0,-0.0083049193363
2013-01-17,0,4777.0,12.613000000012107,143978.78,143991.39300000001,30.14,0,0.00971438360233
2013-01-18,0,4777.0,12.613000000012107,141685.82000000001,141698.43300000002,29.66,0,-0.0159242851411
2013-01-22,0,4777.0,12.613000000012107,146792.43299999999,146805.046,30.729,0,0.036038598959
2013-01-23,0,4777.0,12.613000000012107,147227.14000000001,147239.75300000003,30.82,0,0.00296111756268
2013-01-24,0,4777.0,12.613000000012107,148469.16,148481.77300000002,31.08,0,0.00843535780721
2013-01-25,0,4777.0,12.613000000012107,150666.57999999999,150679.193,31.54,0,0.0147992575493
2013-01-28,0,4777.0,12.613000000012107,155104.413,155117.02600000001,32.469,0,0.029452195168
2013-01-29,0,4777.0,12.613000000012107,147083.82999999999,147096.443,30.79,0,-0.0517066579139
2013-01-30,0,4777.0,12.613000000012107,149233.47999999998,149246.09299999999,31.24,0,0.0146138815879
2013-01-31,0,4777.0,12.613000000012107,147996.23699999999,148008.85000000001,30.981,0,-0.00828995235406
2013-02-01,0,4777.0,12.613000000012107,142020.20999999999,142032.823,29.73,0,-0.0403761464264
2013-02-04,0,4777.0,12.613000000012107,134276.693,134289.30600000001,28.109,0,-0.0545192078594
2013-02-05,0,4777.0,12.613000000012107,136813.28,136825.89300000001,28.64,0,0.0188889724398
2013-02-06,0,4777.0,12.613000000012107,138771.85000000001,138784.46300000002,29.05,0,0.0143143228015
2013-02-07,0,4777.0,12.613000000012107,136861.04999999999,136873.663,28.65,0,-0.0137681117806
2013-02-08,0,4777.0,12.613000000012107,136359.465,136372.07800000001,28.545,0,-0.00366458374099
2013-02-11,0,4777.0,12.613000000012107,134998.02000000002,135010.63300000003,28.26,0,-0.00998331197974
2013-02-12,0,4777.0,12.613000000012107,130746.49000000001,130759.10300000002,27.37,0,-0.0314903345428
2013-02-13,0,4777.0,12.613000000012107,133316.516,133329.12900000002,27.908,0,0.0196546622073
2013-02-14,0,4777.0,12.613000000012107,136144.5,136157.11300000001,28.5,0,0.0212105488216
2013-02-15,0.0,4777.0,12.613000000012107,135284.64000000001,135297.25300000003,28.32,1,-0.00631520440654
2013-02-19,0,4777.0,12.613000000012107,138198.60999999999,138211.223,28.93,0,0.021537540012
2013-02-20,0.0,4777.0,12.613000000012107,135962.97399999999,135975.587,28.462,1,-0.0161755026218
2013-02-21,0,4777.0,12.613000000012107,130330.891,130343.50400000002,27.283,0,-0.0414198101605
2013-02-22,0,4777.0,12.613000000012107,129600.00999999999,129612.62300000001,27.13,0,-0.00560734503501
2013-02-25,0,4777.0,12.613000000012107,130268.78999999999,130281.40300000001,27.27,0,0.00515983693965
2013-02-26,0,4777.0,12.613000000012107,130842.03,130854.64300000001,27.39,0,0.00440001402196
2013-02-27,0,4777.0,12.613000000012107,128357.99000000001,128370.60300000002,26.87,0,-0.0189832010775
2013-02-28,0,4777.0,12.613000000012107,130173.25,130185.86300000001,27.25,0,0.0141407764518
2013-03-01,0,4777.0,12.613000000012107,132705.06,132717.67300000001,27.78,0,0.0194476569242
2013-03-04,0,4777.0,12.613000000012107,132418.44,132431.05300000001,27.72,0,-0.00215962195178
2013-03-05,0,4777.0,12.613000000012107,131463.04000000001,131475.65300000002,27.52,0,-0.0072143200432
2013-03-06,0,4777.0,12.613000000012107,131142.981,131155.59400000001,27.453,0,-0.00243435946274
2013-03-07,0,4777.0,12.613000000012107,136517.106,136529.71900000001,28.578,0,0.0409751870744
2013-03-08,0,4777.0,12.613000000012107,133564.92000000001,133577.53300000002,27.96,0,-0.0216230284631
2013-03-11,0,4777.0,12.613000000012107,134424.78,134437.39300000001,28.14,0,0.0064371603569
2013-03-12,0,4777.0,12.613000000012107,132943.91,132956.52300000002,27.83,0,-0.0110153132767
2013-03-13,0,4777.0,12.613000000012107,129361.15999999999,129373.773,27.08,0,-0.0269467786849
2013-03-14,0,4777.0,12.613000000012107,129170.08,129182.69300000001,27.04,0,-0.00147696086749
2013-03-15,0,4777.0,12.613000000012107,127283.16499999999,127295.77800000001,26.645,0,-0.0146065618867
