Date,positions,shares,cash,holdings,total,close,signal,returns
2012-09-12,1996.0,1996.0,40.320000000006985,99959.679999999993,100000.0,50.08,0,
2012-09-13,0,1996.0,40.320000000006985,99320.959999999992,99361.279999999999,49.76,0,-0.0063872
2012-09-14,0,1996.0,40.320000000006985,102035.51999999999,102075.84,51.12,0,0.0273200989359
2012-09-17,0,1996.0,40.320000000006985,101875.84,101916.16,51.04,0,-0.00156432707289
2012-09-18,0,1996.0,40.320000000006985,101796.0,101836.32000000001,51.0,0,-0.000783389013087
2012-09-19,0,1996.0,40.320000000006985,102035.51999999999,102075.84,51.12,0,0.00235200957772
2012-09-20,0,1996.0,40.320000000006985,100518.56,100558.88,50.36,0,-0.0148611071925
2012-09-21,0,1996.0,40.320000000006985,101396.79999999999,101437.12,50.8,0,0.00873358971381
2012-09-24,0,1996.0,40.320000000006985,101875.84,101916.16,51.04,0,0.00472253155452
2012-09-25,0,1996.0,40.320000000006985,102275.04000000001,102315.36000000002,51.24,0,0.00391694506543
2012-09-26,0,1996.0,40.320000000006985,102195.20000000001,102235.52000000002,51.2,0,-0.000780332493577
2012-09-27,0,1996.0,40.320000000006985,104670.23999999999,104710.56,52.44,0,0.0242091985251
2012-09-28,0,1996.0,40.320000000006985,105468.64000000001,105508.96000000002,52.84,0,0.00762482790656
2012-10-01,0,1996.0,40.320000000006985,105468.64000000001,105508.96000000002,52.84,0,0.0
2012-10-02,0,1996.0,40.320000000006985,105468.64000000001,105508.96000000002,52.84,0,0.0
2012-10-03,0,1996.0,40.320000000006985,105308.95999999999,105349.28,52.76,0,-0.00151342596875
2012-10-04,0.0,1996.0,40.320000000006985,105628.32000000001,105668.64000000001,52.92,1,0.00303143979722
2012-10-05,0,1996.0,40.320000000006985,105388.79999999999,105429.12,52.8,0,-0.00226670845768
2012-10-09,0,1996.0,40.320000000006985,103632.32000000001,103672.64000000001,51.92,0,-0.0166602927161
2012-10-10,0,1996.0,40.320000000006985,103712.16,103752.48000000001,51.96,0,0.000770116397152
2012-10-11,0,1996.0,40.320000000006985,102754.07999999999,102794.39999999999,51.48,0,-0.0092342852913
2012-10-12,0,1996.0,40.320000000006985,103312.95999999999,103353.28,51.76,0,0.0054368720475
2012-10-15,0,1996.0,40.320000000006985,103233.12,103273.44,51.72,0,-0.000772496044634
2012-10-16,0,1996.0,40.320000000006985,103792.0,103832.32000000001,52.0,0,0.00541165279282
2012-10-17,0,1996.0,40.320000000006985,104829.92000000001,104870.24000000002,52.52,0,0.00999611681604
2012-10-18,0,1996.0,40.320000000006985,103792.0,103832.32000000001,52.0,0,-0.00989718341447
2012-10-19,0,1996.0,40.320000000006985,104510.56,104550.88,52.36,0,0.00692038856495
2012-10-22,0,1996.0,40.320000000006985,106027.51999999999,106067.84,53.12,0,0.0145092992044
2012-10-23,0,1996.0,40.320000000006985,106027.51999999999,106067.84,53.12,0,0.0
2012-10-24,0,1996.0,40.320000000006985,107943.67999999999,107984.0,54.08,0,0.0180654192637
2012-10-25,0,1996.0,40.320000000006985,108502.56,108542.88,54.36,0,0.00517558156764
2012-10-26,0,1996.0,40.320000000006985,106506.56,106546.88,53.36,0,-0.0183890458775
2012-10-29,0,1996.0,40.320000000006985,107784.0,107824.32000000001,54.0,0,0.0119894641683
