Date,positions,shares,cash,holdings,total,close,signal,returns
2012-09-12,2758.0,2758.0,22.5,99977.5,100000.0,36.25,0.0,
2012-09-13,0,2758.0,22.5,100501.51999999999,100524.01999999999,36.44,0.0,0.0052402
2012-09-14,,,,,,36.73,,
2012-09-17,,,,,,36.36,,
2012-09-18,,,,,,36.16,,
2012-09-19,,0,,0.0,,36.0,-1.0,
2012-09-20,0,0,,0.0,,35.98,-1.0,
2012-09-21,0,0,,0.0,,36.04,-1.0,
2012-09-24,0,0,,0.0,,35.66,-1.0,
2012-09-25,0,0,,0.0,,35.09,-1.0,
2012-09-26,0,0,,0.0,,35.39,-1.0,
2012-09-27,0,0,,0.0,,36.19,-1.0,
2012-09-28,0,0,,0.0,,35.79,-1.0,
2012-10-01,0,0,,0.0,,35.82,-1.0,
2012-10-02,0,0,,0.0,,26.21,-1.0,
2012-10-03,0,0,,0.0,,28.27,-1.0,
2012-10-04,0,0,,0.0,,27.34,-1.0,
2012-10-05,,,,,,26.86,1.0,
2012-10-09,0,,,,,26.33,0.0,
2012-10-10,0,,,,,26.54,0.0,
2012-10-11,0,,,,,26.41,0.0,
2012-10-12,,,,,,25.93,1.0,
2012-10-15,,,,,,25.59,1.0,
2012-10-16,,,,,,27.2,1.0,
2012-10-17,0,,,,,27.44,0.0,
2012-10-18,0,,,,,27.37,0.0,
2012-10-19,0,,,,,27.02,0.0,
2012-10-22,0,,,,,27.11,0.0,
2012-10-23,0,,,,,27.15,0.0,
2012-10-24,0,,,,,27.02,0.0,
2012-10-25,0,,,,,27.05,0.0,
2012-10-26,0,,,,,27.54,0.0,
2012-10-29,0,,,,,27.54,0.0,
2012-10-30,0,,,,,27.54,0.0,
2012-10-31,0,,,,,26.94,0.0,
2012-11-01,0,,,,,27.75,0.0,
2012-11-02,0,,,,,26.88,0.0,
2012-11-05,0,,,,,27.25,0.0,
2012-11-06,0,,,,,26.1,0.0,
2012-11-07,0,,,,,26.11,0.0,
2012-11-08,0,,,,,26.2,0.0,
2012-11-09,0,,,,,26.21,0.0,
2012-11-13,0,,,,,25.99,0.0,
2012-11-14,0,,,,,25.99,0.0,
