Date,positions,shares,cash,holdings,total,close,signal,returns
2012-09-12,1468.0,1468.0,29.200000000011642,99970.799999999988,100000.0,68.1,-1,
2012-09-13,1468.0,0,101189.08,0.0,101189.08,68.91,-1,0.0118908
2012-09-14,0,0,101189.08,0.0,101189.08,69.16,-1,0.0
2012-09-17,0,0,101189.08,0.0,101189.08,69.25,-1,0.0
2012-09-18,0,0,101189.08,0.0,101189.08,69.22,-1,0.0
2012-09-19,1461.0,1461.0,0.22000000000116415,101188.86,101189.08,69.26,1,0.0
2012-09-20,0,1461.0,0.22000000000116415,101627.16,101627.38,69.56,0,0.00433149505856
2012-09-21,0,1461.0,0.22000000000116415,101422.62,101422.84,69.42,0,-0.00201264659189
2012-09-24,1461.0,0,101919.58,0.0,101919.58,69.76,-1,0.00489771337501
2012-09-25,0,0,101919.58,0.0,101919.58,69.59,-1,0.0
2012-09-26,0,0,101919.58,0.0,101919.58,69.3,0,0.0
2012-09-27,0,0,101919.58,0.0,101919.58,69.3,-1,0.0
2012-09-28,0,0,101919.58,0.0,101919.58,69.36,-1,0.0
2012-10-01,0,0,101919.58,0.0,101919.58,69.45,0,0.0
2012-10-02,0,0,101919.58,0.0,101919.58,68.79,-1,0.0
2012-10-03,0,0,101919.58,0.0,101919.58,69.17,-1,0.0
2012-10-04,0,0,101919.58,0.0,101919.58,69.38,-1,0.0
2012-10-05,0,0,101919.58,0.0,101919.58,69.63,0,0.0
2012-10-09,0,0,101919.58,0.0,101919.58,68.7,0,0.0
2012-10-10,0,0,101919.58,0.0,101919.58,68.14,-1,0.0
2012-10-11,1498.0,1498.0,55.580000000001746,101864.0,101919.58,68.0,1,0.0
2012-10-12,0.0,1498.0,55.580000000001746,101774.12,101829.7,67.94,1,-0.000881871765955
2012-10-15,0.0,1498.0,55.580000000001746,102927.57999999999,102983.15999999999,68.71,1,0.0113273435943
2012-10-16,1498.0,0,103417.58,0.0,103417.58,69.0,-1,0.00421835958423
