Date,positions,shares,cash,holdings,total,close,signal,returns
2012-09-12,692.0,692.0,82.120000000009895,99917.87999999999,100000.0,144.39,-1,
2012-09-13,692.0,0,101522.40000000001,0.0,101522.40000000001,146.59,-1,0.015224
2012-09-14,0,0,101522.40000000001,0.0,101522.40000000001,147.24,-1,0.0
2012-09-17,0,0,101522.40000000001,0.0,101522.40000000001,146.74,-1,0.0
2012-09-18,0,0,101522.40000000001,0.0,101522.40000000001,146.62,-1,0.0
2012-09-19,0,0,101522.40000000001,0.0,101522.40000000001,146.7,-1,0.0
2012-09-20,0,0,101522.40000000001,0.0,101522.40000000001,146.71,-1,0.0
2012-09-21,0,0,101522.40000000001,0.0,101522.40000000001,145.87,0,0.0
2012-09-24,0,0,101522.40000000001,0.0,101522.40000000001,145.645,-1,0.0
2012-09-25,704.0,704.0,76.000000000014552,101446.39999999999,101522.40000000001,144.1,1,0.0
2012-09-26,0.0,704.0,76.000000000014552,100879.67999999999,100955.68000000001,143.295,1,-0.00558221633846
2012-09-27,704.0,0,101902.56000000001,0.0,101902.56000000001,144.64,-1,0.00937916519407
2012-09-28,0,0,101902.56000000001,0.0,101902.56000000001,143.97,0,0.0
2012-10-01,0,0,101902.56000000001,0.0,101902.56000000001,144.345,0,0.0
2012-10-02,705.0,705.0,30.060000000012224,101872.5,101902.56000000001,144.5,1,0.0
2012-10-03,0,705.0,30.060000000012224,102288.45,102318.51000000001,145.09,0,0.00408184053472
2012-10-04,0,705.0,30.060000000012224,103018.125,103048.18500000001,146.125,0,0.00713140760162
2012-10-05,0.0,705.0,30.060000000012224,103028.7,103058.76000000001,146.14,1,0.000102621894796
2012-10-09,0.0,705.0,30.060000000012224,101660.99999999999,101691.06,144.2,1,-0.0132710698246
2012-10-10,0.0,705.0,30.060000000012224,101012.39999999999,101042.46000000001,143.28,1,-0.00637814179536
2012-10-11,0,705.0,30.060000000012224,101068.8,101098.86000000002,143.36,0,0.000558181184425
2012-10-12,0.0,705.0,30.060000000012224,100737.45,100767.51000000001,142.89,1,-0.00327748502802
2012-10-15,0.0,705.0,30.060000000012224,101576.40000000001,101606.46000000002,144.08,1,0.00832560018601
2012-10-16,0,705.0,30.060000000012224,102605.7,102635.76000000001,145.54,0,0.0101302614027
2012-10-17,0,705.0,30.060000000012224,103070.99999999999,103101.06,146.2,0,0.00453350761957
2012-10-18,0,705.0,30.060000000012224,102803.09999999999,102833.16,145.82,0,-0.00259842139353
2012-10-19,0,705.0,30.060000000012224,101089.66800000001,101119.72800000002,143.3896,0,-0.0166622517484
2012-10-22,0.0,705.0,30.060000000012224,101104.05,101134.11000000002,143.41,1,0.000142227439536
2012-10-23,0.0,705.0,30.060000000012224,99701.099999999991,99731.160000000003,141.42,1,-0.0138721742842
2012-10-24,0.0,705.0,30.060000000012224,99419.100000000006,99449.160000000018,141.02,1,-0.00282760172448
2012-10-25,0.0,705.0,30.060000000012224,99708.150000000009,99738.210000000021,141.43,1,0.0029065102209
2012-10-26,0,705.0,30.060000000012224,99651.75,99681.810000000012,141.35,0,-0.000565480371064
2012-10-29,0,705.0,30.060000000012224,99651.75,99681.810000000012,141.35,0,0.0
2012-10-30,0,705.0,30.060000000012224,99651.75,99681.810000000012,141.35,0,0.0
2012-10-31,0,705.0,30.060000000012224,99651.75,99681.810000000012,141.35,0,0.0
2012-11-01,705.0,0,100725.21000000002,0.0,100725.21000000002,142.83,-1,0.0104673059207
2012-11-02,0,0,100725.21000000002,0.0,100725.21000000002,141.56,0,0.0
2012-11-05,0,0,100725.21000000002,0.0,100725.21000000002,141.8486,-1,0.0
2012-11-06,0,0,100725.21000000002,0.0,100725.21000000002,142.96,-1,0.0
2012-11-07,720.0,720.0,126.81000000002678,100598.39999999999,100725.21000000002,139.72,1,0.0
2012-11-08,0.0,720.0,126.81000000002678,99388.799999999988,99515.610000000015,138.04,1,-0.0120089101825
2012-11-09,720.0,0,99602.010000000024,0.0,99602.010000000024,138.16,-1,0.000868205500625
