Date,FB US Equity,SPY US Equity,MSCI US Equity,700 HK Equity,PG US Equity
20120801,20.88,137.59,33.3,46.04,64.01
20120802,20.04,136.64,32.23,46,63.51
20120803,21.09,139.349,33.29,46.08,65.5
20120806,21.92,139.62,33.41,46.72,65.81
20120807,20.72,140.32,34.83,46.96,66.22
20120808,20.72,140.49,35.08,47.12,66.72
20120809,21.01,140.61,35.05,47.92,66.73
20120810,21.807,140.84,35.3,46.56,66.77
20120813,21.6,140.77,35.33,45.68,66.48
20120814,20.38,140.79,35.55,46.08,66.73
20120815,21.2,140.95,36.01,46,66.64
20120816,19.87,141.99,36.27,48.92,67
20120817,19.05,142.18,35.86,49.64,67
20120820,20.011,142.19,35.29,50,66.75
20120821,19.159,141.76,35.56,49.68,66.77
20120822,19.439,141.82,35.59,49.08,66.85
20120823,19.44,140.665,35.09,49.6,66.68
20120824,19.409,141.51,35.43,49,67.02
20120827,19.15,141.54,35.16,49,67.11
20120828,19.34,141.4,35.04,48.52,66.99
20120829,19.1,141.51,35.31,48.52,66.87
20120830,19.089,140.49,34.9,47.6,66.88
20120831,18.058,141.16,35.08,47.4,67.19
20120904,17.729,141.03,35.6,47.52,67.4
20120905,18.58,140.91,35.82,46.84,67.29
20120906,18.96,143.77,36.66,47.84,68.24
20120907,18.98,144.33,36.69,48.64,68.52
20120910,18.81,143.51,36.22,49.08,68.51
20120911,19.43,143.91,35.66,49.44,68.26
20120912,20.931,144.39,36.25,50.08,68.1
20120913,20.713,146.59,36.44,49.76,68.91
20120914,22,147.24,36.73,51.12,69.16
20120917,21.52,146.74,36.36,51.04,69.25
20120918,21.87,146.62,36.16,51,69.22
20120919,23.29,146.7,36,51.12,69.26
20120920,22.59,146.71,35.98,50.36,69.56
20120921,22.86,145.87,36.04,50.8,69.42
20120924,20.79,145.645,35.66,51.04,69.76
20120925,20.28,144.1,35.09,51.24,69.59
20120926,20.62,143.295,35.39,51.2,69.3
20120927,20.32,144.64,36.19,52.44,69.3
20120928,21.66,143.97,35.79,52.84,69.36
20121001,21.99,144.345,35.82,52.84,69.45
20121002,22.27,144.5,26.21,52.84,68.79
20121003,21.83,145.09,28.27,52.76,69.17
20121004,21.948,146.125,27.34,52.92,69.38
20121005,20.91,146.14,26.86,52.8,69.63
20121009,20.227,144.2,26.33,51.92,68.7
20121010,19.64,143.28,26.54,51.96,68.14
20121011,19.75,143.36,26.41,51.48,68
20121012,19.518,142.89,25.93,51.76,67.94
20121015,19.52,144.08,25.59,51.72,68.71
20121016,19.48,145.54,27.2,52,69
20121017,19.88,146.2,27.44,52.52,69.47
20121018,18.975,145.82,27.37,52,69.47
20121019,19,143.3896,27.02,52.36,68.57
20121022,19.321,143.41,27.11,53.12,68.5
20121023,19.5,141.42,27.15,53.12,67.44
20121024,23.23,141.02,27.02,54.08,68.08
20121025,22.56,141.43,27.05,54.36,70.07
20121026,21.943,141.35,27.54,53.36,69.44
20121029,21.943,141.35,27.54,54,69.44
20121030,21.943,141.35,27.54,54.32,69.44
20121031,21.11,141.35,26.94,54.8,69.24
20121101,21.21,142.83,27.75,55.16,69.25
20121102,21.18,141.56,26.88,55.64,69.19
20121105,21.25,141.8486,27.25,55.12,68.67
20121106,21.171,142.96,26.1,55.16,68.93
20121107,20.47,139.72,26.11,55.12,68.06
20121108,19.99,138.04,26.2,54.12,66.91
20121109,19.21,138.16,26.21,53.4,67.01
20121113,19.86,137.79,25.99,54.04,66.85
20121114,22.36,135.9299,25.99,53.56,66.53
20121115,22.17,135.7,25.96,49.84,66.32
20121116,23.561,136.37,25.82,49.64,66.82
20121119,22.92,139.13,26.24,49.2,67.92
20121120,23.1,139.19,26.15,50.32,68.3
20121121,24.32,139.45,26.29,51.6,68.47
20121123,23.998,141.35,26.75,51.28,69.59
20121126,25.94,141.05,27.11,50.48,69.48
20121127,26.15,140.33,26.81,50.32,68.99
20121128,26.36,141.46,27.31,50.72,69.44
20121129,27.32,142.12,28.42,51.08,69.5
20121130,28,142.155,29,50.64,69.83
20121203,27.04,141.45,29.09,49.08,69.58
20121204,27.46,141.25,29.18,48.96,69.31
20121205,27.71,141.5,29.51,50.04,69.41
20121206,26.97,141.98,30.17,50.56,69.95
20121207,27.485,142.415,29.78,50.2,70.29
20121210,27.84,142.473,29.38,50.68,70.22
20121211,27.98,143.44,29.49,50.52,70.66
20121212,27.58,143.51,29.38,50.6,70.76
20121213,28.24,142.63,29.2,50.56,70.13
20121214,26.812,142.1051,30.16,50.32,69.93
20121217,26.75,143.77,30.88,49.88,69.93
20121218,27.71,145.37,30.99,50.04,69.97
20121219,27.41,144.29,31.06,49.88,69.34
20121220,27.36,145.12,31.41,49.8,69.82
20121221,26.26,142.79,31.08,49.56,68.72
20121224,26.93,142.35,31.15,49.28,68.52
20121226,26.51,141.75,30.58,49.28,68
20121227,26.05,141.5616,30.67,49.52,67.97
20121228,25.911,140.03,30.82,50,67.15
20121231,26.62,142.41,30.99,49.8,67.89
20130102,28,146.06,32.13,51.48,69.39
20130103,27.77,145.7341,31.97,51.92,68.95
20130104,28.76,146.37,31.85,51.84,69.09
20130107,29.421,145.9695,31.87,51.12,68.62
20130108,29.061,145.5496,31.79,51.12,68.51
20130109,30.59,145.92,31.93,50.64,68.88
20130110,31.3,147.08,32.14,50.68,69.27
20130111,31.72,147.07,31.97,51.04,69.22
20130114,30.948,146.97,31.93,50.96,69.63
20130115,30.1,147.07,32.36,51.64,69.88
20130116,29.85,147.05,31.97,53.44,69.34
20130117,30.14,148,31.79,53.48,69.67
20130118,29.66,148.33,32.09,54.08,69.94
20130122,30.729,149.13,32.9,53.8,69.95
20130123,30.82,149.37,33.06,53.8,70.69
20130124,31.08,149.41,33.35,54.16,70.42
20130125,31.54,150.25,33.66,53.44,73.25
20130128,32.469,150.07,34.02,53.56,73.77
20130129,30.79,150.66,34.1,53.44,75
20130130,31.24,150.07,33.79,54.16,75.08
20130131,30.981,149.7,33.74,54.28,75.16
20130201,29.73,151.24,33.8,53.72,75.92
20130204,28.109,149.535,33.23,53.76,75.25
20130205,28.64,151.05,33.88,53.08,75.7
20130206,29.05,151.16,34.67,53.4,76.15
20130207,28.65,150.96,33.48,54.4,76.15
20130208,28.545,151.8,33.99,54.12,75.75
20130211,28.26,151.77,33.68,54.12,75.81
20130212,27.37,152.02,34.03,54.12,75.98
20130213,27.908,152.151,33.76,54.12,76.56
20130214,28.5,152.29,33.75,54.36,76.78
20130215,28.32,152.11,33.41,54.88,76.54
