Date,FB US Equity,SPY US Equity,MSCI US Equity,700 HK Equity,PG US Equity
20120912,-1,-1,0,0,-1
20120913,-1,-1,0,0,-1
20120914,-1,-1,NA,0,-1
20120917,-1,-1,NA,-1,-1
20120918,0,-1,NA,0,-1
20120919,-1,-1,-1,-1,1
20120920,-1,-1,-1,-1,0
20120921,-1,0,-1,-1,0
20120924,0,-1,-1,0,-1
20120925,0,1,-1,1,-1
20120926,1,1,-1,-1,0
20120927,0,-1,-1,-1,-1
20120928,0,0,-1,-1,-1
20121001,-1,0,-1,-1,0
20121002,0,1,-1,-1,-1
20121003,1,0,-1,0,-1
20121004,0,0,-1,1,-1
20121005,1,1,1,-1,0
20121009,-1,1,0,0,0
20121010,0,1,0,0,-1
20121011,-1,0,0,-1,1
20121012,0,1,1,1,1
20121015,1,1,1,-1,1
20121016,0,0,1,1,-1
20121017,0,0,0,0,1
20121018,1,0,0,0,0
20121019,1,0,0,0,1
20121022,0,1,0,-1,1
20121023,1,1,0,-1,1
20121024,0,1,0,-1,1
20121025,1,1,0,-1,1
20121026,0,0,0,0,0
20121029,0,0,0,0,0
20121030,0,0,0,0,0
20121031,0,0,0,1,1
20121101,-1,-1,0,0,-1
20121102,0,0,0,1,1
20121105,0,-1,0,0,1
20121106,1,-1,0,0,0
20121107,0,1,0,0,0
20121108,1,1,0,1,-1
20121109,1,-1,0,0,0
20121113,1,0,0,0,0
20121114,0,0,0,1,0
20121115,0,0,0,0,1
20121116,-1,-1,0,0,1
20121119,0,-1,0,0,-1
20121120,-1,-1,-1,-1,1
20121121,-1,0,-1,0,0
20121123,-1,-1,-1,-1,1
20121126,-1,0,-1,1,1
20121127,-1,0,-1,0,0
20121128,-1,-1,-1,0,-1
20121129,-1,-1,-1,-1,-1
20121130,-1,1,-1,1,1
20121203,-1,-1,-1,0,0
20121204,-1,1,1,0,-1
20121205,-1,0,1,1,-1
20121206,-1,-1,1,-1,-1
20121207,-1,-1,1,-1,1
20121210,-1,0,0,1,1
20121211,-1,0,0,-1,0
20121212,0,-1,0,0,0
20121213,0,-1,0,-1,0
20121214,-1,0,0,-1,-1
20121217,-1,-1,-1,-1,1
20121218,-1,-1,-1,-1,0
20121219,0,-1,-1,0,-1
20121220,1,-1,1,0,-1
20121221,-1,0,1,-1,0
20121224,-1,0,1,0,0
20121226,0,-1,1,0,0
20121227,0,1,1,0,-1
20121228,1,-1,0,-1,0
20121231,-1,1,0,1,-1
20130102,-1,0,-1,1,-1
20130103,0,0,-1,0,-1
20130104,-1,1,-1,1,0
20130107,0,0,1,0,0
20130108,1,1,1,1,-1
20130109,-1,1,1,1,1
20130110,0,1,1,1,-1
20130111,-1,0,1,0,-1
20130114,0,1,1,1,0
20130115,0,1,1,-1,-1
20130116,0,1,1,-1,0
20130117,0,-1,1,-1,0
20130118,-1,-1,1,0,-1
20130122,0,1,0,1,-1
20130123,0,0,0,1,0
20130124,-1,1,0,0,0
20130125,-1,-1,0,-1,-1
20130128,-1,-1,0,-1,0
20130129,1,1,-1,0,0
20130130,1,1,-1,-1,0
20130131,0,1,-1,-1,0
20130201,0,0,1,-1,1
20130204,0,0,1,1,1
20130205,0,1,1,0,0
20130206,-1,1,1,0,0
20130207,-1,0,-1,-1,0
20130208,0,-1,-1,0,1
20130211,-1,1,-1,0,0
20130212,1,1,-1,0,-1
20130213,-1,0,-1,0,0
20130214,-1,1,1,-1,1
20130215,1,-1,-1,-1,1
20130219,0,1,-1,0,0
20130220,1,1,-1,0,1
20130221,1,0,-1,-1,1
20130222,1,1,-1,0,0
20130225,1,0,-1,-1,1
20130226,1,1,-1,0,1
20130227,-1,1,0,1,1
20130228,1,0,0,1,1
20130301,0,0,0,-1,-1
20130304,0,1,0,0,-1
20130305,-1,0,0,-1,1
20130306,-1,-1,0,0,0
20130307,0,-1,-1,-1,0
20130308,0,-1,-1,0,-1
20130311,0,-1,-1,-1,-1
20130312,-1,1,-1,0,-1
20130313,1,-1,-1,1,0
20130314,0,-1,-1,0,1
20130315,1,0,-1,-1,1
20130318,-1,1,0,0,1
20130319,-1,1,0,0,-1
20130320,0,0,0,1,-1
20130321,-1,1,0,1,-1
20130322,-1,1,0,-1,-1
20130325,0,1,0,-1,0
20130326,1,-1,0,-1,-1
20130327,0,0,0,0,1
20130328,1,-1,0,0,1
20130401,-1,1,0,0,-1
20130402,-1,1,0,1,-1
20130403,1,0,0,-1,-1
20130404,1,-1,0,-1,0
20130405,1,0,0,1,0
20130408,-1,0,0,-1,0
20130409,-1,-1,0,-1,0
20130410,-1,-1,-1,0,-1
20130411,-1,-1,-1,1,-1
20130412,0,0,0,0,-1
20130415,0,1,0,1,-1
20130416,-1,0,0,0,0
20130417,1,0,0,0,-1
20130418,1,1,-1,0,-1
20130419,1,-1,-1,-1,0
20130422,-1,0,-1,-1,1
20130423,1,-1,-1,1,-1
20130424,0,0,-1,-1,0
20130425,-1,-1,1,0,0
20130426,-1,-1,1,-1,1
20130429,-1,-1,1,0,0
20130430,-1,0,1,1,0
20130501,0,-1,1,1,0
20130502,-1,-1,1,0,1
20130503,-1,-1,0,1,1
20130506,-1,-1,0,1,0
20130507,-1,-1,0,1,0
20130508,0,-1,0,1,-1
20130509,-1,0,0,1,1
20130510,0,0,0,0,-1
20130513,-1,-1,0,1,1
20130514,-1,-1,0,0,-1
20130515,0,-1,0,0,-1
20130516,0,-1,0,0,-1
20130517,1,0,0,0,0
20130520,0,-1,0,-1,0
20130521,0,0,0,-1,1
20130522,0,0,0,-1,0
20130523,-1,1,0,1,0
20130524,-1,1,0,0,-1
20130528,0,1,0,0,1
20130529,0,1,0,-1,-1
20130530,-1,1,0,-1,-1
20130531,0,1,0,-1,0
20130603,0,0,0,0,1
20130604,1,1,0,0,-1
20130605,1,1,0,-1,-1
20130606,1,1,-1,-1,-1
20130607,0,1,0,1,1
20130610,-1,1,0,0,-1
20130611,0,1,0,-1,1
20130612,0,1,0,-1,1
20130613,0,0,1,1,1
20130614,-1,0,1,0,1
20130617,-1,1,1,1,0
20130618,-1,-1,1,1,0
20130619,0,-1,1,-1,-1
20130620,1,0,1,-1,-1
20130621,0,0,1,0,1
20130624,1,0,1,-1,-1
20130625,0,0,1,-1,1
20130626,0,0,1,-1,0
20130627,0,1,1,-1,-1
20130628,1,0,1,1,-1
20130701,0,1,1,1,-1
20130702,0,1,1,0,-1
20130703,-1,1,1,0,-1
20130705,0,-1,1,1,1
20130708,-1,1,1,0,-1
20130709,-1,0,1,0,-1
20130710,-1,1,1,0,-1
20130711,-1,1,1,0,-1
20130712,-1,0,1,1,-1
20130715,-1,0,1,-1,-1
