Date,FB US Equity,SPY US Equity,MSCI US Equity,700 HK Equity,PG US Equity
20120912,-1,-1,0,0,0
20120913,-1,-1,0,0,0
20120914,-1,-1,NA,0,0
20120917,-1,-1,NA,0,-1
20120918,0,-1,NA,0,-1
20120919,-1,-1,-1,-1,0
20120920,-1,-1,-1,0,0
20120921,0,0,-1,-1,0
20120924,0,0,-1,0,-1
20120925,0,0,-1,1,-1
20120926,1,0,-1,-1,0
20120927,0,0,-1,-1,0
20120928,0,0,-1,0,0
20121001,0,0,-1,0,0
20121002,0,1,0,0,-1
20121003,1,0,-1,0,-1
20121004,0,0,-1,1,0
20121005,1,0,1,0,0
20121009,0,1,0,0,0
20121010,0,1,0,0,0
20121011,0,0,0,-1,1
20121012,0,0,0,1,1
20121015,1,0,1,0,0
20121016,0,0,1,0,-1
20121017,0,0,0,0,0
20121018,0,0,0,0,0
20121019,1,0,0,0,1
20121022,0,1,0,0,0
20121023,1,0,0,0,0
20121024,0,1,0,0,1
20121025,0,0,0,0,0
20121026,0,0,0,0,0
20121029,0,0,0,0,0
20121030,0,0,0,0,0
20121031,0,0,0,1,0
20121101,0,0,0,0,-1
20121102,0,0,0,0,1
20121105,0,0,0,0,1
20121106,1,-1,0,0,0
20121107,0,1,0,0,0
20121108,0,0,0,1,0
20121109,0,0,0,0,0
20121113,1,0,0,0,0
20121114,0,0,0,1,0
20121115,0,0,0,0,1
20121116,-1,0,0,0,1
20121119,0,-1,0,0,-1
20121120,0,0,0,-1,1
20121121,0,0,0,0,0
20121123,-1,-1,0,0,1
20121126,-1,0,0,1,1
20121127,-1,0,0,0,0
20121128,0,0,0,0,-1
20121129,-1,0,0,-1,-1
20121130,-1,1,0,0,1
20121203,-1,0,0,0,0
20121204,-1,0,1,0,0
20121205,0,0,1,1,0
20121206,0,0,1,-1,0
20121207,-1,-1,1,-1,0
20121210,-1,0,0,0,1
20121211,0,0,0,-1,0
20121212,0,-1,0,0,0
20121213,0,0,0,-1,0
20121214,0,0,0,0,-1
20121217,0,-1,0,0,1
20121218,-1,-1,0,0,0
20121219,0,0,0,0,0
20121220,0,-1,1,0,0
20121221,0,0,1,0,0
20121224,-1,0,1,0,0
20121226,0,-1,1,0,0
20121227,0,0,1,0,0
20121228,0,0,0,0,0
20121231,0,0,0,1,0
20130102,0,0,0,0,0
20130103,0,0,0,0,0
20130104,-1,1,0,1,0
20130107,0,0,1,0,0
20130108,1,1,1,1,0
20130109,-1,0,1,1,1
20130110,0,0,1,1,0
20130111,-1,0,1,0,0
20130114,0,0,1,0,0
20130115,0,1,1,-1,-1
20130116,0,1,1,0,0
20130117,0,-1,1,-1,0
20130118,0,-1,1,0,0
20130122,0,1,0,0,0
20130123,0,0,0,0,0
20130124,0,0,0,0,0
20130125,-1,0,0,-1,0
20130128,-1,0,0,0,0
20130129,1,0,-1,0,0
20130130,0,1,-1,-1,0
20130131,0,0,-1,0,0
20130201,0,0,1,0,0
20130204,0,0,1,1,1
20130205,0,1,1,0,0
20130206,0,1,1,0,0
20130207,-1,0,0,0,0
20130208,0,0,0,0,1
20130211,0,1,0,0,0
20130212,1,0,0,0,0
20130213,0,0,0,0,0
20130214,0,1,1,-1,1
20130215,1,-1,0,0,1
20130219,0,0,0,0,0
20130220,1,0,0,0,1
20130221,0,0,0,0,0
20130222,1,0,0,0,0
20130225,1,0,0,0,1
20130226,1,1,0,0,1
20130227,0,0,0,1,0
20130228,0,0,0,1,0
20130301,0,0,0,0,0
20130304,0,1,0,0,0
20130305,0,0,0,0,0
20130306,-1,-1,0,0,0
20130307,0,0,0,-1,0
20130308,0,-1,0,0,-1
20130311,0,0,0,0,-1
20130312,0,0,0,0,0
20130313,0,-1,0,1,0
20130314,0,-1,0,0,1
20130315,1,0,0,0,1
20130318,0,1,0,0,0
20130319,0,0,0,0,0
20130320,0,0,0,1,-1
20130321,-1,0,0,0,0
20130322,0,0,0,0,0
20130325,0,0,0,0,0
20130326,1,0,0,-1,-1
20130327,0,0,0,0,1
20130328,1,0,0,0,0
20130401,0,1,0,0,0
20130402,0,1,0,1,0
20130403,1,0,0,-1,-1
20130404,0,0,0,-1,0
20130405,0,0,0,1,0
20130408,0,0,0,0,0
20130409,0,0,0,0,0
20130410,0,0,0,0,0
20130411,0,0,0,1,0
20130412,0,0,0,0,0
20130415,0,1,0,0,0
20130416,0,0,0,0,0
20130417,1,0,0,0,0
20130418,1,0,-1,0,0
20130419,1,0,-1,-1,0
20130422,0,0,-1,-1,1
20130423,0,0,-1,0,-1
20130424,0,0,-1,-1,0
20130425,0,0,1,0,0
20130426,0,-1,1,0,0
20130429,0,-1,1,0,0
20130430,-1,0,1,0,0
20130501,0,-1,1,0,0
20130502,0,-1,1,0,1
20130503,0,0,0,1,1
20130506,0,-1,0,1,0
20130507,0,0,0,1,0
20130508,0,-1,0,1,0
20130509,-1,0,0,1,0
20130510,0,0,0,0,0
20130513,0,-1,0,1,0
20130514,0,-1,0,0,0
20130515,0,0,0,0,-1
20130516,0,0,0,0,0
20130517,1,0,0,0,0
20130520,0,0,0,-1,0
20130521,0,0,0,0,0
20130522,0,0,0,-1,0
20130523,0,0,0,0,0
20130524,0,0,0,0,0
20130528,0,1,0,0,1
20130529,0,0,0,-1,0
20130530,0,1,0,0,-1
20130531,0,1,0,0,0
20130603,0,0,0,0,0
20130604,0,1,0,0,-1
20130605,0,1,0,0,0
20130606,0,1,0,0,0
20130607,0,1,0,1,1
20130610,-1,1,0,0,-1
20130611,0,1,0,0,1
20130612,0,1,0,0,1
20130613,0,0,0,1,1
20130614,0,0,1,0,1
20130617,-1,0,1,0,0
20130618,0,-1,1,1,0
20130619,0,0,1,-1,0
20130620,1,0,1,-1,0
20130621,0,0,1,0,1
20130624,1,0,1,0,0
20130625,0,0,1,0,0
20130626,0,0,1,-1,0
20130627,0,0,1,0,-1
20130628,1,0,1,0,0
20130701,0,0,1,0,0
20130702,0,1,1,0,0
20130703,0,0,1,0,0
20130705,0,0,0,1,1
20130708,-1,1,0,0,0
20130709,0,0,0,0,0
20130710,0,1,0,0,0
20130711,-1,0,0,0,0
20130712,0,0,0,1,0
20130715,-1,0,0,-1,0
20130716,-1,0,0,-1,-1
20130717,0,0,0,1,0
20130718,0,-1,0,0,0
20130719,1,-1,0,0,0
20130722,0,0,0,0,0
20130723,0,1,0,-1,0
20130724,0,1,0,0,0
20130725,0,0,NA,0,0
20130726,0,0,NA,-1,0
20130729,0,0,NA,0,0
20130730,0,0,NA,0,0
20130731,0,0,NA,0,0
20130801,0,-1,NA,1,0
20130802,0,-1,-1,1,0
20130805,-1,1,-1,0,0
20130806,0,0,-1,0,0
20130807,0,0,-1,0,0
20130808,0,-1,-1,0,0
20130809,0,0,-1,0,1
20130812,0,0,-1,0,0
20130813,-1,0,-1,0,0
20130814,0,0,-1,0,-1
20130815,0,0,-1,0,0
20130816,0,0,-1,0,0
20130819,-1,0,-1,0,0
20130820,0,0,-1,0,0
20130821,0,0,-1,0,0
20130822,1,0,0,0,0
20130823,0,-1,0,0,1
20130826,-1,0,0,0,1
20130827,0,0,0,0,0
20130828,0,0,0,0,0
20130829,0,0,0,-1,1
20130830,-1,0,0,0,-1
20130903,-1,0,0,0,0
