Date,Price,Signal_0.5,Signal_1,Signal_2
20120913,38.35,0,0,0
20120914,38.12,1,1,1
20120917,38.35,1,1,0
20120918,38.62,0,0,0
20120919,38.52,1,1,1
20120920,38.64,1,1,1
20120921,38.03,1,1,1
20120924,38.12,1,1,1
20120925,37.68,0,0,0
20120926,37.76,1,1,0
20120927,38.31,0,0,0
20120928,37.93,1,1,1
20121001,38.38,0,0,0
20121002,38.34,0,0,0
20121003,38.24,0,0,0
20121004,38.33,1,0,0
20121005,38.58,1,1,0
20121009,38.56,-1,0,0
20121010,38.09,1,0,0
20121011,38.11,0,0,0
20121012,38.23,1,0,0
20121015,38.13,-1,0,0
20121016,37.9,0,0,0
20121017,37.74,0,0,0
20121018,37.84,0,0,0
20121019,37.4,0,0,0
20121022,37.23,-1,0,0
20121023,36.61,-1,0,0
20121024,36.88,0,0,0
20121025,37.09,-1,0,0
20121026,37.04,-1,-1,0
20121029,37.04,-1,-1,0
20121030,37.04,-1,0,0
20121031,37.18,-1,0,0
20121101,37.33,-1,0,0
20121102,37.08,0,0,0
20121105,36.77,0,0,0
20121106,37.42,0,0,0
20121107,36.72,0,0,0
20121108,36.36,0,0,0
20121109,36.29,-1,0,0
20121113,36.16,1,0,0
20121114,36.01,1,0,0
20121115,36.43,0,0,0
20121116,36.56,0,0,0
20121119,37.24,-1,0,0
20121120,37.25,0,0,0
20121121,37.39,-1,-1,0
20121123,37.93,-1,0,0
20121126,37.36,-1,-1,0
20121127,37.42,-1,-1,0
20121128,37.56,-1,-1,0
20121129,37.97,1,0,0
20121130,37.92,0,0,0
20121203,37.38,1,1,1
20121204,37.15,1,1,0
20121205,37.31,0,0,0
20121206,37.38,0,0,0
20121207,37.71,1,0,0
20121210,37.64,1,1,0
20121211,37.86,1,0,0
20121212,37.64,-1,-1,0
20121213,37.6,0,0,0
20121214,37.66,1,0,0
20121217,37.5,0,0,0
20121218,37.28,-1,0,0
20121219,36.78,-1,0,0
20121220,37.05,0,0,0
20121221,36.89,0,0,0
20121224,36.73,-1,-1,0
20121226,36.42,0,0,0
20121227,36.42,-1,-1,0
20121228,35.97,0,0,0
20121231,36.25,-1,0,0
20130102,37.6,-1,0,0
20130103,37.6,0,0,0
20130104,37.66,-1,0,0
20130107,37.3,0,0,0
20130108,37.04,0,0,0
20130109,37.03,0,0,0
20130110,36.96,0,0,0
20130111,36.91,1,0,0
20130114,36.99,1,1,0
20130115,37.32,0,0,0
20130116,37.32,1,0,0
20130117,37.51,1,0,0
20130118,37.7,-1,-1,0
20130122,37.13,-1,0,0
20130123,37.13,0,0,0
20130124,37.11,0,0,0
20130125,37.05,-1,0,0
20130128,37.01,0,0,0
20130129,37.42,-1,0,0
20130130,37.5,0,0,0
20130131,37.24,1,0,0
20130201,37.54,0,0,0
20130204,37.35,1,1,1
20130205,38.14,-1,0,0
20130206,38.31,-1,-1,0
20130207,38.91,0,0,0
20130208,38.77,1,0,0
20130211,38.61,0,0,0
20130212,37.56,1,0,0
20130213,37.21,0,0,0
20130214,36.84,0,0,0
20130215,37.42,0,0,0
20130219,37.67,-1,0,0
20130220,37.73,-1,-1,0
20130221,37.71,-1,0,0
20130222,38.52,-1,0,0
20130225,37.72,1,1,0
20130226,38.11,0,0,0
20130227,38.45,-1,0,0
20130228,38.72,-1,0,0
20130301,38.7,0,0,0
20130304,38.82,0,0,0
20130305,38.68,0,0,0
20130306,39.02,-1,-1,0
20130307,39.12,0,0,0
20130308,39.22,-1,-1,0
20130311,39.31,0,0,0
20130312,38.96,-1,-1,0
20130313,38.59,1,0,0
20130314,39.02,-1,0,0
20130315,38.83,0,0,0
