Date,positions,shares,cash,holdings,total,close,signal,returns
2012-09-13,2607.0,2607.0,21.55000000000291,99978.449999999997,100000.0,38.35,0,
2012-09-14,0.0,2607.0,21.55000000000291,99378.839999999997,99400.389999999999,38.12,1,-0.0059961
2012-09-17,0.0,2607.0,21.55000000000291,99978.449999999997,100000.0,38.35,1,0.00603227009471
2012-09-18,0,2607.0,21.55000000000291,100682.34,100703.89,38.62,0,0.0070389
2012-09-19,0.0,2607.0,21.55000000000291,100421.64000000001,100443.19000000002,38.52,1,-0.00258877785158
2012-09-20,0.0,2607.0,21.55000000000291,100734.48,100756.03,38.64,1,0.00311459642013
2012-09-21,0.0,2607.0,21.55000000000291,99144.210000000006,99165.760000000009,38.03,1,-0.0157833729654
2012-09-24,0.0,2607.0,21.55000000000291,99378.839999999997,99400.389999999999,38.12,1,0.00236603843907
2012-09-25,0,2607.0,21.55000000000291,98231.759999999995,98253.309999999998,37.68,0,-0.0115399949638
2012-09-26,0.0,2607.0,21.55000000000291,98440.319999999992,98461.869999999995,37.76,1,0.00212267657955
2012-09-27,0,2607.0,21.55000000000291,99874.170000000013,99895.720000000016,38.31,0,0.0145624900279
2012-09-28,0.0,2607.0,21.55000000000291,98883.509999999995,98905.059999999998,37.93,1,-0.00991694138648
2012-10-01,0,2607.0,21.55000000000291,100056.66,100078.21000000001,38.38,0,0.0118613749388
2012-10-02,0,2607.0,21.55000000000291,99952.380000000005,99973.930000000008,38.34,0,-0.00104198506348
2012-10-03,0,2607.0,21.55000000000291,99691.680000000008,99713.23000000001,38.24,0,-0.00260767982213
2012-10-04,0.0,2607.0,21.55000000000291,99926.309999999998,99947.860000000001,38.33,1,0.00235304783528
2012-10-05,0.0,2607.0,21.55000000000291,100578.06,100599.61,38.58,1,0.00652089999726
2012-10-09,2607.0,0,100547.47000000002,0.0,100547.47000000002,38.56,-1,-0.000518292267733
2012-10-10,2639.0,2639.0,27.960000000006403,100519.51000000001,100547.47000000002,38.09,1,0.0
2012-10-11,0,2639.0,27.960000000006403,100572.28999999999,100600.25,38.11,0,0.000524926186606
2012-10-12,0.0,2639.0,27.960000000006403,100888.96999999999,100916.92999999999,38.23,1,0.00314790470203
2012-10-15,2639.0,0,100653.03000000001,0.0,100653.03000000001,38.13,-1,-0.00261502207806
2012-10-16,0,0,100653.03000000001,0.0,100653.03000000001,37.9,0,0.0
2012-10-17,0,0,100653.03000000001,0.0,100653.03000000001,37.74,0,0.0
2012-10-18,0,0,100653.03000000001,0.0,100653.03000000001,37.84,0,0.0
2012-10-19,0,0,100653.03000000001,0.0,100653.03000000001,37.4,0,0.0
2012-10-22,0,0,100653.03000000001,0.0,100653.03000000001,37.23,-1,0.0
2012-10-23,0,0,100653.03000000001,0.0,100653.03000000001,36.61,-1,0.0
2012-10-24,0,0,100653.03000000001,0.0,100653.03000000001,36.88,0,0.0
2012-10-25,0,0,100653.03000000001,0.0,100653.03000000001,37.09,-1,0.0
2012-10-26,0,0,100653.03000000001,0.0,100653.03000000001,37.04,-1,0.0
2012-10-29,0,0,100653.03000000001,0.0,100653.03000000001,37.04,-1,0.0
2012-10-30,0,0,100653.03000000001,0.0,100653.03000000001,37.04,-1,0.0
2012-10-31,0,0,100653.03000000001,0.0,100653.03000000001,37.18,-1,0.0
2012-11-01,0,0,100653.03000000001,0.0,100653.03000000001,37.33,-1,0.0
2012-11-02,0,0,100653.03000000001,0.0,100653.03000000001,37.08,0,0.0
2012-11-05,0,0,100653.03000000001,0.0,100653.03000000001,36.77,0,0.0
2012-11-06,0,0,100653.03000000001,0.0,100653.03000000001,37.42,0,0.0
2012-11-07,0,0,100653.03000000001,0.0,100653.03000000001,36.72,0,0.0
2012-11-08,0,0,100653.03000000001,0.0,100653.03000000001,36.36,0,0.0
2012-11-09,0,0,100653.03000000001,0.0,100653.03000000001,36.29,-1,0.0
2012-11-13,2783.0,2783.0,19.750000000029104,100633.27999999998,100653.03000000001,36.16,1,0.0
2012-11-14,0.0,2783.0,19.750000000029104,100215.82999999999,100235.58000000002,36.01,1,-0.00414741612846
2012-11-15,0,2783.0,19.750000000029104,101384.69,101404.44000000003,36.43,0,0.011661128713
2012-11-16,0,2783.0,19.750000000029104,101746.48000000001,101766.23000000004,36.56,0,0.00356779249508
2012-11-19,2783.0,0,103658.67000000004,0.0,103658.67000000004,37.24,-1,0.0185959527045
2012-11-20,0,0,103658.67000000004,0.0,103658.67000000004,37.25,0,0.0
2012-11-21,0,0,103658.67000000004,0.0,103658.67000000004,37.39,-1,0.0
2012-11-23,0,0,103658.67000000004,0.0,103658.67000000004,37.93,-1,0.0
2012-11-26,0,0,103658.67000000004,0.0,103658.67000000004,37.36,-1,0.0
2012-11-27,0,0,103658.67000000004,0.0,103658.67000000004,37.42,-1,0.0
2012-11-28,0,0,103658.67000000004,0.0,103658.67000000004,37.56,-1,0.0
2012-11-29,2730.0,2730.0,0.57000000005064066,103658.09999999999,103658.67000000004,37.97,1,0.0
2012-11-30,0,2730.0,0.57000000005064066,103521.60000000001,103522.17000000006,37.92,0,-0.00131682183458
2012-12-03,0.0,2730.0,0.57000000005064066,102047.40000000001,102047.97000000006,37.38,1,-0.0142404279199
2012-12-04,0.0,2730.0,0.57000000005064066,101419.5,101420.07000000005,37.15,1,-0.00615298863858
2012-12-05,0,2730.0,0.57000000005064066,101856.3,101856.87000000005,37.31,0,0.00430683985921
2012-12-06,0,2730.0,0.57000000005064066,102047.40000000001,102047.97000000006,37.38,0,0.00187616210865
2012-12-07,0.0,2730.0,0.57000000005064066,102948.3,102948.87000000005,37.71,1,0.00882820109013
2012-12-10,0.0,2730.0,0.57000000005064066,102757.2,102757.77000000005,37.64,1,-0.00185626126834
2012-12-11,0.0,2730.0,0.57000000005064066,103357.8,103358.37000000005,37.86,1,0.0058448134871
2012-12-12,2730.0,0,102757.77000000005,0.0,102757.77000000005,37.64,-1,-0.00581085015176
2012-12-13,0,0,102757.77000000005,0.0,102757.77000000005,37.6,0,0.0
2012-12-14,2728.0,2728.0,21.290000000051805,102736.48,102757.77000000005,37.66,1,0.0
2012-12-17,0,2728.0,21.290000000051805,102300.0,102321.29000000005,37.5,0,-0.00424765932542
2012-12-18,2728.0,0,101721.13000000005,0.0,101721.13000000005,37.28,-1,-0.00586544598881
2012-12-19,0,0,101721.13000000005,0.0,101721.13000000005,36.78,-1,0.0
2012-12-20,0,0,101721.13000000005,0.0,101721.13000000005,37.05,0,0.0
2012-12-21,0,0,101721.13000000005,0.0,101721.13000000005,36.89,0,0.0
2012-12-24,0,0,101721.13000000005,0.0,101721.13000000005,36.73,-1,0.0
2012-12-26,0,0,101721.13000000005,0.0,101721.13000000005,36.42,0,0.0
2012-12-27,0,0,101721.13000000005,0.0,101721.13000000005,36.42,-1,0.0
2012-12-28,0,0,101721.13000000005,0.0,101721.13000000005,35.97,0,0.0
2012-12-31,0,0,101721.13000000005,0.0,101721.13000000005,36.25,-1,0.0
2013-01-02,0,0,101721.13000000005,0.0,101721.13000000005,37.6,-1,0.0
2013-01-03,0,0,101721.13000000005,0.0,101721.13000000005,37.6,0,0.0
2013-01-04,0,0,101721.13000000005,0.0,101721.13000000005,37.66,-1,0.0
2013-01-07,0,0,101721.13000000005,0.0,101721.13000000005,37.3,0,0.0
2013-01-08,0,0,101721.13000000005,0.0,101721.13000000005,37.04,0,0.0
2013-01-09,0,0,101721.13000000005,0.0,101721.13000000005,37.03,0,0.0
2013-01-10,0,0,101721.13000000005,0.0,101721.13000000005,36.96,0,0.0
2013-01-11,2755.0,2755.0,34.080000000059954,101687.04999999999,101721.13000000005,36.91,1,0.0
2013-01-14,0.0,2755.0,34.080000000059954,101907.45000000001,101941.53000000007,36.99,1,0.00216670813625
2013-01-15,0,2755.0,34.080000000059954,102816.60000000001,102850.68000000007,37.32,0,0.00891834760573
2013-01-16,0.0,2755.0,34.080000000059954,102816.60000000001,102850.68000000007,37.32,1,0.0
2013-01-17,0.0,2755.0,34.080000000059954,103340.04999999999,103374.13000000005,37.51,1,0.00508941700726
2013-01-18,2755.0,0,103897.58000000007,0.0,103897.58000000007,37.7,-1,0.00506364600118
2013-01-22,0,0,103897.58000000007,0.0,103897.58000000007,37.13,-1,0.0
2013-01-23,0,0,103897.58000000007,0.0,103897.58000000007,37.13,0,0.0
2013-01-24,0,0,103897.58000000007,0.0,103897.58000000007,37.11,0,0.0
2013-01-25,0,0,103897.58000000007,0.0,103897.58000000007,37.05,-1,0.0
