Date,Price,Signal_0.5,Signal_1,Signal_2
20120913,92.06,-1,-1,0
20120914,93.98,0,0,0
20120917,93.78,-1,0,0
20120918,93.43,-1,0,0
20120919,93.63,1,1,0
20120920,93.58,0,0,0
20120921,93.21,-1,-1,0
20120924,93.73,-1,-1,0
20120925,92.83,-1,0,0
20120926,92.59,-1,0,0
20120927,92.82,-1,0,0
20120928,92.42,-1,0,0
20121001,93.29,-1,-1,0
20121002,93.54,0,0,0
20121003,93.78,0,0,0
20121004,94.43,-1,0,0
20121005,94.96,-1,0,0
20121009,93.94,0,0,0
20121010,93.28,-1,-1,0
20121011,92.83,-1,-1,0
20121012,92.75,0,0,0
20121015,92.79,1,1,1
20121016,94.23,1,0,0
20121017,94.81,-1,-1,0
20121018,94.74,-1,-1,0
20121019,92.94,1,0,0
20121022,92.53,-1,0,0
20121023,88.73,0,0,0
20121024,88.39,0,0,0
20121025,87.81,0,0,0
20121026,88.03,0,0,0
20121029,88.03,0,0,0
20121030,88.03,0,0,0
20121031,87.6,0,0,0
20121101,89.25,-1,-1,0
20121102,88.97,0,0,0
20121105,89.6,-1,0,0
20121106,90.86,-1,-1,0
20121107,89.38,-1,-1,0
20121108,88.55,0,0,0
20121109,88.81,1,0,0
20121113,89.08,0,0,0
20121114,87.31,0,0,0
20121115,88.02,-1,-1,0
20121116,88.5,-1,-1,0
20121119,89.57,-1,-1,-1
20121120,89.02,-1,-1,0
20121121,88.94,-1,-1,0
20121123,90.28,-1,-1,0
20121126,90.09,-1,-1,0
20121127,90.31,0,0,0
20121128,90.93,-1,-1,0
20121129,90.65,0,0,0
20121130,90.95,1,1,1
20121203,90.3,0,0,0
20121204,90.12,0,0,0
20121205,90.76,0,0,0
20121206,90.95,0,0,0
20121207,91.51,1,1,0
20121210,91.87,0,0,0
20121211,93.68,-1,0,0
20121212,93.12,0,0,0
20121213,92.5,1,1,0
20121214,92.28,0,0,0
20121217,93.03,0,0,0
20121218,93.85,-1,0,0
20121219,93.02,-1,0,0
20121220,94.13,-1,0,0
20121221,93.1,-1,0,0
20121224,93.19,1,1,0
20121226,93.07,0,0,0
20121227,92.64,0,0,0
20121228,91.78,-1,0,0
20121231,92.85,0,0,0
20130102,94.78,-1,0,0
20130103,94.67,-1,0,0
20130104,95.37,0,0,0
20130107,95.49,1,0,0
20130108,95.5,-1,0,0
20130109,96.41,-1,0,0
20130110,96.89,0,0,0
20130111,96.28,0,0,0
20130114,97.08,-1,0,0
20130115,97.29,-1,0,0
20130116,97.6,-1,-1,0
20130117,98.08,-1,0,0
20130118,98.74,-1,-1,0
20130122,99.33,-1,-1,0
20130123,99.49,0,0,0
20130124,99.67,-1,0,0
20130125,100.59,-1,0,0
20130128,100.65,1,1,0
20130129,101.81,0,0,0
20130130,100.8,1,0,0
20130131,100.55,1,1,1
20130201,101.56,0,0,0
20130204,100.77,1,1,0
20130205,101.49,0,0,0
20130206,102.69,-1,0,0
20130207,102.22,0,0,0
20130208,102.66,0,0,0
20130211,102.62,-1,-1,0
20130212,103.46,-1,-1,0
20130213,102.86,-1,0,0
20130214,102.78,1,0,0
20130215,103.23,0,0,0
20130219,104.18,1,1,0
20130220,103.15,0,0,0
20130221,102.72,1,1,0
20130222,103.54,-1,0,0
20130225,101.75,1,1,1
20130226,102.31,-1,0,0
20130227,103.57,1,0,0
20130228,104,0,0,0
20130301,103.77,-1,0,0
20130304,103.28,1,1,1
20130305,104.45,0,0,0
20130306,104.66,0,0,0
20130307,104.54,-1,0,0
20130308,105.71,0,0,0
20130311,105.81,0,0,0
20130312,105.13,0,0,0
20130313,105.09,1,1,0
20130314,106.02,0,0,0
20130315,106.4,-1,0,0
20130318,105.41,0,0,0
20130319,105.18,0,0,0
20130320,105.66,0,0,0
20130321,104.94,0,0,0
20130322,106.42,1,1,1
20130325,105.17,0,0,0
20130326,106.07,1,1,0
20130327,105.29,0,0,0
20130328,106.31,1,1,0
20130401,105.65,1,1,0
20130402,106.52,-1,0,0
20130403,105.68,0,0,0
20130404,105.82,0,0,0
20130405,105.78,1,0,0
20130408,105.75,0,0,0
20130409,105.95,0,0,0
20130410,107.69,-1,0,0
20130411,108.25,0,0,0
20130412,107.68,-1,0,0
20130415,105.76,1,0,0
20130416,106.15,-1,0,0
20130417,105.48,0,0,0
20130418,104.98,1,1,1
20130419,105.71,-1,0,0
20130422,105.8,-1,0,0
20130423,107.39,0,0,0
20130424,107.87,0,0,0
20130425,104.88,1,0,0
20130426,103.79,0,0,0
20130429,103.83,0,0,0
20130430,104.71,0,0,0
20130501,104.55,-1,0,0
20130502,106.04,-1,0,0
20130503,107.83,0,0,0
20130506,107.84,0,0,0
20130507,108.01,0,0,0
20130508,108.2,0,0,0
20130509,109.92,0,0,0
20130510,110.48,-1,-1,0
20130513,110.5,0,0,0
20130514,110.59,1,0,0
20130515,111.5,-1,0,0
20130516,111.07,0,0,0
20130517,111.39,-1,-1,0
20130520,111.72,0,0,0
20130521,112.01,-1,-1,0
20130522,110.79,-1,0,0
20130523,110.41,1,0,0
20130524,110.27,1,0,0
20130528,111.59,-1,0,0
20130529,111.13,-1,0,0
20130530,111.42,0,0,0
20130531,110.27,0,0,0
20130603,110.61,-1,-1,0
20130604,110.02,-1,0,0
20130605,108.59,1,1,0
20130606,108.67,0,0,0
20130607,111.11,0,0,0
20130610,110.81,-1,-1,0
20130611,110.22,1,1,1
20130612,109.03,0,0,0
20130613,111.2,1,1,0
