Date,positions,shares,cash,holdings,total,close,signal,returns
2012-09-13,1086.0,1086.0,22.839999999996508,99977.160000000003,100000.0,92.06,-1,
2012-09-14,0,1086.0,22.839999999996508,102062.28,102085.12,93.98,0,0.0208512
2012-09-17,1086.0,0,101867.92,0.0,101867.92,93.78,-1,-0.00212763623141
2012-09-18,0,0,101867.92,0.0,101867.92,93.43,-1,0.0
2012-09-19,1087.0,1087.0,92.110000000000582,101775.81,101867.92,93.63,1,0.0
2012-09-20,0,1087.0,92.110000000000582,101721.45999999999,101813.56999999999,93.58,0,-0.000533534011493
2012-09-21,1087.0,0,101411.37999999999,0.0,101411.37999999999,93.21,-1,-0.00395025928273
2012-09-24,0,0,101411.37999999999,0.0,101411.37999999999,93.73,-1,0.0
2012-09-25,0,0,101411.37999999999,0.0,101411.37999999999,92.83,-1,0.0
2012-09-26,0,0,101411.37999999999,0.0,101411.37999999999,92.59,-1,0.0
2012-09-27,0,0,101411.37999999999,0.0,101411.37999999999,92.82,-1,0.0
2012-09-28,0,0,101411.37999999999,0.0,101411.37999999999,92.42,-1,0.0
2012-10-01,0,0,101411.37999999999,0.0,101411.37999999999,93.29,-1,0.0
2012-10-02,0,0,101411.37999999999,0.0,101411.37999999999,93.54,0,0.0
2012-10-03,0,0,101411.37999999999,0.0,101411.37999999999,93.78,0,0.0
2012-10-04,0,0,101411.37999999999,0.0,101411.37999999999,94.43,-1,0.0
2012-10-05,0,0,101411.37999999999,0.0,101411.37999999999,94.96,-1,0.0
2012-10-09,0,0,101411.37999999999,0.0,101411.37999999999,93.94,0,0.0
2012-10-10,0,0,101411.37999999999,0.0,101411.37999999999,93.28,-1,0.0
2012-10-11,0,0,101411.37999999999,0.0,101411.37999999999,92.83,-1,0.0
2012-10-12,0,0,101411.37999999999,0.0,101411.37999999999,92.75,0,0.0
2012-10-15,1092.0,1092.0,84.699999999982538,101326.68000000001,101411.37999999999,92.79,1,0.0
2012-10-16,0.0,1092.0,84.699999999982538,102899.16,102983.85999999999,94.23,1,0.0155059520933
2012-10-17,1092.0,0,103617.21999999999,0.0,103617.21999999999,94.81,-1,0.00615008992671
2012-10-18,0,0,103617.21999999999,0.0,103617.21999999999,94.74,-1,0.0
2012-10-19,1114.0,1114.0,82.05999999998312,103535.16,103617.21999999999,92.94,1,0.0
2012-10-22,1114.0,0,103160.47999999998,0.0,103160.47999999998,92.53,-1,-0.00440795458515
2012-10-23,0,0,103160.47999999998,0.0,103160.47999999998,88.73,0,0.0
2012-10-24,0,0,103160.47999999998,0.0,103160.47999999998,88.39,0,0.0
2012-10-25,0,0,103160.47999999998,0.0,103160.47999999998,87.81,0,0.0
2012-10-26,0,0,103160.47999999998,0.0,103160.47999999998,88.03,0,0.0
2012-10-29,0,0,103160.47999999998,0.0,103160.47999999998,88.03,0,0.0
2012-10-30,0,0,103160.47999999998,0.0,103160.47999999998,88.03,0,0.0
2012-10-31,0,0,103160.47999999998,0.0,103160.47999999998,87.6,0,0.0
2012-11-01,0,0,103160.47999999998,0.0,103160.47999999998,89.25,-1,0.0
2012-11-02,0,0,103160.47999999998,0.0,103160.47999999998,88.97,0,0.0
2012-11-05,0,0,103160.47999999998,0.0,103160.47999999998,89.6,-1,0.0
2012-11-06,0,0,103160.47999999998,0.0,103160.47999999998,90.86,-1,0.0
2012-11-07,0,0,103160.47999999998,0.0,103160.47999999998,89.38,-1,0.0
2012-11-08,0,0,103160.47999999998,0.0,103160.47999999998,88.55,0,0.0
2012-11-09,1161.0,1161.0,52.069999999977881,103108.41,103160.47999999998,88.81,1,0.0
2012-11-13,0,1161.0,52.069999999977881,103421.88,103473.94999999998,89.08,0,0.00303866364329
2012-11-14,0,1161.0,52.069999999977881,101366.91,101418.97999999998,87.31,0,-0.0198597811333
2012-11-15,1161.0,0,102243.28999999998,0.0,102243.28999999998,88.02,-1,0.00812776858927
2012-11-16,0,0,102243.28999999998,0.0,102243.28999999998,88.5,-1,0.0
2012-11-19,0,0,102243.28999999998,0.0,102243.28999999998,89.57,-1,0.0
2012-11-20,0,0,102243.28999999998,0.0,102243.28999999998,89.02,-1,0.0
2012-11-21,0,0,102243.28999999998,0.0,102243.28999999998,88.94,-1,0.0
2012-11-23,0,0,102243.28999999998,0.0,102243.28999999998,90.28,-1,0.0
2012-11-26,0,0,102243.28999999998,0.0,102243.28999999998,90.09,-1,0.0
2012-11-27,0,0,102243.28999999998,0.0,102243.28999999998,90.31,0,0.0
2012-11-28,0,0,102243.28999999998,0.0,102243.28999999998,90.93,-1,0.0
2012-11-29,0,0,102243.28999999998,0.0,102243.28999999998,90.65,0,0.0
2012-11-30,1124.0,1124.0,15.489999999976135,102227.8,102243.28999999998,90.95,1,0.0
2012-12-03,0,1124.0,15.489999999976135,101497.2,101512.68999999997,90.3,0,-0.00714570119956
2012-12-04,0,1124.0,15.489999999976135,101294.88,101310.36999999998,90.12,0,-0.00199305131211
2012-12-05,0,1124.0,15.489999999976135,102014.24000000001,102029.72999999998,90.76,0,0.0071005564386
2012-12-06,0,1124.0,15.489999999976135,102227.8,102243.28999999998,90.95,0,0.00209311540862
2012-12-07,0.0,1124.0,15.489999999976135,102857.24000000001,102872.72999999998,91.51,1,0.00615629641808
2012-12-10,0,1124.0,15.489999999976135,103261.88,103277.36999999998,91.87,0,0.00393340392541
2012-12-11,1124.0,0,105311.80999999998,0.0,105311.80999999998,93.68,-1,0.0196987975197
2012-12-12,0,0,105311.80999999998,0.0,105311.80999999998,93.12,0,0.0
2012-12-13,1138.0,1138.0,46.80999999998312,105265.0,105311.80999999998,92.5,1,0.0
2012-12-14,0,1138.0,46.80999999998312,105014.64,105061.44999999998,92.28,0,-0.00237732121402
2012-12-17,0,1138.0,46.80999999998312,105868.14,105914.94999999998,93.03,0,0.00812381706135
2012-12-18,1138.0,0,106848.10999999997,0.0,106848.10999999997,93.85,-1,0.00881046537812
2012-12-19,0,0,106848.10999999997,0.0,106848.10999999997,93.02,-1,0.0
2012-12-20,0,0,106848.10999999997,0.0,106848.10999999997,94.13,-1,0.0
2012-12-21,0,0,106848.10999999997,0.0,106848.10999999997,93.1,-1,0.0
2012-12-24,1146.0,1146.0,52.369999999980791,106795.73999999999,106848.10999999997,93.19,1,0.0
2012-12-26,0,1146.0,52.369999999980791,106658.21999999999,106710.58999999997,93.07,0,-0.00128706066958
2012-12-27,0,1146.0,52.369999999980791,106165.44,106217.80999999998,92.64,0,-0.00461791093086
2012-12-28,1146.0,0,105232.24999999999,0.0,105232.24999999999,91.78,-1,-0.00927866993304
2012-12-31,0,0,105232.24999999999,0.0,105232.24999999999,92.85,0,0.0
2013-01-02,0,0,105232.24999999999,0.0,105232.24999999999,94.78,-1,0.0
2013-01-03,0,0,105232.24999999999,0.0,105232.24999999999,94.67,-1,0.0
2013-01-04,0,0,105232.24999999999,0.0,105232.24999999999,95.37,0,0.0
2013-01-07,1102.0,1102.0,2.2699999999895226,105229.98,105232.24999999999,95.49,1,0.0
2013-01-08,1102.0,0,105243.26999999999,0.0,105243.26999999999,95.5,-1,0.00010472074863
2013-01-09,0,0,105243.26999999999,0.0,105243.26999999999,96.41,-1,0.0
2013-01-10,0,0,105243.26999999999,0.0,105243.26999999999,96.89,0,0.0
2013-01-11,0,0,105243.26999999999,0.0,105243.26999999999,96.28,0,0.0
2013-01-14,0,0,105243.26999999999,0.0,105243.26999999999,97.08,-1,0.0
2013-01-15,0,0,105243.26999999999,0.0,105243.26999999999,97.29,-1,0.0
2013-01-16,0,0,105243.26999999999,0.0,105243.26999999999,97.6,-1,0.0
2013-01-17,0,0,105243.26999999999,0.0,105243.26999999999,98.08,-1,0.0
2013-01-18,0,0,105243.26999999999,0.0,105243.26999999999,98.74,-1,0.0
2013-01-22,0,0,105243.26999999999,0.0,105243.26999999999,99.33,-1,0.0
2013-01-23,0,0,105243.26999999999,0.0,105243.26999999999,99.49,0,0.0
2013-01-24,0,0,105243.26999999999,0.0,105243.26999999999,99.67,-1,0.0
2013-01-25,0,0,105243.26999999999,0.0,105243.26999999999,100.59,-1,0.0
2013-01-28,1045.0,1045.0,64.019999999989523,105179.25,105243.26999999999,100.65,1,0.0
2013-01-29,0,1045.0,64.019999999989523,106391.45,106455.46999999999,101.81,0,0.0115180761677
2013-01-30,0.0,1045.0,64.019999999989523,105336.0,105400.01999999999,100.8,1,-0.00991447409889
2013-01-31,0.0,1045.0,64.019999999989523,105074.75,105138.76999999999,100.55,1,-0.00247865228109
2013-02-01,0,1045.0,64.019999999989523,106130.2,106194.21999999999,101.56,0,0.0100386375074
2013-02-04,0.0,1045.0,64.019999999989523,105304.64999999999,105368.66999999998,100.77,1,-0.00777396359237
2013-02-05,0,1045.0,64.019999999989523,106057.04999999999,106121.06999999998,101.49,0,0.00714064246991
2013-02-06,1045.0,0,107375.06999999999,0.0,107375.06999999999,102.69,-1,0.0118166920104
2013-02-07,0,0,107375.06999999999,0.0,107375.06999999999,102.22,0,0.0
2013-02-08,0,0,107375.06999999999,0.0,107375.06999999999,102.66,0,0.0
2013-02-11,0,0,107375.06999999999,0.0,107375.06999999999,102.62,-1,0.0
2013-02-12,0,0,107375.06999999999,0.0,107375.06999999999,103.46,-1,0.0
2013-02-13,0,0,107375.06999999999,0.0,107375.06999999999,102.86,-1,0.0
2013-02-14,1044.0,1044.0,72.749999999985448,107302.32000000001,107375.06999999999,102.78,1,0.0
2013-02-15,0,1044.0,72.749999999985448,107772.12000000001,107844.87,103.23,0,0.00437531728734
2013-02-19,0.0,1044.0,72.749999999985448,108763.92000000001,108836.67,104.18,1,0.00919654314572
2013-02-20,0,1044.0,72.749999999985448,107688.60000000001,107761.34999999999,103.15,0,-0.00988012588037
2013-02-21,0.0,1044.0,72.749999999985448,107239.67999999999,107312.42999999998,102.72,1,-0.00416587208679
2013-02-22,1044.0,0,108168.50999999999,0.0,108168.50999999999,103.54,-1,0.00797745424272
2013-02-25,1063.0,1063.0,8.2599999999947613,108160.25,108168.50999999999,101.75,1,0.0
2013-02-26,1063.0,0,108763.78999999999,0.0,108763.78999999999,102.31,-1,0.00550326522941
2013-02-27,1050.0,1050.0,15.289999999993597,108748.5,108763.78999999999,103.57,1,0.0
2013-02-28,0,1050.0,15.289999999993597,109200.0,109215.28999999999,104.0,0,0.00415119774697
2013-03-01,1050.0,0,108973.78999999999,0.0,108973.78999999999,103.77,-1,-0.002211228849
2013-03-04,1055.0,1055.0,13.389999999999418,108960.39999999999,108973.78999999999,103.28,1,0.0
2013-03-05,0,1055.0,13.389999999999418,110194.75,110208.14,104.45,0,0.011327035611
