Date,positions,shares,cash,holdings,total,close,signal,returns
2012-09-13,1086.0,1086.0,22.839999999996508,99977.160000000003,100000.0,92.06,-1,
2012-09-14,0,1086.0,22.839999999996508,102062.28,102085.12,93.98,0,0.0208512
2012-09-17,0,1086.0,22.839999999996508,101845.08,101867.92,93.78,0,-0.00212763623141
2012-09-18,0,1086.0,22.839999999996508,101464.98000000001,101487.82000000001,93.43,0,-0.00373130225885
2012-09-19,0.0,1086.0,22.839999999996508,101682.17999999999,101705.01999999999,93.63,1,0.00214015829683
2012-09-20,0,1086.0,22.839999999996508,101627.88,101650.72,93.58,0,-0.000533896950219
2012-09-21,1086.0,0,101248.89999999999,0.0,101248.89999999999,93.21,-1,-0.00395294789845
2012-09-24,0,0,101248.89999999999,0.0,101248.89999999999,93.73,-1,0.0
2012-09-25,0,0,101248.89999999999,0.0,101248.89999999999,92.83,0,0.0
2012-09-26,0,0,101248.89999999999,0.0,101248.89999999999,92.59,0,0.0
2012-09-27,0,0,101248.89999999999,0.0,101248.89999999999,92.82,0,0.0
2012-09-28,0,0,101248.89999999999,0.0,101248.89999999999,92.42,0,0.0
2012-10-01,0,0,101248.89999999999,0.0,101248.89999999999,93.29,-1,0.0
2012-10-02,0,0,101248.89999999999,0.0,101248.89999999999,93.54,0,0.0
2012-10-03,0,0,101248.89999999999,0.0,101248.89999999999,93.78,0,0.0
2012-10-04,0,0,101248.89999999999,0.0,101248.89999999999,94.43,0,0.0
2012-10-05,0,0,101248.89999999999,0.0,101248.89999999999,94.96,0,0.0
2012-10-09,0,0,101248.89999999999,0.0,101248.89999999999,93.94,0,0.0
2012-10-10,0,0,101248.89999999999,0.0,101248.89999999999,93.28,-1,0.0
2012-10-11,0,0,101248.89999999999,0.0,101248.89999999999,92.83,-1,0.0
2012-10-12,0,0,101248.89999999999,0.0,101248.89999999999,92.75,0,0.0
2012-10-15,1091.0,1091.0,15.009999999980209,101233.89000000001,101248.89999999999,92.79,1,0.0
2012-10-16,0,1091.0,15.009999999980209,102804.93000000001,102819.93999999999,94.23,0,0.01551661302
2012-10-17,1091.0,0,103452.71999999999,0.0,103452.71999999999,94.81,-1,0.00615425373716
2012-10-18,0,0,103452.71999999999,0.0,103452.71999999999,94.74,-1,0.0
2012-10-19,0,0,103452.71999999999,0.0,103452.71999999999,92.94,0,0.0
2012-10-22,0,0,103452.71999999999,0.0,103452.71999999999,92.53,0,0.0
2012-10-23,0,0,103452.71999999999,0.0,103452.71999999999,88.73,0,0.0
2012-10-24,0,0,103452.71999999999,0.0,103452.71999999999,88.39,0,0.0
2012-10-25,0,0,103452.71999999999,0.0,103452.71999999999,87.81,0,0.0
2012-10-26,0,0,103452.71999999999,0.0,103452.71999999999,88.03,0,0.0
2012-10-29,0,0,103452.71999999999,0.0,103452.71999999999,88.03,0,0.0
2012-10-30,0,0,103452.71999999999,0.0,103452.71999999999,88.03,0,0.0
2012-10-31,0,0,103452.71999999999,0.0,103452.71999999999,87.6,0,0.0
2012-11-01,0,0,103452.71999999999,0.0,103452.71999999999,89.25,-1,0.0
2012-11-02,0,0,103452.71999999999,0.0,103452.71999999999,88.97,0,0.0
2012-11-05,0,0,103452.71999999999,0.0,103452.71999999999,89.6,0,0.0
2012-11-06,0,0,103452.71999999999,0.0,103452.71999999999,90.86,-1,0.0
2012-11-07,0,0,103452.71999999999,0.0,103452.71999999999,89.38,-1,0.0
2012-11-08,0,0,103452.71999999999,0.0,103452.71999999999,88.55,0,0.0
2012-11-09,0,0,103452.71999999999,0.0,103452.71999999999,88.81,0,0.0
2012-11-13,0,0,103452.71999999999,0.0,103452.71999999999,89.08,0,0.0
2012-11-14,0,0,103452.71999999999,0.0,103452.71999999999,87.31,0,0.0
2012-11-15,0,0,103452.71999999999,0.0,103452.71999999999,88.02,-1,0.0
2012-11-16,0,0,103452.71999999999,0.0,103452.71999999999,88.5,-1,0.0
2012-11-19,0,0,103452.71999999999,0.0,103452.71999999999,89.57,-1,0.0
2012-11-20,0,0,103452.71999999999,0.0,103452.71999999999,89.02,-1,0.0
2012-11-21,0,0,103452.71999999999,0.0,103452.71999999999,88.94,-1,0.0
2012-11-23,0,0,103452.71999999999,0.0,103452.71999999999,90.28,-1,0.0
2012-11-26,0,0,103452.71999999999,0.0,103452.71999999999,90.09,-1,0.0
2012-11-27,0,0,103452.71999999999,0.0,103452.71999999999,90.31,0,0.0
2012-11-28,0,0,103452.71999999999,0.0,103452.71999999999,90.93,-1,0.0
2012-11-29,0,0,103452.71999999999,0.0,103452.71999999999,90.65,0,0.0
2012-11-30,1137.0,1137.0,42.569999999977881,103410.15000000001,103452.71999999999,90.95,1,0.0
2012-12-03,0,1137.0,42.569999999977881,102671.09999999999,102713.66999999997,90.3,0,-0.0071438431005
2012-12-04,0,1137.0,42.569999999977881,102466.44,102509.00999999998,90.12,0,-0.00199252932935
2012-12-05,0,1137.0,42.569999999977881,103194.12000000001,103236.68999999999,90.76,0,0.00709869308074
2012-12-06,0,1137.0,42.569999999977881,103410.15000000001,103452.71999999999,90.95,0,0.00209256999619
2012-12-07,0.0,1137.0,42.569999999977881,104046.87000000001,104089.43999999999,91.51,1,0.00615469559428
2012-12-10,0,1137.0,42.569999999977881,104456.19,104498.75999999998,91.87,0,0.00393238737762
2012-12-11,0,1137.0,42.569999999977881,106514.16,106556.72999999998,93.68,0,0.0196937265093
2012-12-12,0,1137.0,42.569999999977881,105877.44,105920.00999999998,93.12,0,-0.00597540859221
2012-12-13,0.0,1137.0,42.569999999977881,105172.5,105215.06999999998,92.5,1,-0.00665539967377
2012-12-14,0,1137.0,42.569999999977881,104922.36,104964.92999999998,92.28,0,-0.00237741608688
2012-12-17,0,1137.0,42.569999999977881,105775.11,105817.67999999998,93.03,0,0.00812414203487
2012-12-18,0,1137.0,42.569999999977881,106707.45,106750.01999999997,93.85,0,0.00881081497912
2012-12-19,0,1137.0,42.569999999977881,105763.73999999999,105806.30999999997,93.02,0,-0.00884037305098
2012-12-20,0,1137.0,42.569999999977881,107025.81,107068.37999999998,94.13,0,0.0119281165745
2012-12-21,0,1137.0,42.569999999977881,105854.7,105897.26999999997,93.1,0,-0.010937963197
2012-12-24,0.0,1137.0,42.569999999977881,105957.03,105999.59999999998,93.19,1,0.000966313862482
2012-12-26,0,1137.0,42.569999999977881,105820.59,105863.15999999997,93.07,0,-0.00128717466858
2012-12-27,0,1137.0,42.569999999977881,105331.68000000001,105374.24999999999,92.64,0,-0.00461832048089
2012-12-28,0,1137.0,42.569999999977881,104353.86,104396.42999999998,91.78,0,-0.00927949665122
2012-12-31,0,1137.0,42.569999999977881,105570.45,105613.01999999997,92.85,0,0.0116535594177
2013-01-02,0,1137.0,42.569999999977881,107764.86,107807.42999999998,94.78,0,0.0207778359145
2013-01-03,0,1137.0,42.569999999977881,107639.79000000001,107682.35999999999,94.67,0,-0.00116012412132
2013-01-04,0,1137.0,42.569999999977881,108435.69,108478.25999999998,95.37,0,0.00739118273411
2013-01-07,0,1137.0,42.569999999977881,108572.12999999999,108614.69999999997,95.49,0,0.00125776353714
2013-01-08,0,1137.0,42.569999999977881,108583.5,108626.06999999998,95.5,0,0.000104681962939
2013-01-09,0,1137.0,42.569999999977881,109618.17,109660.73999999998,96.41,0,0.00952506152529
2013-01-10,0,1137.0,42.569999999977881,110163.93000000001,110206.49999999999,96.89,0,0.0049768039136
2013-01-11,0,1137.0,42.569999999977881,109470.36,109512.92999999998,96.28,0,-0.0062933674511
2013-01-14,0,1137.0,42.569999999977881,110379.95999999999,110422.52999999997,97.08,0,0.00830586853991
2013-01-15,0,1137.0,42.569999999977881,110618.73000000001,110661.29999999999,97.29,0,0.00216233045919
2013-01-16,1137.0,0,111013.76999999997,0.0,111013.76999999997,97.6,-1,0.00318512433886
2013-01-17,0,0,111013.76999999997,0.0,111013.76999999997,98.08,0,0.0
2013-01-18,0,0,111013.76999999997,0.0,111013.76999999997,98.74,-1,0.0
2013-01-22,0,0,111013.76999999997,0.0,111013.76999999997,99.33,-1,0.0
2013-01-23,0,0,111013.76999999997,0.0,111013.76999999997,99.49,0,0.0
2013-01-24,0,0,111013.76999999997,0.0,111013.76999999997,99.67,0,0.0
2013-01-25,0,0,111013.76999999997,0.0,111013.76999999997,100.59,0,0.0
2013-01-28,1102.0,1102.0,97.46999999997206,110916.3,111013.76999999997,100.65,1,0.0
2013-01-29,0,1102.0,97.46999999997206,112194.62,112292.08999999997,101.81,0,0.0115149679179
2013-01-30,0,1102.0,97.46999999997206,111081.59999999999,111179.06999999996,100.8,0,-0.00991182905225
2013-01-31,0.0,1102.0,97.46999999997206,110806.09999999999,110903.56999999996,100.55,1,-0.00247798439041
2013-02-01,0,1102.0,97.46999999997206,111919.12,112016.58999999997,101.56,0,0.0100359258047
2013-02-04,0.0,1102.0,97.46999999997206,111048.53999999999,111146.00999999997,100.77,1,-0.00777188450389
2013-02-05,0,1102.0,97.46999999997206,111841.98,111939.44999999997,101.49,0,0.00713871780013
2013-02-06,0,1102.0,97.46999999997206,113164.38,113261.84999999998,102.69,0,0.0118135295466
2013-02-07,0,1102.0,97.46999999997206,112646.44,112743.90999999997,102.22,0,-0.00457294314017
2013-02-08,0,1102.0,97.46999999997206,113131.31999999999,113228.78999999996,102.66,0,0.00430072010098
2013-02-11,1102.0,0,113184.70999999998,0.0,113184.70999999998,102.62,-1,-0.000389300283082
2013-02-12,0,0,113184.70999999998,0.0,113184.70999999998,103.46,-1,0.0
2013-02-13,0,0,113184.70999999998,0.0,113184.70999999998,102.86,0,0.0
2013-02-14,0,0,113184.70999999998,0.0,113184.70999999998,102.78,0,0.0
2013-02-15,0,0,113184.70999999998,0.0,113184.70999999998,103.23,0,0.0
2013-02-19,1086.0,1086.0,45.229999999966822,113139.48000000001,113184.70999999998,104.18,1,0.0
2013-02-20,0,1086.0,45.229999999966822,112020.90000000001,112066.12999999998,103.15,0,-0.00988278363747
2013-02-21,0.0,1086.0,45.229999999966822,111553.92,111599.14999999997,102.72,1,-0.00416700389315
2013-02-22,0,1086.0,45.229999999966822,112444.44,112489.66999999997,103.54,0,0.00797963066923
2013-02-25,0.0,1086.0,45.229999999966822,110500.5,110545.72999999997,101.75,1,-0.0172810534514
2013-02-26,0,1086.0,45.229999999966822,111108.66,111153.88999999997,102.31,0,0.00550143366008
2013-02-27,0,1086.0,45.229999999966822,112477.01999999999,112522.24999999996,103.57,0,0.0123105003343
2013-02-28,0,1086.0,45.229999999966822,112944.0,112989.22999999997,104.0,0,0.0041501125333
