Date,Price,Signal_0.5,Signal_1,Signal_2
20120913,33.81,0,0,0
20120914,32.94,0,0,0
20120917,33.21,-1,0,0
20120918,33.29,1,1,1
20120919,33.15,1,1,0
20120920,33.61,0,0,0
20120921,34.06,-1,0,0
20120924,34.21,0,0,0
20120925,34.01,-1,0,0
20120926,34.17,0,0,0
20120927,33.9,-1,0,0
20120928,33.39,1,1,0
20121001,33.64,0,0,0
20121002,33.73,0,0,0
20121003,34.05,-1,0,0
20121004,34,-1,0,0
20121005,34,-1,0,0
20121009,33.52,0,0,0
20121010,33.34,0,0,0
20121011,32.71,0,0,0
20121012,33.12,-1,-1,0
20121015,33.17,-1,-1,0
20121016,33.26,0,0,0
20121017,33.5,-1,0,0
20121018,33.09,-1,0,0
20121019,32.63,1,1,1
20121022,32.92,1,1,1
20121023,32.35,1,1,0
20121024,32.13,1,0,0
20121025,32.1,1,0,0
20121026,31.76,0,0,0
20121029,31.76,0,0,0
20121030,31.76,0,0,0
20121031,31.8,0,0,0
20121101,31.97,-1,0,0
20121102,31.7,1,0,0
20121105,31.88,1,1,0
20121106,31.94,-1,-1,0
20121107,31.4,1,1,0
20121108,31.28,1,0,0
20121109,31.48,0,0,0
20121113,31.18,-1,0,0
20121114,30.79,-1,0,0
20121115,30.49,0,0,0
20121116,31.24,-1,-1,0
20121119,32.56,-1,-1,0
20121120,32.85,0,0,0
20121121,32.86,0,0,0
20121123,33.48,-1,-1,0
20121126,33.21,0,0,0
20121127,33.15,-1,0,0
20121128,33.41,-1,-1,0
20121129,33.57,-1,-1,0
20121130,33.81,-1,0,0
20121203,33.66,0,0,0
20121204,33.49,-1,-1,0
20121205,33.3,-1,-1,0
20121206,33.18,-1,0,0
20121207,33.47,0,0,0
20121210,33.42,1,1,1
20121211,32.96,0,0,0
20121212,33.25,1,0,0
20121213,33.26,1,0,0
20121214,33.16,0,0,0
20121217,32.99,0,0,0
20121218,32.59,-1,0,0
20121219,32.39,1,1,0
20121220,32.66,-1,-1,0
20121221,31.85,1,1,0
20121224,31.66,1,1,0
20121226,31.32,0,0,0
20121227,31.4,0,0,0
20121228,31.09,0,0,0
20121231,31.44,-1,-1,0
20130102,32.54,0,0,0
20130103,32.56,-1,0,0
20130104,32.54,0,0,0
20130107,32.46,0,0,0
20130108,32.14,0,0,0
20130109,31.9,1,1,1
20130110,32.7,0,0,0
20130111,32.93,0,0,0
20130114,32.99,0,0,0
20130115,32.78,0,0,0
20130116,32.78,1,0,0
20130117,32.99,0,0,0
20130118,33.27,-1,-1,0
20130122,33.15,-1,-1,0
20130123,33.01,1,0,0
20130124,33.41,-1,0,0
20130125,33.45,0,0,0
20130128,33.7,0,0,0
20130129,33.7,1,0,0
20130130,33.7,1,0,0
20130131,33.68,1,1,0
