Date,positions,shares,cash,holdings,total,close,signal,returns
2012-09-13,2957.0,2957.0,23.829999999987194,99976.170000000013,100000.0,33.81,0,
2012-09-14,0,2957.0,23.829999999987194,97403.579999999987,97427.409999999974,32.94,0,-0.0257259
2012-09-17,2957.0,0,98225.799999999988,0.0,98225.799999999988,33.21,-1,0.00819471645608
2012-09-18,2950.0,2950.0,20.299999999988358,98205.5,98225.799999999988,33.29,1,0.0
2012-09-19,0.0,2950.0,20.299999999988358,97792.5,97812.799999999988,33.15,1,-0.00420459797731
2012-09-20,0,2950.0,20.299999999988358,99149.5,99169.799999999988,33.61,0,0.013873439877
2012-09-21,2950.0,0,100497.29999999999,0.0,100497.29999999999,34.06,-1,0.0133861316651
2012-09-24,0,0,100497.29999999999,0.0,100497.29999999999,34.21,0,0.0
2012-09-25,0,0,100497.29999999999,0.0,100497.29999999999,34.01,-1,0.0
2012-09-26,0,0,100497.29999999999,0.0,100497.29999999999,34.17,0,0.0
2012-09-27,0,0,100497.29999999999,0.0,100497.29999999999,33.9,-1,0.0
2012-09-28,3009.0,3009.0,26.789999999993597,100470.50999999999,100497.29999999999,33.39,1,0.0
2012-10-01,0,3009.0,26.789999999993597,101222.75999999999,101249.54999999999,33.64,0,0.00748527572383
2012-10-02,0,3009.0,26.789999999993597,101493.56999999999,101520.35999999999,33.73,0,0.00267467855413
2012-10-03,3009.0,0,102483.23999999999,0.0,102483.23999999999,34.05,-1,0.00948459993641
2012-10-04,0,0,102483.23999999999,0.0,102483.23999999999,34.0,-1,0.0
2012-10-05,0,0,102483.23999999999,0.0,102483.23999999999,34.0,-1,0.0
2012-10-09,0,0,102483.23999999999,0.0,102483.23999999999,33.52,0,0.0
2012-10-10,0,0,102483.23999999999,0.0,102483.23999999999,33.34,0,0.0
2012-10-11,0,0,102483.23999999999,0.0,102483.23999999999,32.71,0,0.0
2012-10-12,0,0,102483.23999999999,0.0,102483.23999999999,33.12,-1,0.0
2012-10-15,0,0,102483.23999999999,0.0,102483.23999999999,33.17,-1,0.0
2012-10-16,0,0,102483.23999999999,0.0,102483.23999999999,33.26,0,0.0
2012-10-17,0,0,102483.23999999999,0.0,102483.23999999999,33.5,-1,0.0
2012-10-18,0,0,102483.23999999999,0.0,102483.23999999999,33.09,-1,0.0
2012-10-19,3140.0,3140.0,25.039999999979045,102458.20000000001,102483.23999999999,32.63,1,0.0
2012-10-22,0.0,3140.0,25.039999999979045,103368.8,103393.83999999998,32.92,1,0.00888535530297
2012-10-23,0.0,3140.0,25.039999999979045,101579.0,101604.03999999998,32.35,1,-0.0173105090207
2012-10-24,0.0,3140.0,25.039999999979045,100888.20000000001,100913.23999999999,32.13,1,-0.00679894224678
2012-10-25,0.0,3140.0,25.039999999979045,100794.0,100819.03999999998,32.1,1,-0.000933475131707
2012-10-26,0,3140.0,25.039999999979045,99726.400000000009,99751.439999999988,31.76,0,-0.0105892696459
2012-10-29,0,3140.0,25.039999999979045,99726.400000000009,99751.439999999988,31.76,0,0.0
2012-10-30,0,3140.0,25.039999999979045,99726.400000000009,99751.439999999988,31.76,0,0.0
2012-10-31,0,3140.0,25.039999999979045,99852.0,99877.039999999979,31.8,0,0.00125912969276
2012-11-01,3140.0,0,100410.83999999998,0.0,100410.83999999998,31.97,-1,0.00534457168534
2012-11-02,3167.0,3167.0,16.939999999987776,100393.89999999999,100410.83999999998,31.7,1,0.0
2012-11-05,0.0,3167.0,16.939999999987776,100963.95999999999,100980.89999999998,31.88,1,0.00567727548141
2012-11-06,3167.0,0,101170.92,0.0,101170.92,31.94,-1,0.00188174199279
2012-11-07,3222.0,3222.0,0.1200000000098953,101170.79999999999,101170.92,31.4,1,0.0
2012-11-08,0.0,3222.0,0.1200000000098953,100784.16,100784.28000000001,31.28,1,-0.00382165151804
2012-11-09,0,3222.0,0.1200000000098953,101428.56,101428.68000000001,31.48,0,0.00639385427966
2012-11-13,3222.0,0,100462.08,0.0,100462.08,31.18,-1,-0.00952984895396
2012-11-14,0,0,100462.08,0.0,100462.08,30.79,-1,0.0
2012-11-15,0,0,100462.08,0.0,100462.08,30.49,0,0.0
2012-11-16,0,0,100462.08,0.0,100462.08,31.24,-1,0.0
2012-11-19,0,0,100462.08,0.0,100462.08,32.56,-1,0.0
2012-11-20,0,0,100462.08,0.0,100462.08,32.85,0,0.0
2012-11-21,0,0,100462.08,0.0,100462.08,32.86,0,0.0
2012-11-23,0,0,100462.08,0.0,100462.08,33.48,-1,0.0
2012-11-26,0,0,100462.08,0.0,100462.08,33.21,0,0.0
2012-11-27,0,0,100462.08,0.0,100462.08,33.15,-1,0.0
2012-11-28,0,0,100462.08,0.0,100462.08,33.41,-1,0.0
2012-11-29,0,0,100462.08,0.0,100462.08,33.57,-1,0.0
2012-11-30,0,0,100462.08,0.0,100462.08,33.81,-1,0.0
2012-12-03,0,0,100462.08,0.0,100462.08,33.66,0,0.0
2012-12-04,0,0,100462.08,0.0,100462.08,33.49,-1,0.0
2012-12-05,0,0,100462.08,0.0,100462.08,33.3,-1,0.0
2012-12-06,0,0,100462.08,0.0,100462.08,33.18,-1,0.0
2012-12-07,0,0,100462.08,0.0,100462.08,33.47,0,0.0
2012-12-10,3006.0,3006.0,1.5599999999976717,100460.52,100462.08,33.42,1,0.0
2012-12-11,0,3006.0,1.5599999999976717,99077.760000000009,99079.320000000007,32.96,0,-0.013763999312
2012-12-12,0.0,3006.0,1.5599999999976717,99949.5,99951.059999999998,33.25,1,0.0087984051566
2012-12-13,0.0,3006.0,1.5599999999976717,99979.559999999998,99981.119999999995,33.26,1,0.000300747185673
2012-12-14,0,3006.0,1.5599999999976717,99678.959999999992,99680.51999999999,33.16,0,-0.00300656763997
2012-12-17,0,3006.0,1.5599999999976717,99167.940000000002,99169.5,32.99,0,-0.00512657839265
2012-12-18,3006.0,0,97967.100000000006,0.0,97967.100000000006,32.59,-1,-0.0121246955969
2012-12-19,3024.0,3024.0,19.740000000005239,97947.360000000001,97967.100000000006,32.39,1,0.0
2012-12-20,3024.0,0,98783.580000000002,0.0,98783.580000000002,32.66,-1,0.00833422649032
2012-12-21,3101.0,3101.0,16.729999999995925,98766.850000000006,98783.580000000002,31.85,1,0.0
2012-12-24,0.0,3101.0,16.729999999995925,98177.660000000003,98194.389999999999,31.66,1,-0.00596445279671
2012-12-26,0,3101.0,16.729999999995925,97123.320000000007,97140.050000000003,31.32,0,-0.0107372732801
2012-12-27,0,3101.0,16.729999999995925,97371.399999999994,97388.12999999999,31.4,0,0.0025538385043
2012-12-28,0,3101.0,16.729999999995925,96410.089999999997,96426.819999999992,31.09,0,-0.00987091548015
2012-12-31,3101.0,0,97512.169999999998,0.0,97512.169999999998,31.44,-1,0.0112556859181
2013-01-02,0,0,97512.169999999998,0.0,97512.169999999998,32.54,0,0.0
2013-01-03,0,0,97512.169999999998,0.0,97512.169999999998,32.56,-1,0.0
2013-01-04,0,0,97512.169999999998,0.0,97512.169999999998,32.54,0,0.0
2013-01-07,0,0,97512.169999999998,0.0,97512.169999999998,32.46,0,0.0
2013-01-08,0,0,97512.169999999998,0.0,97512.169999999998,32.14,0,0.0
2013-01-09,3056.0,3056.0,25.770000000004075,97486.399999999994,97512.169999999998,31.9,1,0.0
2013-01-10,0,3056.0,25.770000000004075,99931.200000000012,99956.970000000016,32.7,0,0.0250717423271
2013-01-11,0,3056.0,25.770000000004075,100634.08,100659.85000000001,32.93,0,0.00703182579464
2013-01-14,0,3056.0,25.770000000004075,100817.44,100843.21000000001,32.99,0,0.00182158030237
2013-01-15,0,3056.0,25.770000000004075,100175.68000000001,100201.45000000001,32.78,0,-0.00636393863305
2013-01-16,0.0,3056.0,25.770000000004075,100175.68000000001,100201.45000000001,32.78,1,0.0
2013-01-17,0,3056.0,25.770000000004075,100817.44,100843.21000000001,32.99,0,0.00640469773641
2013-01-18,3056.0,0,101698.89000000001,0.0,101698.89000000001,33.27,-1,0.00848525151074
