Securities,Date,Buy_Hold,SD_05,SD_1,SD_2
MMM,14/9/2012,0.0208512,0.0208512,0.0208512,0.0208512
MMM,17/9/2012,-0.002127636,-0.002127636,-0.002127636,-0.002127636
MMM,18/9/2012,-0.003731302,0,-0.003731302,-0.003731302
MMM,19/9/2012,0.002140158,0,0.002140158,0.002140158
MMM,20/9/2012,-0.000533897,-0.000533534,-0.000533897,-0.000533897
MMM,21/9/2012,-0.003952948,-0.003950259,-0.003952948,-0.003952948
MMM,24/9/2012,0.005577542,0,0,0.005577542
MMM,25/9/2012,-0.009599894,0,0,-0.009599894
MMM,26/9/2012,-0.002584786,0,0,-0.002584786
MMM,27/9/2012,0.002483505,0,0,0.002483505
MMM,28/9/2012,-0.00430844,0,0,-0.00430844
MMM,1/10/2012,0.009411405,0,0,0.009411405
MMM,2/10/2012,0.002679212,0,0,0.002679212
MMM,3/10/2012,0.002565171,0,0,0.002565171
MMM,4/10/2012,0.006929561,0,0,0.006929561
MMM,5/10/2012,0.005611373,0,0,0.005611373
MMM,9/10/2012,-0.010738986,0,0,-0.010738986
MMM,10/10/2012,-0.007024189,0,0,-0.007024189
MMM,11/10/2012,-0.004823098,0,0,-0.004823098
MMM,12/10/2012,-0.000861595,0,0,-0.000861595
MMM,15/10/2012,0.000431169,0,0,0.000431169
MMM,16/10/2012,0.015515397,0.015505952,0.015516613,0.015515397
MMM,17/10/2012,0.006153779,0.00615009,0.006154254,0.006153779
MMM,18/10/2012,-0.000738155,0,0,-0.000738155
MMM,19/10/2012,-0.01899515,0,0,-0.01899515
MMM,22/10/2012,-0.00441045,-0.004407955,0,-0.00441045
MMM,23/10/2012,-0.04105843,0,0,-0.04105843
MMM,24/10/2012,-0.003830941,0,0,-0.003830941
MMM,25/10/2012,-0.006560267,0,0,-0.006560267
MMM,26/10/2012,0.002504809,0,0,0.002504809
MMM,29/10/2012,0,0,0,0
MMM,30/10/2012,0,0,0,0
MMM,31/10/2012,-0.004883532,0,0,-0.004883532
MMM,1/11/2012,0.018831095,0,0,0.018831095
MMM,2/11/2012,-0.003136516,0,0,-0.003136516
MMM,5/11/2012,0.007079365,0,0,0.007079365
MMM,6/11/2012,0.0140592,0,0,0.0140592
MMM,7/11/2012,-0.016285026,0,0,-0.016285026
MMM,8/11/2012,-0.009284009,0,0,-0.009284009
MMM,9/11/2012,0.002935497,0,0,0.002935497
MMM,13/11/2012,0.003039478,0.003038664,0,0.003039478
MMM,14/11/2012,-0.01986509,-0.019859781,0,-0.01986509
